id,label,hemisphere,structure
1,bankssts,L,cortex
2,caudal anterior cingulate,L,cortex
3,caudal middle frontal,L,cortex
4,cuneus,L,cortex
5,entorhinal,L,cortex
6,fusiform,L,cortex
7,inferior parietal,L,cortex
8,inferior temporal,L,cortex
9,isthmus cingulate,L,cortex
10,lateral occipital,L,cortex
11,lateral orbitofrontal,L,cortex
12,lingual,L,cortex
13,medial orbitofrontal,L,cortex
14,middle temporal,L,cortex
15,parahippocampal,L,cortex
16,paracentral,L,cortex
17,pars opercularis,L,cortex
18,pars orbitalis,L,cortex
19,pars triangularis,L,cortex
20,pericalcarine,L,cortex
21,postcentral,L,cortex
22,posterior cingulate,L,cortex
23,precentral,L,cortex
24,precuneus,L,cortex
25,rostral anterior cingulate,L,cortex
26,rostral middle frontal,L,cortex
27,superior frontal,L,cortex
28,superior parietal,L,cortex
29,superior temporal,L,cortex
30,supramarginal,L,cortex
31,frontal pole,L,cortex
32,temporal pole,L,cortex
33,transverse temporal,L,cortex
34,insula,L,cortex
35,thalamus proper,L,subcortex/brainstem
36,caudate,L,subcortex/brainstem
37,putamen,L,subcortex/brainstem
38,pallidum,L,subcortex/brainstem
39,accumbens area,L,subcortex/brainstem
40,hippocampus,L,subcortex/brainstem
41,amygdala,L,subcortex/brainstem
42,bankssts,R,cortex
43,caudal anterior cingulate,R,cortex
44,caudal middle frontal,R,cortex
45,cuneus,R,cortex
46,entorhinal,R,cortex
47,fusiform,R,cortex
48,inferior parietal,R,cortex
49,inferior temporal,R,cortex
50,isthmus cingulate,R,cortex
51,lateral occipital,R,cortex
52,lateral orbitofrontal,R,cortex
53,lingual,R,cortex
54,medial orbitofrontal,R,cortex
55,middle temporal,R,cortex
56,parahippocampal,R,cortex
57,paracentral,R,cortex
58,pars opercularis,R,cortex
59,pars orbitalis,R,cortex
60,pars triangularis,R,cortex
61,pericalcarine,R,cortex
62,postcentral,R,cortex
63,posterior cingulate,R,cortex
64,precentral,R,cortex
65,precuneus,R,cortex
66,rostral anterior cingulate,R,cortex
67,rostral middle frontal,R,cortex
68,superior frontal,R,cortex
69,superior parietal,R,cortex
70,superior temporal,R,cortex
71,supramarginal,R,cortex
72,frontal pole,R,cortex
73,temporal pole,R,cortex
74,transverse temporal,R,cortex
75,insula,R,cortex
76,thalamus proper,R,subcortex/brainstem
77,caudate,R,subcortex/brainstem
78,putamen,R,subcortex/brainstem
79,pallidum,R,subcortex/brainstem
80,accumbens area,R,subcortex/brainstem
81,hippocampus,R,subcortex/brainstem
82,amygdala,R,subcortex/brainstem
83,brain stem,B,subcortex/brainstem
