Tissue,Expression,sig
Muscle,8.025316456,yes
Blood vessel,5.873417722,yes
Bladder,3.569620253,yes
Heart,3.088607595,yes
Brain,2.379746835,no
Colon,1.898734177,no
Esophagus,1.518987342,no
Fallopian tube,1.164556962,no
Adipose tissue,0.708860759,no
Lung,0.506329114,no
Breast,0.506329114,no
Vagina,0.506329114,no
Spleen,0.455696203,no
Uterus,0.278481013,no
Nerve,0.278481013,no
Small intestine,0.253164557,no
Prostate,0.253164557,no
Adrenal Gland,0.17721519,no
Skin,0.151898734,no
Cervix,0.101265823,no
Blood,0.075949367,no
Pancreas,0.075949367,no
Kidney,0.075949367,no
Stomach,0.075949367,no
Salivary gland,0,no
Pituatary,0,no
Ovary,0,no
Thyriod,0,no
Liver,0,no
Testis,0,no
