Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.up	Adipose_Subcutaneous	1689	3	0.496340195715044	1	ENSG00000120910:ENSG00000132356:ENSG00000127955
DEG.up	Adipose_Visceral_Omentum	1428	1	0.901393377120498	1	ENSG00000127955
DEG.up	Adrenal_Gland	1204	0	1	1	
DEG.up	Artery_Aorta	2103	2	0.855176006311441	1	ENSG00000156052:ENSG00000132356
DEG.up	Artery_Coronary	1593	2	0.72262746004479	1	ENSG00000120910:ENSG00000132356
DEG.up	Artery_Tibial	2175	6	0.113809873063946	1	ENSG00000107758:ENSG00000156052:ENSG00000120910:ENSG00000132356:ENSG00000142875:ENSG00000127955
DEG.up	Bladder	728	0	1	1	
DEG.up	Brain_Amygdala	1438	4	0.181294700698686	1	ENSG00000183049:ENSG00000008118:ENSG00000152495:ENSG00000142875
DEG.up	Brain_Anterior_cingulate_cortex_BA24	1866	5	0.158422116600137	1	ENSG00000138814:ENSG00000183049:ENSG00000008118:ENSG00000152495:ENSG00000142875
DEG.up	Brain_Caudate_basal_ganglia	1703	5	0.119481360630355	1	ENSG00000138814:ENSG00000183049:ENSG00000008118:ENSG00000152495:ENSG00000142875
DEG.up	Brain_Cerebellar_Hemisphere	4248	8	0.33393071884179	1	ENSG00000138814:ENSG00000107758:ENSG00000133703:ENSG00000183049:ENSG00000152495:ENSG00000142875:ENSG00000127955:ENSG00000100030
DEG.up	Brain_Cerebellum	4055	6	0.628469524182797	1	ENSG00000169885:ENSG00000138814:ENSG00000107758:ENSG00000183049:ENSG00000152495:ENSG00000142875
DEG.up	Brain_Cortex	2159	5	0.240028561373783	1	ENSG00000138814:ENSG00000183049:ENSG00000008118:ENSG00000152495:ENSG00000142875
DEG.up	Brain_Frontal_Cortex_BA9	2422	6	0.165926001583465	1	ENSG00000138814:ENSG00000156052:ENSG00000183049:ENSG00000008118:ENSG00000152495:ENSG00000142875
DEG.up	Brain_Hippocampus	1542	4	0.215048346192359	1	ENSG00000138814:ENSG00000183049:ENSG00000008118:ENSG00000142875
DEG.up	Brain_Hypothalamus	1979	2	0.829336174171255	1	ENSG00000008118:ENSG00000142875
DEG.up	Brain_Nucleus_accumbens_basal_ganglia	1834	5	0.150370231761448	1	ENSG00000138814:ENSG00000183049:ENSG00000008118:ENSG00000152495:ENSG00000142875
DEG.up	Brain_Putamen_basal_ganglia	1346	5	0.0540676171548399	1	ENSG00000138814:ENSG00000183049:ENSG00000008118:ENSG00000152495:ENSG00000142875
DEG.up	Brain_Spinal_cord_cervical_c-1	1611	2	0.728589373687643	1	ENSG00000142875:ENSG00000127955
DEG.up	Brain_Substantia_nigra	1277	1	0.872850409101211	1	ENSG00000142875
DEG.up	Breast_Mammary_Tissue	1428	1	0.901393377120498	1	ENSG00000132356
DEG.up	Cells_Cultured_fibroblasts	3686	2	0.986635197413925	1	ENSG00000213281:ENSG00000132356
DEG.up	Cells_EBV-transformed_lymphocytes	3833	4	0.876396122018215	1	ENSG00000213281:ENSG00000120910:ENSG00000183049:ENSG00000152495
DEG.up	Cervix_Ectocervix	187	0	1	1	
DEG.up	Cervix_Endocervix	1723	1	0.940396650268525	1	ENSG00000132356
DEG.up	Colon_Sigmoid	1264	1	0.870050783256666	1	ENSG00000162409
DEG.up	Colon_Transverse	1128	1	0.836962461819031	1	ENSG00000129007
DEG.up	Esophagus_Gastroesophageal_Junction	1016	2	0.474437299717483	1	ENSG00000129007:ENSG00000162409
DEG.up	Esophagus_Mucosa	1755	1	0.943595180078164	1	ENSG00000213281
DEG.up	Esophagus_Muscularis	1043	3	0.219372351181239	1	ENSG00000129007:ENSG00000133703:ENSG00000162409
DEG.up	Fallopian_Tube	451	0	1	1	
DEG.up	Heart_Atrial_Appendage	572	1	0.595484637165476	1	ENSG00000162409
DEG.up	Heart_Left_Ventricle	395	1	0.463056867591302	1	ENSG00000162409
DEG.up	Kidney_Cortex	948	1	0.780487884033953	1	ENSG00000129007
DEG.up	Kidney_Medulla	93	0	1	1	
DEG.up	Liver	1090	0	1	1	
DEG.up	Lung	3029	2	0.961833640928265	1	ENSG00000156052:ENSG00000213281
DEG.up	Minor_Salivary_Gland	1285	0	1	1	
DEG.up	Muscle_Skeletal	879	4	0.0455463406861637	1	ENSG00000169885:ENSG00000107758:ENSG00000120910:ENSG00000162409
DEG.up	Nerve_Tibial	4157	6	0.655052491132436	1	ENSG00000129007:ENSG00000156052:ENSG00000133703:ENSG00000120910:ENSG00000132356:ENSG00000127955
DEG.up	Ovary	3674	1	0.998336564362073	1	ENSG00000008118
DEG.up	Pancreas	549	0	1	1	
DEG.up	Pituitary	3253	2	0.973067205465068	1	ENSG00000008118:ENSG00000142875
DEG.up	Prostate	2019	2	0.838073186423721	1	ENSG00000169885:ENSG00000138814
DEG.up	Skin_Not_Sun_Exposed_Suprapubic	2037	3	0.628676238205945	1	ENSG00000213281:ENSG00000183049:ENSG00000127955
DEG.up	Skin_Sun_Exposed_Lower_leg	2163	3	0.670814154294409	1	ENSG00000213281:ENSG00000183049:ENSG00000127955
DEG.up	Small_Intestine_Terminal_Ileum	1855	1	0.952559095365841	1	ENSG00000129007
DEG.up	Spleen	2666	2	0.934236009827909	1	ENSG00000129007:ENSG00000008118
DEG.up	Stomach	780	0	1	1	
DEG.up	Testis	5947	3	0.99859341838436	1	ENSG00000169885:ENSG00000120910:ENSG00000152495
DEG.up	Thyroid	3732	1	0.99851537320539	1	ENSG00000132356
DEG.up	Uterus	3999	3	0.965052282243185	1	ENSG00000107758:ENSG00000156052:ENSG00000132356
DEG.up	Vagina	2013	0	1	1	
DEG.up	Whole_Blood	1299	0	1	1	
DEG.down	Adipose_Subcutaneous	1307	2	0.613545033460699	1	ENSG00000162409:ENSG00000142875
DEG.down	Adipose_Visceral_Omentum	1400	3	0.373282649462419	1	ENSG00000162409:ENSG00000183049:ENSG00000142875
DEG.down	Adrenal_Gland	2994	7	0.172131015681498	1	ENSG00000174775:ENSG00000133703:ENSG00000120910:ENSG00000162409:ENSG00000183049:ENSG00000008118:ENSG00000142875
DEG.down	Artery_Aorta	1323	3	0.339593923330929	1	ENSG00000129007:ENSG00000183049:ENSG00000127955
DEG.down	Artery_Coronary	863	0	1	1	
DEG.down	Artery_Tibial	1746	1	0.942712723329406	1	ENSG00000129007
DEG.down	Bladder	103	0	1	1	
DEG.down	Brain_Amygdala	6995	9	0.821727296264205	1	ENSG00000129007:ENSG00000101335:ENSG00000186298:ENSG00000133703:ENSG00000213281:ENSG00000120910:ENSG00000132356:ENSG00000162409:ENSG00000181929
DEG.down	Brain_Anterior_cingulate_cortex_BA24	6003	6	0.943269951526936	1	ENSG00000129007:ENSG00000101335:ENSG00000186298:ENSG00000120910:ENSG00000132356:ENSG00000181929
DEG.down	Brain_Caudate_basal_ganglia	6174	10	0.508303463769145	1	ENSG00000129007:ENSG00000101335:ENSG00000186298:ENSG00000133703:ENSG00000213281:ENSG00000120910:ENSG00000132356:ENSG00000162409:ENSG00000127955:ENSG00000181929
DEG.down	Brain_Cerebellar_Hemisphere	2381	1	0.98125183301395	1	ENSG00000101335
DEG.down	Brain_Cerebellum	2483	1	0.984397246589418	1	ENSG00000101335
