Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
GO_bp	GO_CALCIUM_MEDIATED_SIGNALING	212	10	2.475000848182701e-13	1.1453722782536678e-09	CALML6:PPP3CB:CALM1:CALML4:PRKACA:CALM2:PPP3R1:PPP3CA:PRKAA1:PPP3CC	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CALCIUM_MEDIATED_SIGNALING
GO_bp	GO_SECOND_MESSENGER_MEDIATED_SIGNALING	430	12	3.116659260554198e-13	1.1453722782536678e-09	CALML6:PPP3CB:CALM1:CALML4:PRKACA:CALM2:PPP3R1:PPP3CA:PRKAA1:GNAI1:PPP3CC:GNAQ	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_SECOND_MESSENGER_MEDIATED_SIGNALING
GO_bp	GO_PROTEIN_PHOSPHORYLATION	1889	18	3.6365244481827784e-12	8.909484898047807e-09	PRKAA2:PRKACB:NRAS:CAMK1G:CAMK1D:PPP3CB:HRAS:KRAS:PRKAG1:CALM1:PRKACA:CALM2:MAPK1:CAMK1:RHOA:PRKAA1:CAMK4:GNAQ	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_PROTEIN_PHOSPHORYLATION
GO_bp	GO_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY	365	10	5.4352528474757964e-11	9.30206202034734e-08	PRKACB:NRAS:PPP3CB:HRAS:KRAS:CALM1:PRKACA:PPP3R1:MAPK1:PPP3CA	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY
GO_bp	GO_REGULATION_OF_CELLULAR_LOCALIZATION	869	13	6.327933347175061e-11	9.30206202034734e-08	PRKAA2:PPP3CB:HRAS:PPP1CC:CALM1:PRKACA:CALM2:PPP3R1:MAPK1:CAMK1:PRKAA1:GNAI1:PPP3CC	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_CELLULAR_LOCALIZATION
GO_bp	GO_POSITIVE_REGULATION_OF_KINASE_ACTIVITY	560	11	1.6667339301851705e-10	2.0417490644768337e-07	PRKACB:HRAS:KRAS:PRKAG1:CALM1:PRKACA:CALM2:MAPK1:CAMK1:RHOA:PRKAA1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_KINASE_ACTIVITY
GO_bp	GO_POSITIVE_REGULATION_OF_CELLULAR_PROTEIN_LOCALIZATION	314	9	4.029036039851319e-10	4.230487841843885e-07	PRKAA2:HRAS:PRKACA:PPP3R1:MAPK1:CAMK1:PRKAA1:GNAI1:PPP3CC	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_CELLULAR_PROTEIN_LOCALIZATION
GO_bp	GO_POSITIVE_REGULATION_OF_TRANSFERASE_ACTIVITY	634	11	6.208189027580997e-10	5.703773669090041e-07	PRKACB:HRAS:KRAS:PRKAG1:CALM1:PRKACA:CALM2:MAPK1:CAMK1:RHOA:PRKAA1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_TRANSFERASE_ACTIVITY
GO_bp	GO_REGULATION_OF_KINASE_ACTIVITY	837	12	7.199519722620676e-10	5.879607773473552e-07	PRKACB:HRAS:KRAS:PRKAG1:CALM1:PRKACA:CALM2:MAPK1:CAMK1:RHOA:PRKAA1:GNAQ	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_KINASE_ACTIVITY
GO_bp	GO_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY	521	10	1.729564434681774e-09	1.271229859491104e-06	PRKACB:NRAS:PPP3CB:HRAS:KRAS:CALM1:PRKACA:PPP3R1:MAPK1:PPP3CA	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY
