ensg	entrezID	symbol	hgnc_symbol	OMIM	uniprotID	DrugBank
ENSG00000169885	163688	CALML6	CALML6	610171	Q8TD86	NA
ENSG00000162409	5563	PRKAA2	PRKAA2	600497	P54646	DB00945:DB12010
ENSG00000142875	5567	PRKACB	PRKACB	176892	P22694	DB02482:DB12010
ENSG00000213281	4893	NRAS	NRAS	164790	P01111	NA
ENSG00000008118	57172	CAMK1G	CAMK1G	614994	Q96NX5	DB08009:DB12010
ENSG00000183049	57118	CAMK1D	CAMK1D	607957	Q8IU85	DB08454:DB12010
ENSG00000107758	5532	PPP3CB	PPP3CB	114106	P16298	NA
ENSG00000174775	3265	HRAS	HRAS	190020	P01112	DB02210:DB03226:DB04137:DB04315:DB08751
ENSG00000133703	3845	KRAS	KRAS	190070	P01116	DB07771:DB07780
ENSG00000181929	5571	PRKAG1	PRKAG1	602742	P54619	DB00945:DB12010
ENSG00000186298	5501	PPP1CC	PPP1CC	176914	P36873	DB02169:DB02860:DB04738
ENSG00000198668	801	CALM1	CALM1	114180	P0DP23	DB00477:DB00527:DB00622:DB00623:DB00753:DB00831:DB00836:DB00850:DB00925:DB01023:DB01065:DB01069:DB01100:DB01115:DB01244:DB01373:DB01429:DB02868:DB03900:DB03977:DB04513:DB04825:DB04841:DB08039:DB08231:DB11093:DB11348:DB13800:DB14481
ENSG00000129007	91860	CALML4	CALML4	NA	Q96GE6	NA
ENSG00000167658	1938	EEF2	EEF2	130610	P13639	DB02059:DB03223:DB04315:DB08348:DB11823:DB12688
ENSG00000072062	5566	PRKACA	PRKACA	601639	P17612	DB01919:DB01940:DB02155:DB02482:DB02611:DB03374:DB04098:DB04522:DB04530:DB04707:DB06959:DB06977:DB07107:DB07124:DB07204:DB07235:DB07458:DB07583:DB07854:DB07855:DB07856:DB07857:DB07858:DB07859:DB07860:DB07876:DB07947:DB07995:DB07996:DB07997:DB08070:DB08073:DB08113:DB08114:DB08148:DB08149:DB08150:DB08162:DB08231:DB08568:DB08569:DB08756:DB08846:DB12010
ENSG00000213639	5500	PPP1CB	PPP1CB	600590	P62140	NA
ENSG00000143933	805	CALM2	CALM2	114182	P0DP24	DB11093:DB11348:DB14481
ENSG00000221823	5534	PPP3R1	PPP3R1	601302	P63098	DB08231:DB11693
ENSG00000101335	10398	MYL9	MYL9	609905	P24844	NA
ENSG00000100030	5594	MAPK1	MAPK1	176948	P28482	DB01064:DB01169:DB02116:DB02482:DB02733:DB04338:DB06195:DB06641:DB06877:DB07010:DB07264:DB07788:DB07794:DB07905:DB08513:DB08521:DB11120:DB13930
ENSG00000134072	8536	CAMK1	CAMK1	604998	Q14012	DB12010
ENSG00000067560	387	RHOA	RHOA	165390	P61586	DB04315
ENSG00000138814	5530	PPP3CA	PPP3CA	114105	Q08209	DB08231
ENSG00000132356	5562	PRKAA1	PRKAA1	602739	Q13131	DB00131:DB00171:DB00914:DB12010
ENSG00000152495	814	CAMK4	CAMK4	114080	Q16566	DB07664:DB07676
ENSG00000127955	2770	GNAI1	GNAI1	139310	P63096	DB04315:DB04444
ENSG00000120910	5533	PPP3CC	PPP3CC	114107	P48454	NA
ENSG00000156052	2776	GNAQ	GNAQ	600998	P50148	NA
