Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.up	Adipose_Tissue	1554	2	0.709353052060963	1	ENSG00000132356:ENSG00000127955
DEG.up	Adrenal_Gland	1204	0	1	1	
DEG.up	Bladder	728	0	1	1	
DEG.up	Blood	1477	0	1	1	
DEG.up	Blood_Vessel	2139	5	0.234065472121261	1	ENSG00000107758:ENSG00000156052:ENSG00000120910:ENSG00000132356:ENSG00000142875
DEG.up	Brain	2348	5	0.298484871333419	1	ENSG00000138814:ENSG00000183049:ENSG00000008118:ENSG00000152495:ENSG00000142875
DEG.up	Breast	1428	1	0.901393377120498	1	ENSG00000132356
DEG.up	Cervix_Uteri	2514	0	1	1	
DEG.up	Colon	1107	1	0.831178233814213	1	ENSG00000129007
DEG.up	Esophagus	1008	3	0.205048953296597	1	ENSG00000129007:ENSG00000133703:ENSG00000162409
DEG.up	Fallopian_Tube	451	0	1	1	
DEG.up	Heart	458	1	0.514383452661694	1	ENSG00000162409
DEG.up	Kidney	963	1	0.785835981156993	1	ENSG00000129007
DEG.up	Liver	1090	0	1	1	
DEG.up	Lung	3029	2	0.961833640928265	1	ENSG00000156052:ENSG00000213281
DEG.up	Muscle	879	4	0.0455463406861637	1	ENSG00000169885:ENSG00000107758:ENSG00000120910:ENSG00000162409
DEG.up	Nerve	4157	6	0.655052491132436	1	ENSG00000129007:ENSG00000156052:ENSG00000133703:ENSG00000120910:ENSG00000132356:ENSG00000127955
DEG.up	Ovary	3674	1	0.998336564362073	1	ENSG00000008118
DEG.up	Pancreas	549	0	1	1	
DEG.up	Pituitary	3253	2	0.973067205465068	1	ENSG00000008118:ENSG00000142875
DEG.up	Prostate	2019	2	0.838073186423721	1	ENSG00000169885:ENSG00000138814
DEG.up	Salivary_Gland	1285	0	1	1	
DEG.up	Skin	2568	2	0.9241768842645	1	ENSG00000213281:ENSG00000127955
DEG.up	Small_Intestine	1855	1	0.952559095365841	1	ENSG00000129007
DEG.up	Spleen	2666	2	0.934236009827909	1	ENSG00000129007:ENSG00000008118
DEG.up	Stomach	780	0	1	1	
DEG.up	Testis	5947	3	0.99859341838436	1	ENSG00000169885:ENSG00000120910:ENSG00000152495
DEG.up	Thyroid	3732	1	0.99851537320539	1	ENSG00000132356
DEG.up	Uterus	3999	3	0.965052282243185	1	ENSG00000107758:ENSG00000156052:ENSG00000132356
DEG.up	Vagina	2013	0	1	1	
DEG.down	Adipose_Tissue	1360	2	0.635842683775798	1	ENSG00000162409:ENSG00000142875
DEG.down	Adrenal_Gland	2994	7	0.172131015681498	1	ENSG00000174775:ENSG00000133703:ENSG00000120910:ENSG00000162409:ENSG00000183049:ENSG00000008118:ENSG00000142875
DEG.down	Bladder	103	0	1	1	
DEG.down	Blood	5553	9	0.512136430171775	1	ENSG00000138814:ENSG00000107758:ENSG00000101335:ENSG00000186298:ENSG00000156052:ENSG00000174775:ENSG00000132356:ENSG00000134072:ENSG00000142875
DEG.down	Blood_Vessel	1485	1	0.910470421259207	1	ENSG00000129007
DEG.down	Brain	4950	6	0.823361953023499	1	ENSG00000129007:ENSG00000101335:ENSG00000120910:ENSG00000132356:ENSG00000162409:ENSG00000181929
DEG.down	Breast	912	3	0.167166225946807	1	ENSG00000162409:ENSG00000183049:ENSG00000142875
DEG.down	Cervix_Uteri	44	0	1	1	
DEG.down	Colon	1245	0	1	1	
DEG.down	Esophagus	1465	1	0.907381306892796	1	ENSG00000138814
DEG.down	Fallopian_Tube	1	0	1	1	
DEG.down	Heart	8251	14	0.399016446875673	1	ENSG00000129007:ENSG00000138814:ENSG00000107758:ENSG00000221823:ENSG00000156052:ENSG00000174775:ENSG00000133703:ENSG00000213281:ENSG00000132356:ENSG00000183049:ENSG00000134072:ENSG00000142875:ENSG00000127955:ENSG00000100030
DEG.down	Kidney	4932	12	0.0565668479595793	1	ENSG00000138814:ENSG00000107758:ENSG00000221823:ENSG00000186298:ENSG00000156052:ENSG00000133703:ENSG00000120910:ENSG00000132356:ENSG00000183049:ENSG00000072062:ENSG00000142875:ENSG00000100030
DEG.down	Liver	7196	15	0.101976629042388	1	ENSG00000138814:ENSG00000107758:ENSG00000221823:ENSG00000213639:ENSG00000186298:ENSG00000156052:ENSG00000174775:ENSG00000133703:ENSG00000213281:ENSG00000120910:ENSG00000183049:ENSG00000142875:ENSG00000127955:ENSG00000181929:ENSG00000100030
DEG.down	Lung	820	3	0.133270995143966	1	ENSG00000162409:ENSG00000152495:ENSG00000142875
DEG.down	Muscle	6093	9	0.644961726909262	1	ENSG00000129007:ENSG00000156052:ENSG00000133703:ENSG00000213281:ENSG00000132356:ENSG00000134072:ENSG00000142875:ENSG00000127955:ENSG00000100030
DEG.down	Nerve	784	2	0.346284803639515	1	ENSG00000008118:ENSG00000142875
DEG.down	Ovary	1429	2	0.663437724442966	1	ENSG00000162409:ENSG00000183049
DEG.down	Pancreas	8671	20	0.0108905100074433	0.3267153002233	ENSG00000129007:ENSG00000138814:ENSG00000107758:ENSG00000221823:ENSG00000101335:ENSG00000213639:ENSG00000186298:ENSG00000156052:ENSG00000174775:ENSG00000133703:ENSG00000213281:ENSG00000120910:ENSG00000132356:ENSG00000162409:ENSG00000134072:ENSG00000072062:ENSG00000142875:ENSG00000127955:ENSG00000181929:ENSG00000100030
DEG.down	Pituitary	1752	6	0.049169028255209	1	ENSG00000138814:ENSG00000213281:ENSG00000132356:ENSG00000162409:ENSG00000183049:ENSG00000127955
DEG.down	Prostate	698	1	0.669922242172829	1	ENSG00000127955
DEG.down	Salivary_Gland	1666	3	0.486880715461538	1	ENSG00000183049:ENSG00000134072:ENSG00000127955
