symbol	ensg	entrez
MAP2K1	ENSG00000169032	5604
MAP2K2	ENSG00000126934	5605
MAP2K5	ENSG00000137764	5607
PRKCA	ENSG00000154229	5578
PRKCB	ENSG00000166501	5579
CAMK2A	ENSG00000070808	815
CAMK2D	ENSG00000145349	817
CAMK2G	ENSG00000148660	818
SRC	ENSG00000197122	6714
ROCK1	ENSG00000067900	6093
ROCK2	ENSG00000134318	9475
CCND1	ENSG00000110092	595
ITPR1	ENSG00000150995	3708
ITPR2	ENSG00000123104	3709
PTGS2	ENSG00000073756	5743
PLCB4	ENSG00000101333	5332
CACNA1C	ENSG00000151067	775
CACNA1D	ENSG00000157388	776
CANCB2	NA	NA
CACNB4	ENSG00000182389	785
CAMK2	NA	NA
GUCY1B1	NA	NA
ADCY5	ENSG00000173175	111
PRKAG2	ENSG00000106617	51422
NPR1	ENSG00000169418	4881
KCNJ6	ENSG00000157542	3763
RYR2	ENSG00000198626	6262
CACNB1	ENSG00000067191	782
