Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
GO_bp	GO_REGULATION_OF_TRANSPORT	1781	21	1.4977842320597143e-18	1.10087141056389e-14	NPR1:PTGS2:RYR2:CAMK2G:CACNA1C:ITPR2:MAP2K1:PRKCB:CACNB1:PRKCA:ROCK1:MAP2K2:CACNB4:SRC:KCNJ6:ITPR1:CACNA1D:ADCY5:CAMK2D:CAMK2A:PRKAG2	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_TRANSPORT
GO_bp	GO_REGULATION_OF_SYSTEM_PROCESS	572	15	2.52753736279664e-17	9.288699808277652e-14	NPR1:PTGS2:RYR2:CAMK2G:CACNA1C:ITPR2:CACNB1:PRKCA:ROCK1:ROCK2:CACNB4:SRC:ITPR1:CACNA1D:CAMK2D	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_SYSTEM_PROCESS
GO_bp	GO_CIRCULATORY_SYSTEM_PROCESS	525	13	1.511526721660611e-14	3.7032404680684967e-11	NPR1:PTGS2:RYR2:CACNA1C:ITPR2:CACNB1:ROCK1:ROCK2:CACNB4:SRC:ITPR1:CACNA1D:CAMK2D	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CIRCULATORY_SYSTEM_PROCESS
GO_bp	GO_CARDIAC_CONDUCTION	140	9	8.024551802110001e-14	1.4745113936377127e-10	NPR1:RYR2:CACNA1C:ITPR2:CACNB1:CACNB4:ITPR1:CACNA1D:CAMK2D	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CARDIAC_CONDUCTION
GO_bp	GO_DIVALENT_INORGANIC_CATION_TRANSPORT	463	12	1.254796262980606e-13	1.844550506581491e-10	PTGS2:RYR2:CAMK2G:CACNA1C:ITPR2:PRKCB:CACNB1:CACNB4:ITPR1:CACNA1D:CAMK2D:CAMK2A	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_DIVALENT_INORGANIC_CATION_TRANSPORT
GO_bp	GO_HEART_PROCESS	278	10	8.947272355306529e-13	1.0960408635250498e-09	NPR1:RYR2:CACNA1C:ITPR2:CACNB1:CACNB4:SRC:ITPR1:CACNA1D:CAMK2D	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_HEART_PROCESS
GO_bp	GO_REGULATION_OF_BLOOD_CIRCULATION	283	10	1.068619089647648e-12	1.1220500441300305e-09	NPR1:PTGS2:RYR2:CACNA1C:ITPR2:CACNB1:CACNB4:ITPR1:CACNA1D:CAMK2D	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_BLOOD_CIRCULATION
GO_bp	GO_MULTICELLULAR_ORGANISMAL_SIGNALING	198	9	1.8801476092503806e-12	1.7273856159987873e-09	NPR1:RYR2:CACNA1C:ITPR2:CACNB1:CACNB4:ITPR1:CACNA1D:CAMK2D	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_MULTICELLULAR_ORGANISMAL_SIGNALING
GO_bp	GO_CELL_CELL_SIGNALING	1619	16	5.621499985725303e-12	4.590891655008998e-09	PTGS2:RYR2:CAMK2G:CCND1:CACNA1C:ITPR2:PRKCB:CACNB1:PRKCA:CACNB4:PLCB4:SRC:ITPR1:CACNA1D:ADCY5:CAMK2A	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CELL_CELL_SIGNALING
GO_bp	GO_METAL_ION_TRANSPORT	862	13	8.262471987242897e-12	5.6589495376537355e-09	PTGS2:RYR2:CAMK2G:CACNA1C:ITPR2:PRKCB:CACNB1:CACNB4:KCNJ6:ITPR1:CACNA1D:CAMK2D:CAMK2A	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_METAL_ION_TRANSPORT
GO_bp	GO_REGULATION_OF_CALCIUM_ION_TRANSPORT	234	9	8.46917617880151e-12	5.6589495376537355e-09	PTGS2:RYR2:CAMK2G:CACNA1C:CACNB1:CACNB4:CACNA1D:CAMK2D:CAMK2A	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_CALCIUM_ION_TRANSPORT
GO_bp	GO_REGULATION_OF_CELLULAR_LOCALIZATION	872	13	9.551484696260429e-12	5.8502843764595126e-09	PTGS2:RYR2:CACNA1C:MAP2K1:PRKCB:ROCK1:MAP2K2:ROCK2:SRC:CACNA1D:ADCY5:CAMK2D:CAMK2A	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_CELLULAR_LOCALIZATION
GO_bp	GO_PROTEIN_PHOSPHORYLATION	1900	16	6.430379322415302e-11	3.635637539980959e-08	NPR1:PTGS2:CAMK2G:CCND1:MAP2K1:MAP2K5:PRKCB:PRKCA:ROCK1:MAP2K2:ROCK2:SRC:ADCY5:CAMK2D:CAMK2A:PRKAG2	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_PROTEIN_PHOSPHORYLATION
GO_bp	GO_PEPTIDYL_SERINE_MODIFICATION	306	9	9.307536542409612e-11	4.886456684765046e-08	PTGS2:PRKCB:PRKCA:ROCK1:MAP2K2:ROCK2:SRC:CAMK2D:CAMK2A	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_PEPTIDYL_SERINE_MODIFICATION
GO_bp	GO_PEPTIDYL_THREONINE_MODIFICATION	117	7	1.1116304063607749e-10	5.4469889911677964e-08	MAP2K1:PRKCB:PRKCA:ROCK2:CAMK2D:CAMK2A:PRKAG2	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_PEPTIDYL_THREONINE_MODIFICATION
GO_bp	GO_RESPONSE_TO_ANGIOTENSIN	25	5	1.2516557445055916e-10	5.749793576322562e-08	PTGS2:ROCK1:ROCK2:SRC:CAMK2A	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_RESPONSE_TO_ANGIOTENSIN
GO_bp	GO_CATION_TRANSPORT	1124	13	2.268935452748842e-10	9.809809163355286e-08	PTGS2:RYR2:CAMK2G:CACNA1C:ITPR2:PRKCB:CACNB1:CACNB4:KCNJ6:ITPR1:CACNA1D:CAMK2D:CAMK2A	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CATION_TRANSPORT
GO_bp	GO_REGULATION_OF_MUSCLE_SYSTEM_PROCESS	229	8	3.191075413035731e-10	1.3030224603229235e-07	PTGS2:RYR2:CAMK2G:CACNA1C:PRKCA:ROCK1:ROCK2:CAMK2D	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_MUSCLE_SYSTEM_PROCESS
GO_bp	GO_REGULATION_OF_METAL_ION_TRANSPORT	366	9	4.5441889679570593e-10	1.7578836270781255e-07	PTGS2:RYR2:CAMK2G:CACNA1C:CACNB1:CACNB4:CACNA1D:CAMK2D:CAMK2A	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_METAL_ION_TRANSPORT
GO_bp	GO_ANGIOTENSIN_ACTIVATED_SIGNALING_PATHWAY	12	4	1.0812954820246144e-09	3.973760896440458e-07	ROCK1:ROCK2:SRC:CAMK2A	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_ANGIOTENSIN_ACTIVATED_SIGNALING_PATHWAY
GO_bp	GO_ION_TRANSPORT	1635	14	1.721155151455712e-09	6.024043030094991e-07	PTGS2:RYR2:CAMK2G:CACNA1C:ITPR2:PRKCB:CACNB1:CACNB4:KCNJ6:ITPR1:CACNA1D:CAMK2D:CAMK2A:PRKAG2	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_ION_TRANSPORT
GO_bp	GO_MUSCLE_SYSTEM_PROCESS	436	9	2.1153259420559625e-09	7.067111670050602e-07	PTGS2:RYR2:CAMK2G:CACNA1C:PRKCA:ROCK1:ROCK2:CACNA1D:CAMK2D	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_MUSCLE_SYSTEM_PROCESS
GO_bp	GO_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	619	10	2.2947251781959204e-09	7.333143504234789e-07	PTGS2:RYR2:ITPR2:PRKCB:CACNB1:ROCK1:ROCK2:SRC:ADCY5:CAMK2A	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND
GO_bp	GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	305	8	3.0690144022747443e-09	9.398856606966404e-07	RYR2:CACNA1C:ITPR2:CACNB1:CACNB4:ITPR1:CACNA1D:CAMK2D	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT
GO_bp	GO_SIGNAL_RELEASE	459	9	3.3153841958310915e-09	9.74722953574341e-07	CAMK2G:CACNA1C:ITPR2:PRKCB:PRKCA:ITPR1:CACNA1D:ADCY5:CAMK2A	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_SIGNAL_RELEASE
GO_bp	GO_REGULATION_OF_ION_TRANSPORT	659	10	4.187798993927816e-09	1.1838585617449785e-06	PTGS2:RYR2:CAMK2G:CACNA1C:CACNB1:CACNB4:KCNJ6:CACNA1D:CAMK2D:CAMK2A	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_ION_TRANSPORT
GO_bp	GO_INSULIN_SECRETION	205	7	5.675382110409952e-09	1.5449651300560426e-06	CAMK2G:CACNA1C:ITPR2:PRKCA:ITPR1:CACNA1D:ADCY5	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_INSULIN_SECRETION
GO_bp	GO_PEPTIDYL_AMINO_ACID_MODIFICATION	1199	12	7.748190361299419e-09	2.0338999698410977e-06	PTGS2:MAP2K1:MAP2K5:PRKCB:PRKCA:ROCK1:MAP2K2:ROCK2:SRC:CAMK2D:CAMK2A:PRKAG2	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_PEPTIDYL_AMINO_ACID_MODIFICATION
GO_bp	GO_RESPONSE_TO_NITROGEN_COMPOUND	948	11	9.077350686705669e-09	2.3006388809409194e-06	PTGS2:RYR2:CCND1:ITPR2:PRKCB:CACNB1:ROCK1:ROCK2:SRC:ADCY5:CAMK2A	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_RESPONSE_TO_NITROGEN_COMPOUND
GO_bp	GO_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	536	9	1.2769142240563512e-08	3.1284398489380603e-06	RYR2:CACNA1C:PRKCB:CACNB1:CACNB4:KCNJ6:CACNA1D:CAMK2D:PRKAG2	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_TRANSMEMBRANE_TRANSPORT
GO_bp	GO_SECRETION	1614	13	1.890788168438175e-08	4.355444118620505e-06	NPR1:CAMK2G:CCND1:CACNA1C:ITPR2:PRKCB:PRKCA:ROCK1:SRC:ITPR1:CACNA1D:ADCY5:CAMK2A	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_SECRETION
GO_bp	GO_REGULATION_OF_SECRETION	772	10	1.8962477795354578e-08	4.355444118620505e-06	NPR1:CACNA1C:ITPR2:PRKCB:PRKCA:SRC:ITPR1:CACNA1D:ADCY5:CAMK2A	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_SECRETION
GO_bp	GO_PEPTIDE_HORMONE_SECRETION	248	7	2.1152651522367815e-08	4.711272384527377e-06	CAMK2G:CACNA1C:ITPR2:PRKCA:ITPR1:CACNA1D:ADCY5	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_PEPTIDE_HORMONE_SECRETION
GO_bp	GO_REGULATION_OF_CARDIAC_CONDUCTION	68	5	2.3659954908401017e-08	5.114725546374925e-06	NPR1:RYR2:ITPR2:ITPR1:CAMK2D	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_CARDIAC_CONDUCTION
GO_bp	GO_ION_HOMEOSTASIS	796	10	2.53512275323e-08	5.2387798401171805e-06	NPR1:RYR2:CACNA1C:ITPR2:PRKCB:SRC:ITPR1:CACNA1D:ADCY5:CAMK2D	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_ION_HOMEOSTASIS
GO_bp	GO_POSITIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS	1048	11	2.5659329829145372e-08	5.2387798401171805e-06	PTGS2:CCND1:MAP2K1:MAP2K5:PRKCA:ROCK1:MAP2K2:ROCK2:SRC:ADCY5:PRKAG2	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS
GO_bp	GO_CELLULAR_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	1089	11	3.810778776554281e-08	7.570060542614585e-06	PTGS2:RYR2:ITPR2:PRKCB:CACNB1:PRKCA:ROCK1:ROCK2:SRC:ADCY5:CAMK2A	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CELLULAR_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND
GO_bp	GO_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION	1719	13	4.029589369277558e-08	7.794074174786856e-06	RYR2:CCND1:CACNA1C:MAP2K1:MAP2K5:PRKCB:MAP2K2:ROCK2:SRC:CACNA1D:ADCY5:CAMK2A:PRKAG2	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION
GO_bp	GO_SECOND_MESSENGER_MEDIATED_SIGNALING	432	8	4.6185738050684165e-08	8.704235248013554e-06	NPR1:RYR2:CACNA1C:ITPR2:PRKCA:ITPR1:ADCY5:CAMK2D	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_SECOND_MESSENGER_MEDIATED_SIGNALING
GO_bp	GO_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION	1768	13	5.6381661308897334e-08	1.0360130265509885e-05	NPR1:PTGS2:MAP2K1:MAP2K5:PRKCB:PRKCA:ROCK1:MAP2K2:ROCK2:SRC:ITPR1:CAMK2D:PRKAG2	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION
GO_bp	GO_METAL_ION_HOMEOSTASIS	643	9	6.122470328870315e-08	1.0975648028584589e-05	NPR1:RYR2:CACNA1C:ITPR2:PRKCB:ITPR1:CACNA1D:ADCY5:CAMK2D	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_METAL_ION_HOMEOSTASIS
GO_bp	GO_REGULATION_OF_MUSCLE_ADAPTATION	83	5	6.504932348819584e-08	1.1383631610434272e-05	CAMK2G:PRKCA:ROCK1:ROCK2:CAMK2D	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_MUSCLE_ADAPTATION
GO_bp	GO_POSITIVE_REGULATION_OF_MUSCLE_HYPERTROPHY	31	4	6.76035943455716e-08	1.155549810325468e-05	PRKCA:ROCK1:ROCK2:CAMK2D	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_MUSCLE_HYPERTROPHY
GO_bp	GO_MEMBRANE_DEPOLARIZATION	85	5	7.336201239555271e-08	1.2030502421300791e-05	CACNA1C:CACNB4:SRC:CACNA1D:CAMK2D	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_MEMBRANE_DEPOLARIZATION
GO_bp	GO_REGULATION_OF_INSULIN_SECRETION	173	6	7.365613727327014e-08	1.2030502421300791e-05	CACNA1C:ITPR2:PRKCA:ITPR1:CACNA1D:ADCY5	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_INSULIN_SECRETION
GO_bp	GO_MUSCLE_HYPERTROPHY	87	5	8.249684842932849e-08	1.3181561651207921e-05	RYR2:PRKCA:ROCK1:ROCK2:CAMK2D	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_MUSCLE_HYPERTROPHY
GO_bp	GO_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	1183	11	8.906646120395664e-08	1.3928478507427263e-05	PTGS2:CCND1:MAP2K1:MAP2K5:PRKCA:ROCK1:MAP2K2:ROCK2:SRC:ADCY5:PRKAG2	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS
GO_bp	GO_REGULATION_OF_VASCULATURE_DEVELOPMENT	311	7	9.965989263823154e-08	1.5260421060229204e-05	NPR1:PTGS2:MAP2K5:PRKCB:PRKCA:ROCK1:ROCK2	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_VASCULATURE_DEVELOPMENT
GO_bp	GO_HORMONE_TRANSPORT	319	7	1.1846998183785295e-07	1.7619619812038708e-05	CAMK2G:CACNA1C:ITPR2:PRKCA:ITPR1:CACNA1D:ADCY5	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_HORMONE_TRANSPORT
GO_bp	GO_RESPONSE_TO_PEPTIDE	489	8	1.1986135926556944e-07	1.7619619812038708e-05	PTGS2:PRKCB:CACNB1:ROCK1:ROCK2:SRC:ADCY5:CAMK2A	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_RESPONSE_TO_PEPTIDE
GO_bp	GO_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT	946	10	1.2878963907314735e-07	1.8315890986118747e-05	PTGS2:RYR2:CACNA1C:MAP2K5:PRKCA:ROCK1:ROCK2:SRC:CAMK2D:CAMK2A	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT
GO_bp	GO_REGULATION_OF_BODY_FLUID_LEVELS	494	8	1.295818137793435e-07	1.8315890986118747e-05	NPR1:CCND1:ITPR2:PRKCB:PRKCA:SRC:ITPR1:ADCY5	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_BODY_FLUID_LEVELS
GO_bp	GO_DIVALENT_INORGANIC_CATION_HOMEOSTASIS	497	8	1.3573412117518167e-07	1.882350548372802e-05	RYR2:CACNA1C:ITPR2:PRKCB:ITPR1:CACNA1D:ADCY5:CAMK2D	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_DIVALENT_INORGANIC_CATION_HOMEOSTASIS
GO_bp	GO_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	1569	12	1.5486181416804142e-07	2.1078413595094527e-05	PTGS2:RYR2:CCND1:ITPR2:PRKCB:CACNB1:PRKCA:ROCK1:ROCK2:SRC:ADCY5:CAMK2A	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND
GO_bp	GO_TUBE_DEVELOPMENT	992	10	2.0059720649299667e-07	2.6005827268261062e-05	NPR1:PTGS2:RYR2:MAP2K1:MAP2K5:PRKCB:PRKCA:ROCK1:ROCK2:SRC	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_TUBE_DEVELOPMENT
GO_bp	GO_REGULATION_OF_PEPTIDE_HORMONE_SECRETION	205	6	2.0120635885593517e-07	2.6005827268261062e-05	CACNA1C:ITPR2:PRKCA:ITPR1:CACNA1D:ADCY5	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_PEPTIDE_HORMONE_SECRETION
GO_bp	GO_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION	345	7	2.0167784412120825e-07	2.6005827268261062e-05	RYR2:CACNA1C:ITPR2:ITPR1:CACNA1D:ADCY5:CAMK2D	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION
GO_bp	GO_MUSCLE_CONTRACTION	346	7	2.0567215686755375e-07	2.606362677545724e-05	PTGS2:RYR2:CACNA1C:ROCK1:ROCK2:CACNA1D:CAMK2D	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_MUSCLE_CONTRACTION
