Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.up	Adipose_Tissue	1569	3	0.369510072829633	1	ENSG00000067900:ENSG00000134318:ENSG00000169418
DEG.up	Adrenal_Gland	1209	4	0.0814204128037213	1	ENSG00000154229:ENSG00000197122:ENSG00000123104:ENSG00000157388
DEG.up	Bladder	729	7	4.21392780895387e-05	0.00126417834268616	ENSG00000148660:ENSG00000197122:ENSG00000134318:ENSG00000150995:ENSG00000073756:ENSG00000173175:ENSG00000106617
DEG.up	Blood	1503	2	0.625679005210042	1	ENSG00000166501:ENSG00000073756
DEG.up	Blood_Vessel	2143	15	1.20396834262372e-08	3.61190502787115e-07	ENSG00000145349:ENSG00000148660:ENSG00000197122:ENSG00000067900:ENSG00000134318:ENSG00000110092:ENSG00000150995:ENSG00000073756:ENSG00000101333:ENSG00000151067:ENSG00000173175:ENSG00000106617:ENSG00000169418:ENSG00000198626:ENSG00000067191
DEG.up	Brain	2356	6	0.0963249843421123	1	ENSG00000154229:ENSG00000166501:ENSG00000070808:ENSG00000182389:ENSG00000157542:ENSG00000067191
DEG.up	Breast	1441	2	0.60191237512357	1	ENSG00000134318:ENSG00000169418
DEG.up	Cervix_Uteri	2531	1	0.976777050415012	1	ENSG00000197122
DEG.up	Colon	1113	6	0.00341089329557464	0.102326798867239	ENSG00000154229:ENSG00000148660:ENSG00000197122:ENSG00000073756:ENSG00000151067:ENSG00000173175
DEG.up	Esophagus	1015	3	0.162045154746262	1	ENSG00000150995:ENSG00000151067:ENSG00000173175
DEG.up	Fallopian_Tube	456	1	0.47133728510956	1	ENSG00000169418
DEG.up	Heart	459	3	0.0245428389548301	0.736285168644904	ENSG00000173175:ENSG00000106617:ENSG00000198626
DEG.up	Kidney	975	1	0.749228727528515	1	ENSG00000169418
DEG.up	Liver	1099	0	1	1	
DEG.up	Lung	3066	6	0.238643959451472	1	ENSG00000067900:ENSG00000134318:ENSG00000110092:ENSG00000073756:ENSG00000157388:ENSG00000169418
DEG.up	Muscle	879	3	0.118683668513825	1	ENSG00000070808:ENSG00000145349:ENSG00000067191
DEG.up	Nerve	4189	5	0.717973492649312	1	ENSG00000154229:ENSG00000067900:ENSG00000110092:ENSG00000101333:ENSG00000157388
DEG.up	Ovary	3697	5	0.59865798609633	1	ENSG00000137764:ENSG00000154229:ENSG00000197122:ENSG00000150995:ENSG00000169418
DEG.up	Pancreas	550	0	1	1	
DEG.up	Pituitary	3273	3	0.855102678790151	1	ENSG00000101333:ENSG00000157388:ENSG00000157542
DEG.up	Prostate	2035	5	0.141667633862012	1	ENSG00000197122:ENSG00000110092:ENSG00000073756:ENSG00000157388:ENSG00000173175
DEG.up	Salivary_Gland	1292	2	0.540607697154535	1	ENSG00000123104:ENSG00000101333
DEG.up	Skin	2581	2	0.889479180383196	1	ENSG00000110092:ENSG00000123104
DEG.up	Small_Intestine	1883	2	0.749036179990296	1	ENSG00000166501:ENSG00000197122
DEG.up	Spleen	2702	2	0.905068298546273	1	ENSG00000166501:ENSG00000157388
DEG.up	Stomach	786	2	0.295782685061172	1	ENSG00000197122:ENSG00000073756
DEG.up	Testis	5977	3	0.996127816785213	1	ENSG00000137764:ENSG00000197122:ENSG00000182389
DEG.up	Thyroid	3755	4	0.791858576857927	1	ENSG00000150995:ENSG00000101333:ENSG00000157388:ENSG00000169418
DEG.up	Uterus	4026	8	0.172347046615696	1	ENSG00000154229:ENSG00000148660:ENSG00000197122:ENSG00000067900:ENSG00000134318:ENSG00000150995:ENSG00000151067:ENSG00000169418
DEG.up	Vagina	2026	1	0.948454337693389	1	ENSG00000197122
DEG.down	Adipose_Tissue	1372	6	0.00943268064423243	0.282980419326973	ENSG00000154229:ENSG00000166501:ENSG00000197122:ENSG00000151067:ENSG00000198626:ENSG00000067191
DEG.down	Adrenal_Gland	3012	9	0.0153509176880837	0.460527530642511	ENSG00000145349:ENSG00000148660:ENSG00000067900:ENSG00000134318:ENSG00000101333:ENSG00000151067:ENSG00000173175:ENSG00000106617:ENSG00000067191
DEG.down	Bladder	104	0	1	1	
DEG.down	Blood	5579	10	0.213865359118707	1	ENSG00000137764:ENSG00000154229:ENSG00000145349:ENSG00000197122:ENSG00000134318:ENSG00000110092:ENSG00000150995:ENSG00000106617:ENSG00000169418:ENSG00000067191
DEG.down	Blood_Vessel	1497	2	0.623424260944433	1	ENSG00000154229:ENSG00000166501
DEG.down	Brain	5004	8	0.382709349613261	1	ENSG00000197122:ENSG00000067900:ENSG00000134318:ENSG00000110092:ENSG00000123104:ENSG00000073756:ENSG00000151067:ENSG00000169418
DEG.down	Breast	918	5	0.00750905711106508	0.225271713331952	ENSG00000154229:ENSG00000166501:ENSG00000151067:ENSG00000198626:ENSG00000067191
DEG.down	Cervix_Uteri	44	0	1	1	
DEG.down	Colon	1253	2	0.523610072998894	1	ENSG00000070808:ENSG00000067191
DEG.down	Esophagus	1479	4	0.14221865616269	1	ENSG00000166501:ENSG00000070808:ENSG00000182389:ENSG00000067191
DEG.down	Fallopian_Tube	1	0	1	1	
DEG.down	Heart	8324	12	0.494716591018554	1	ENSG00000169032:ENSG00000137764:ENSG00000154229:ENSG00000070808:ENSG00000148660:ENSG00000197122:ENSG00000067900:ENSG00000134318:ENSG00000150995:ENSG00000123104:ENSG00000101333:ENSG00000067191
DEG.down	Kidney	4951	13	0.0076152757174367	0.228458271523101	ENSG00000169032:ENSG00000137764:ENSG00000166501:ENSG00000145349:ENSG00000148660:ENSG00000067900:ENSG00000134318:ENSG00000150995:ENSG00000101333:ENSG00000151067:ENSG00000173175:ENSG00000106617:ENSG00000067191
DEG.down	Liver	7257	11	0.415648938687669	1	ENSG00000137764:ENSG00000154229:ENSG00000145349:ENSG00000148660:ENSG00000197122:ENSG00000067900:ENSG00000134318:ENSG00000150995:ENSG00000073756:ENSG00000173175:ENSG00000169418
DEG.down	Lung	825	1	0.68819168791387	1	ENSG00000173175
DEG.down	Muscle	6154	10	0.328054770697174	1	ENSG00000154229:ENSG00000197122:ENSG00000067900:ENSG00000110092:ENSG00000150995:ENSG00000123104:ENSG00000101333:ENSG00000173175:ENSG00000106617:ENSG00000169418
DEG.down	Nerve	788	5	0.00394408692390845	0.118322607717253	ENSG00000166501:ENSG00000070808:ENSG00000073756:ENSG00000151067:ENSG00000173175
DEG.down	Ovary	1444	5	0.0443409067433656	1	ENSG00000148660:ENSG00000110092:ENSG00000073756:ENSG00000101333:ENSG00000151067
DEG.down	Pancreas	8739	15	0.163574484179904	1	ENSG00000169032:ENSG00000137764:ENSG00000154229:ENSG00000145349:ENSG00000148660:ENSG00000067900:ENSG00000134318:ENSG00000110092:ENSG00000150995:ENSG00000123104:ENSG00000173175:ENSG00000106617:ENSG00000169418:ENSG00000198626:ENSG00000067191
DEG.down	Pituitary	1762	7	0.00809785664137434	0.24293569924123	ENSG00000166501:ENSG00000070808:ENSG00000145349:ENSG00000148660:ENSG00000067900:ENSG00000134318:ENSG00000106617
DEG.down	Prostate	700	1	0.626660151107239	1	ENSG00000070808
DEG.down	Salivary_Gland	1674	11	5.29519984621876e-06	0.000158855995386563	ENSG00000154229:ENSG00000166501:ENSG00000070808:ENSG00000145349:ENSG00000148660:ENSG00000067900:ENSG00000073756:ENSG00000151067:ENSG00000173175:ENSG00000169418:ENSG00000198626
DEG.down	Skin	1792	7	0.00886706628100394	0.266011988430118	ENSG00000166501:ENSG00000148660:ENSG00000150995:ENSG00000073756:ENSG00000151067:ENSG00000173175:ENSG00000169418
DEG.down	Small_Intestine	1259	3	0.249668826757785	1	ENSG00000110092:ENSG00000198626:ENSG00000067191
DEG.down	Spleen	1936	7	0.01334688460624	0.400406538187201	ENSG00000145349:ENSG00000073756:ENSG00000101333:ENSG00000173175:ENSG00000169418:ENSG00000198626:ENSG00000067191
DEG.down	Stomach	2301	3	0.631563544789838	1	ENSG00000169032:ENSG00000070808:ENSG00000067191
DEG.down	Testis	2631	12	6.99243970716507e-05	0.00209773191214952	ENSG00000169032:ENSG00000154229:ENSG00000145349:ENSG00000148660:ENSG00000067900:ENSG00000134318:ENSG00000110092:ENSG00000150995:ENSG00000123104:ENSG00000101333:ENSG00000151067:ENSG00000169418
DEG.down	Thyroid	980	4	0.0434109699118176	1	ENSG00000154229:ENSG00000166501:ENSG00000151067:ENSG00000173175
DEG.down	Uterus	791	3	0.0935050861887418	1	ENSG00000166501:ENSG00000073756:ENSG00000198626
DEG.down	Vagina	600	3	0.0483612855041751	1	ENSG00000166501:ENSG00000070808:ENSG00000198626
DEG.twoside	Adipose_Tissue	2941	9	0.0131969639749117	0.395908919247351	ENSG00000154229:ENSG00000166501:ENSG00000197122:ENSG00000067900:ENSG00000134318:ENSG00000151067:ENSG00000169418:ENSG00000198626:ENSG00000067191
DEG.twoside	Adrenal_Gland	4221	13	0.00169015866806673	0.050704760042002	ENSG00000154229:ENSG00000145349:ENSG00000148660:ENSG00000197122:ENSG00000067900:ENSG00000134318:ENSG00000123104:ENSG00000101333:ENSG00000151067:ENSG00000157388:ENSG00000173175:ENSG00000106617:ENSG00000067191
DEG.twoside	Bladder	833	7	9.80269925013704e-05	0.00294080977504111	ENSG00000148660:ENSG00000197122:ENSG00000134318:ENSG00000150995:ENSG00000073756:ENSG00000173175:ENSG00000106617
DEG.twoside	Blood	7082	12	0.236705157764932	1	ENSG00000137764:ENSG00000154229:ENSG00000166501:ENSG00000145349:ENSG00000197122:ENSG00000134318:ENSG00000110092:ENSG00000150995:ENSG00000073756:ENSG00000106617:ENSG00000169418:ENSG00000067191
