Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.up	Adipose_Subcutaneous	1704	4	0.203846251529281	1	ENSG00000067900:ENSG00000134318:ENSG00000106617:ENSG00000169418
DEG.up	Adipose_Visceral_Omentum	1437	3	0.318060530509291	1	ENSG00000134318:ENSG00000073756:ENSG00000169418
DEG.up	Adrenal_Gland	1209	4	0.0814204128037213	1	ENSG00000154229:ENSG00000197122:ENSG00000123104:ENSG00000157388
DEG.up	Artery_Aorta	2110	11	4.85320685117303e-05	0.00262073169963343	ENSG00000148660:ENSG00000197122:ENSG00000067900:ENSG00000134318:ENSG00000110092:ENSG00000150995:ENSG00000073756:ENSG00000151067:ENSG00000173175:ENSG00000169418:ENSG00000198626
DEG.up	Artery_Coronary	1604	11	3.4869817299858e-06	0.000188297013419233	ENSG00000148660:ENSG00000067900:ENSG00000134318:ENSG00000110092:ENSG00000150995:ENSG00000073756:ENSG00000151067:ENSG00000173175:ENSG00000106617:ENSG00000169418:ENSG00000198626
DEG.up	Artery_Tibial	2179	14	1.54505169005472e-07	8.34327912629549e-06	ENSG00000145349:ENSG00000148660:ENSG00000067900:ENSG00000134318:ENSG00000110092:ENSG00000150995:ENSG00000073756:ENSG00000101333:ENSG00000151067:ENSG00000173175:ENSG00000106617:ENSG00000169418:ENSG00000198626:ENSG00000067191
DEG.up	Bladder	729	7	4.21392780895387e-05	0.00227552101683509	ENSG00000148660:ENSG00000197122:ENSG00000134318:ENSG00000150995:ENSG00000073756:ENSG00000173175:ENSG00000106617
DEG.up	Brain_Amygdala	1442	3	0.320005955231714	1	ENSG00000154229:ENSG00000070808:ENSG00000157542
DEG.up	Brain_Anterior_cingulate_cortex_BA24	1870	7	0.0111241118014462	0.600702037278095	ENSG00000154229:ENSG00000166501:ENSG00000070808:ENSG00000148660:ENSG00000182389:ENSG00000157542:ENSG00000067191
DEG.up	Brain_Caudate_basal_ganglia	1707	6	0.0256347859489186	1	ENSG00000154229:ENSG00000166501:ENSG00000070808:ENSG00000182389:ENSG00000173175:ENSG00000067191
DEG.up	Brain_Cerebellar_Hemisphere	4269	10	0.0497917524497319	1	ENSG00000166501:ENSG00000145349:ENSG00000148660:ENSG00000134318:ENSG00000101333:ENSG00000157388:ENSG00000182389:ENSG00000157542:ENSG00000198626:ENSG00000067191
DEG.up	Brain_Cerebellum	4077	11	0.0137111303853806	0.740401040810553	ENSG00000166501:ENSG00000070808:ENSG00000145349:ENSG00000148660:ENSG00000150995:ENSG00000101333:ENSG00000157388:ENSG00000182389:ENSG00000157542:ENSG00000198626:ENSG00000067191
DEG.up	Brain_Cortex	2167	8	0.00682326394226879	0.368456252882514	ENSG00000154229:ENSG00000166501:ENSG00000070808:ENSG00000148660:ENSG00000150995:ENSG00000182389:ENSG00000157542:ENSG00000067191
DEG.up	Brain_Frontal_Cortex_BA9	2429	8	0.013419266937134	0.724640414605235	ENSG00000154229:ENSG00000166501:ENSG00000070808:ENSG00000148660:ENSG00000150995:ENSG00000182389:ENSG00000157542:ENSG00000067191
DEG.up	Brain_Hippocampus	1546	5	0.056700141511552	1	ENSG00000154229:ENSG00000166501:ENSG00000070808:ENSG00000157542:ENSG00000067191
DEG.up	Brain_Hypothalamus	1985	4	0.290454852402574	1	ENSG00000154229:ENSG00000070808:ENSG00000157542:ENSG00000067191
DEG.up	Brain_Nucleus_accumbens_basal_ganglia	1839	6	0.0354288970909127	1	ENSG00000154229:ENSG00000166501:ENSG00000070808:ENSG00000182389:ENSG00000173175:ENSG00000067191
DEG.up	Brain_Putamen_basal_ganglia	1350	4	0.111162307191617	1	ENSG00000166501:ENSG00000070808:ENSG00000182389:ENSG00000173175
