Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.up	Adipose_Subcutaneous	1704	11	0.290644216492075	1	ENSG00000101405:ENSG00000081189:ENSG00000103319:ENSG00000151062:ENSG00000164867:ENSG00000152402:ENSG00000065534:ENSG00000138031:ENSG00000129467:ENSG00000174233:ENSG00000146648
DEG.up	Adipose_Visceral_Omentum	1437	6	0.782485675800203	1	ENSG00000116711:ENSG00000101096:ENSG00000159200:ENSG00000164867:ENSG00000138031:ENSG00000129467
DEG.up	Adrenal_Gland	1209	3	0.959112140961589	1	ENSG00000116711:ENSG00000105499:ENSG00000120457
DEG.up	Artery_Aorta	2110	10	0.693035009173939	1	ENSG00000081189:ENSG00000149782:ENSG00000131196:ENSG00000100968:ENSG00000159899:ENSG00000065534:ENSG00000058272:ENSG00000077157:ENSG00000174233:ENSG00000162104
DEG.up	Artery_Coronary	1604	15	0.0212266724844786	1	ENSG00000116711:ENSG00000166484:ENSG00000081189:ENSG00000004468:ENSG00000149782:ENSG00000100968:ENSG00000164867:ENSG00000159899:ENSG00000065534:ENSG00000058272:ENSG00000077157:ENSG00000129467:ENSG00000174233:ENSG00000162104:ENSG00000162989
DEG.up	Artery_Tibial	2179	16	0.109435069890769	1	ENSG00000166484:ENSG00000081189:ENSG00000103319:ENSG00000153956:ENSG00000131196:ENSG00000100968:ENSG00000131791:ENSG00000159899:ENSG00000065534:ENSG00000058272:ENSG00000077157:ENSG00000138031:ENSG00000174233:ENSG00000162104:ENSG00000162989:ENSG00000146648
DEG.up	Bladder	729	8	0.0394479335581608	1	ENSG00000116711:ENSG00000182621:ENSG00000103319:ENSG00000100968:ENSG00000131791:ENSG00000065534:ENSG00000058272:ENSG00000077157
DEG.up	Brain_Amygdala	1442	16	0.00359638708280259	0.19420490247134	ENSG00000198838:ENSG00000168135:ENSG00000126583:ENSG00000167535:ENSG00000166862:ENSG00000006116:ENSG00000075461:ENSG00000105605:ENSG00000142408:ENSG00000058404:ENSG00000196465:ENSG00000164742:ENSG00000078295:ENSG00000155897:ENSG00000087258:ENSG00000162728
DEG.up	Brain_Anterior_cingulate_cortex_BA24	1870	23	8.96113968899006e-05	0.00483901543205463	ENSG00000180914:ENSG00000081189:ENSG00000126767:ENSG00000198838:ENSG00000142185:ENSG00000168135:ENSG00000182621:ENSG00000126583:ENSG00000167535:ENSG00000157445:ENSG00000166862:ENSG00000006116:ENSG00000075461:ENSG00000105605:ENSG00000142408:ENSG00000058404:ENSG00000196465:ENSG00000164742:ENSG00000078295:ENSG00000155897:ENSG00000087258:ENSG00000162989:ENSG00000162728
DEG.up	Brain_Caudate_basal_ganglia	1707	22	6.64427219574088e-05	0.00358790698570008	ENSG00000180914:ENSG00000198838:ENSG00000004468:ENSG00000142185:ENSG00000168135:ENSG00000182621:ENSG00000126583:ENSG00000007402:ENSG00000157445:ENSG00000166862:ENSG00000006116:ENSG00000075461:ENSG00000105605:ENSG00000142408:ENSG00000058404:ENSG00000152402:ENSG00000196465:ENSG00000164742:ENSG00000078295:ENSG00000155897:ENSG00000087258:ENSG00000162728
