Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.up	Adipose_Tissue	1569	10	0.318022960833191	1	ENSG00000101405:ENSG00000103319:ENSG00000151062:ENSG00000101096:ENSG00000164867:ENSG00000152402:ENSG00000138031:ENSG00000129467:ENSG00000174233:ENSG00000146648
DEG.up	Adrenal_Gland	1209	3	0.959112140961589	1	ENSG00000116711:ENSG00000105499:ENSG00000120457
DEG.up	Bladder	729	8	0.0394479335581608	1	ENSG00000116711:ENSG00000182621:ENSG00000103319:ENSG00000100968:ENSG00000131791:ENSG00000065534:ENSG00000058272:ENSG00000077157
DEG.up	Blood	1503	7	0.692889784219109	1	ENSG00000004468:ENSG00000142185:ENSG00000123700:ENSG00000137841:ENSG00000121281:ENSG00000105851:ENSG00000141506
DEG.up	Blood_Vessel	2143	15	0.158453218153912	1	ENSG00000166484:ENSG00000081189:ENSG00000149782:ENSG00000103319:ENSG00000153956:ENSG00000131196:ENSG00000100968:ENSG00000131791:ENSG00000159899:ENSG00000065534:ENSG00000058272:ENSG00000077157:ENSG00000174233:ENSG00000162104:ENSG00000162989
DEG.up	Brain	2356	27	6.29951665361244e-05	0.00188985499608373	ENSG00000101405:ENSG00000180914:ENSG00000105499:ENSG00000126767:ENSG00000196218:ENSG00000198838:ENSG00000142185:ENSG00000184185:ENSG00000168135:ENSG00000182621:ENSG00000126583:ENSG00000167535:ENSG00000007402:ENSG00000157445:ENSG00000166862:ENSG00000006116:ENSG00000075461:ENSG00000105605:ENSG00000142408:ENSG00000058404:ENSG00000196465:ENSG00000164742:ENSG00000078295:ENSG00000155897:ENSG00000087258:ENSG00000162989:ENSG00000162728
DEG.up	Breast	1441	12	0.0780063062614331	1	ENSG00000180914:ENSG00000123700:ENSG00000102001:ENSG00000075461:ENSG00000101096:ENSG00000100968:ENSG00000164867:ENSG00000065534:ENSG00000138031:ENSG00000129467:ENSG00000174233:ENSG00000146648
DEG.up	Cervix_Uteri	2531	15	0.361466534924171	1	ENSG00000116711:ENSG00000243708:ENSG00000166484:ENSG00000149782:ENSG00000103319:ENSG00000167535:ENSG00000100968:ENSG00000131791:ENSG00000152402:ENSG00000159899:ENSG00000065534:ENSG00000196465:ENSG00000138031:ENSG00000129467:ENSG00000174233
DEG.up	Colon	1113	8	0.236381552053145	1	ENSG00000116711:ENSG00000198838:ENSG00000182621:ENSG00000153956:ENSG00000100968:ENSG00000065534:ENSG00000077157:ENSG00000087258
DEG.up	Esophagus	1015	7	0.291390063679303	1	ENSG00000182621:ENSG00000149782:ENSG00000178363:ENSG00000178372:ENSG00000065534:ENSG00000077157:ENSG00000146648
DEG.up	Fallopian_Tube	456	6	0.0341775822272905	1	ENSG00000100968:ENSG00000159899:ENSG00000065534:ENSG00000058272:ENSG00000077157:ENSG00000174233
DEG.up	Heart	459	8	0.00301714814745046	0.0905144444235137	ENSG00000168135:ENSG00000157445:ENSG00000058404:ENSG00000175206:ENSG00000140795:ENSG00000077157:ENSG00000162989:ENSG00000120457
DEG.up	Kidney	975	2	0.968329021368637	1	ENSG00000168907:ENSG00000111725
DEG.up	Liver	1099	2	0.982445248524829	1	ENSG00000101405:ENSG00000164742
DEG.up	Lung	3066	18	0.355537161855496	1	ENSG00000116711:ENSG00000168907:ENSG00000004468:ENSG00000137841:ENSG00000149782:ENSG00000007402:ENSG00000075461:ENSG00000096433:ENSG00000131196:ENSG00000111725:ENSG00000164867:ENSG00000152402:ENSG00000065534:ENSG00000129467:ENSG00000121281:ENSG00000162104:ENSG00000105851:ENSG00000141506
