Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
GO_bp	GO_REGULATION_OF_BLOOD_CIRCULATION	283	35	6.916082591897542e-40	5.0833207050446935e-36	NPPA:RGS2:CACNA1S:KCNJ5:CACNA2D4:CACNB3:RYR3:CACNG3:GNAO1:KCNJ12:CACNG5:CACNG4:CACNG1:KCNJ2:RYR1:CALM3:KCNJ14:CACNG7:CACNG8:CACNG6:KCNJ3:OXT:CACNG2:KCNJ4:OXTR:CACNA2D2:CACNA2D3:CD38:ITPR3:EGFR:CACNA2D1:PIK3CG:NOS3:NPR2:CACNA1F	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_BLOOD_CIRCULATION
GO_bp	GO_CIRCULATORY_SYSTEM_PROCESS	525	41	8.639182738109193e-39	3.1748996562551287e-35	NPPA:RGS2:CACNA1S:PLCB3:KCNJ5:CACNA2D4:ADCY6:CACNB3:RYR3:CACNG3:MYLK3:GNAO1:KCNJ12:CACNG5:CACNG4:CACNG1:KCNJ2:RYR1:CALM3:KCNJ14:CACNG7:CACNG8:CACNG6:KCNJ3:OXT:MYLK2:RCAN1:CACNG2:KCNJ4:OXTR:GNAI2:CACNA2D2:CACNA2D3:CD38:ITPR3:EGFR:CACNA2D1:PIK3CG:NOS3:NPR2:CACNA1F	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CIRCULATORY_SYSTEM_PROCESS
GO_bp	GO_HEART_PROCESS	278	34	1.584369796750166e-38	3.8817060020379067e-35	NPPA:RGS2:CACNA1S:KCNJ5:CACNA2D4:CACNB3:RYR3:CACNG3:GNAO1:KCNJ12:CACNG5:CACNG4:CACNG1:KCNJ2:RYR1:CALM3:KCNJ14:CACNG7:CACNG8:CACNG6:KCNJ3:OXT:MYLK2:CACNG2:KCNJ4:GNAI2:CACNA2D2:CACNA2D3:ITPR3:CACNA2D1:PIK3CG:NOS3:NPR2:CACNA1F	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_HEART_PROCESS
GO_bp	GO_REGULATION_OF_SYSTEM_PROCESS	572	41	2.906112025843445e-37	5.339980847487331e-34	NPPA:RGS2:CACNA1S:PPP1R12B:KCNJ5:CACNA2D4:CACNB3:RYR3:CACNG3:GNAO1:KCNJ12:CACNG5:CACNG4:CACNG1:KCNJ2:RYR1:CALM3:KCNJ14:CACNG7:CACNG8:CACNG6:KCNJ3:PRKAG3:OXT:MYLK2:GNAS:CACNG2:KCNJ4:OXTR:GNAI2:CACNA2D2:CACNA2D3:CD38:ITPR3:CAMK2B:EGFR:CACNA2D1:PIK3CG:NOS3:NPR2:CACNA1F	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_SYSTEM_PROCESS
GO_bp	GO_CARDIAC_CONDUCTION	140	27	4.453950898669857e-36	6.54730782104469e-33	NPPA:CACNA1S:KCNJ5:CACNA2D4:CACNB3:RYR3:CACNG3:KCNJ12:CACNG5:CACNG4:CACNG1:KCNJ2:RYR1:CALM3:KCNJ14:CACNG7:CACNG8:CACNG6:KCNJ3:CACNG2:KCNJ4:CACNA2D2:CACNA2D3:ITPR3:CACNA2D1:NPR2:CACNA1F	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CARDIAC_CONDUCTION
GO_bp	GO_MULTICELLULAR_ORGANISMAL_SIGNALING	198	27	9.629713566895601e-32	1.179639911944711e-28	NPPA:CACNA1S:KCNJ5:CACNA2D4:CACNB3:RYR3:CACNG3:KCNJ12:CACNG5:CACNG4:CACNG1:KCNJ2:RYR1:CALM3:KCNJ14:CACNG7:CACNG8:CACNG6:KCNJ3:CACNG2:KCNJ4:CACNA2D2:CACNA2D3:ITPR3:CACNA2D1:NPR2:CACNA1F	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_MULTICELLULAR_ORGANISMAL_SIGNALING
GO_bp	GO_DIVALENT_INORGANIC_CATION_TRANSPORT	463	31	8.048356224933337e-27	8.450774036180005e-24	NPPA:CACNA1S:PLCB3:CACNA2D4:CACNB3:RYR3:PLCB2:CACNG3:GNAO1:CACNG5:CACNG4:CACNG1:KCNJ2:RYR1:CALM3:CACNG7:CACNG8:CACNG6:PLCB1:TRPM2:CACNG2:GNAI2:CACNA2D2:CACNA2D3:MYLK:ITPR3:CAMK2B:CACNA2D1:PIK3CG:NOS3:CACNA1F	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_DIVALENT_INORGANIC_CATION_TRANSPORT
GO_bp	GO_METAL_ION_TRANSPORT	862	37	2.3170363916961173e-25	2.128777184870808e-22	NPPA:KCNJ9:CACNA1S:PLCB3:KCNJ5:CACNA2D4:CACNB3:RYR3:PLCB2:CACNG3:GNAO1:KCNJ12:CACNG5:CACNG4:CACNG1:KCNJ2:RYR1:CALM3:KCNJ14:CACNG7:CACNG8:CACNG6:KCNJ3:PLCB1:TRPM2:CACNG2:KCNJ4:GNAI2:CACNA2D2:CACNA2D3:MYLK:ITPR3:CAMK2B:CACNA2D1:PIK3CG:NOS3:CACNA1F	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_METAL_ION_TRANSPORT
GO_bp	GO_REGULATION_OF_ION_TRANSPORT	659	33	1.4380410515281e-24	1.1744001920812818e-21	NPPA:KCNJ9:RGS2:CACNA1S:KCNJ5:CACNA2D4:CACNB3:CACNG3:GNAO1:KCNJ12:CACNG5:CACNG4:CACNG1:KCNJ2:CALM3:KCNJ14:CACNG7:CACNG8:CACNG6:KCNJ3:OXT:CACNG2:KCNJ4:GNAI2:CACNA2D2:CACNA2D3:MYLK:MEF2C:CAMK2B:CACNA2D1:PIK3CG:NOS3:CACNA1F	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_ION_TRANSPORT
GO_bp	GO_SECOND_MESSENGER_MEDIATED_SIGNALING	432	28	8.828601888283478e-24	6.4890223878883565e-21	NPPA:RGS2:CALML5:CALML3:GUCY1A2:ADCY6:ADCY4:NFATC4:PLA2G4B:ADCY9:ADCY7:NFATC3:MAPK7:NFATC1:CALM3:ADCY3:NFATC2:GNAS:RCAN1:TRPM2:GNAI2:ADCY2:ITPR3:ADCY1:EGFR:NOS3:ADCY8:NPR2	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_SECOND_MESSENGER_MEDIATED_SIGNALING
