symbol	ensg	entrez
OXT	ENSG00000101405	5020
OXTR	ENSG00000180914	5021
RAF1	ENSG00000132155	5894
MAPK3	ENSG00000102882	5595
PLA2G4E	ENSG00000188089	123745
PLA2G4A	ENSG00000116711	5321
JMJD7-PLA2G4B	ENSG00000168970	8681
PLA2G4B	ENSG00000243708	100137049
PLA2G4C	ENSG00000105499	8605
PLA2G4D	ENSG00000159337	283748
PLA2G4F	ENSG00000168907	255189
MAPK7	ENSG00000166484	5598
JUN	ENSG00000177606	3725
FOS	ENSG00000170345	2353
MEF2C	ENSG00000081189	4208
ELK1	ENSG00000126767	2002
RYR1	ENSG00000196218	6261
RYR3	ENSG00000198838	6263
CD38	ENSG00000004468	952
TRPM2	ENSG00000142185	7226
KCNJ2	ENSG00000123700	3759
KCNJ12	ENSG00000184185	3768
KCNJ18	NA	NA
KCNJ4	ENSG00000168135	3761
KCNJ14	ENSG00000182324	3770
PLCB1	ENSG00000182621	23236
PLCB2	ENSG00000137841	5330
PLCB3	ENSG00000149782	5331
PRKCG	ENSG00000126583	5582
EEF2K	ENSG00000103319	29904
CACNA1F	ENSG00000102001	778
CACNA1S	ENSG00000081248	779
CACNB3	ENSG00000167535	784
CACNA2D1	ENSG00000153956	781
CACNA2D2	ENSG00000007402	9254
CACNA2D3	ENSG00000157445	55799
CACNA2D4	ENSG00000151062	93589
CACNG1	ENSG00000108878	786
CACNG2	ENSG00000166862	10369
CACNG3	ENSG00000006116	10368
CACNG4	ENSG00000075461	27092
CACNG5	ENSG00000075429	27091
CACNG6	ENSG00000130433	59285
CACNG7	ENSG00000105605	59284
CACNG8	ENSG00000142408	59283
ITPR3	ENSG00000096433	3710
CALML3	ENSG00000178363	810
CALM3	ENSG00000160014	808
CALML5	ENSG00000178372	51806
PPP3R2	ENSG00000188386	5535
NFATC1	ENSG00000131196	4772
NFATC2	ENSG00000101096	4773
NFATC3	ENSG00000072736	4775
NFATC4	ENSG00000100968	4776
RGS2	ENSG00000116741	5997
RCAN1	ENSG00000159200	1827
PRKAB1	ENSG00000111725	5564
PRKAB2	ENSG00000131791	5565
PRKAG3	ENSG00000115592	53632
CAMK2B	ENSG00000058404	816
NOS3	ENSG00000164867	4846
GUCY1A2	ENSG00000152402	2977
GUCY1A1	NA	NA
NPPA	ENSG00000175206	4878
NPR2	ENSG00000159899	4882
MYLK	ENSG00000065534	4638
MYLK2	ENSG00000101306	85366
MYLK3	ENSG00000140795	91807
MYLK4	ENSG00000145949	340156
MYL6B	ENSG00000196465	140465
MYL6	ENSG00000092841	4637
ACTG1	ENSG00000184009	71
ACTB	ENSG00000075624	60
PPP1CA	ENSG00000172531	5499
PPP1R12A	ENSG00000058272	4659
PPP1R12B	ENSG00000077157	4660
PPP1R12C	ENSG00000125503	54776
GNAS	ENSG00000087460	2778
ADCY1	ENSG00000164742	107
ADCY2	ENSG00000078295	108
ADCY3	ENSG00000138031	109
ADCY4	ENSG00000129467	196883
ADCY6	ENSG00000174233	112
ADCY7	ENSG00000121281	113
ADCY8	ENSG00000155897	114
ADCY9	ENSG00000162104	115
PRKACG	ENSG00000165059	5568
GNAI3	ENSG00000065135	2773
GNAI2	ENSG00000114353	2771
GNAO1	ENSG00000087258	2775
PIK3CG	ENSG00000105851	5294
PIK3R5	ENSG00000141506	23533
PIK3R6	ENSG00000174083	146850
KCNJ3	ENSG00000162989	3760
KCNJ9	ENSG00000162728	3765
KCNJ5	ENSG00000120457	3762
EGFR	ENSG00000146648	1956
CDKN1A	ENSG00000124762	1026
