ensg	entrezID	symbol	hgnc_symbol	OMIM	uniprotID	DrugBank
ENSG00000175206	4878	NPPA	NPPA	108780	P01160	NA
ENSG00000177606	3725	JUN	JUN	165160	P05412	DB00570:DB01029:DB01169:DB05785
ENSG00000065135	2773	GNAI3	GNAI3	139370	P08754	NA
ENSG00000131791	5565	PRKAB2	PRKAB2	602741	O43741	DB00131
ENSG00000162728	3765	KCNJ9	KCNJ9	600932	Q92806	DB00898:DB11633
ENSG00000116711	5321	PLA2G4A	PLA2G4A	600522	P47712	DB00588:DB01103:DB04552:DB06311:DB13867
ENSG00000116741	5997	RGS2	RGS2	600861	P41220	NA
ENSG00000081248	779	CACNA1S	CACNA1S	114208	Q13698	DB00270:DB00393:DB00401:DB00568:DB00653:DB00661:DB00898:DB01023:DB01054:DB01115:DB01388:DB04855:DB04920:DB06712:DB09090:DB09229
ENSG00000077157	4660	PPP1R12B	PPP1R12B	603768	O60237	NA
ENSG00000178372	51806	CALML5	CALML5	605183	Q9NZT1	NA
ENSG00000178363	810	CALML3	CALML3	114184	P27482	NA
ENSG00000149782	5331	PLCB3	PLCB3	600230	Q01970	NA
ENSG00000172531	5499	PPP1CA	PPP1CA	176875	P62136	DB02506
ENSG00000152402	2977	GUCY1A2	GUCY1A2	601244	P33402	DB00435:DB01020:DB08931:DB09241:DB09282:DB13170
ENSG00000120457	3762	KCNJ5	KCNJ5	600734	P48544	DB00898:DB01016
ENSG00000151062	93589	CACNA2D4	CACNA2D4	608171	Q7Z3S7	NA
ENSG00000174233	112	ADCY6	ADCY6	600294	O43306	NA
ENSG00000167535	784	CACNB3	CACNB3	601958	P54284	DB00393:DB00661:DB01388:DB04855
ENSG00000196465	140465	MYL6B	MYL6B	609930	P14649	DB08378
ENSG00000092841	4637	MYL6	MYL6	609931	P60660	NA
ENSG00000058272	4659	PPP1R12A	PPP1R12A	602021	O14974	NA
ENSG00000111725	5564	PRKAB1	PRKAB1	602740	Q9Y478	DB00131:DB00331
ENSG00000129467	196883	ADCY4	ADCY4	600292	Q8NFM4	NA
ENSG00000100968	4776	NFATC4	NFATC4	602699	Q14934	NA
ENSG00000170345	2353	FOS	FOS	164810	P01100	DB08813
ENSG00000198838	6263	RYR3	RYR3	180903	Q15413	NA
ENSG00000137841	5330	PLCB2	PLCB2	604114	Q00722	NA
ENSG00000243708	100137049	PLA2G4B	PLA2G4B	606088	P0C869	NA
ENSG00000168970	8681	JMJD7-PLA2G4B	JMJD7-PLA2G4B	NA	NA	NA
ENSG00000188089	123745	PLA2G4E	PLA2G4E	NA	Q3MJ16	NA
ENSG00000159337	283748	PLA2G4D	PLA2G4D	612864	Q86XP0	NA
ENSG00000168907	255189	PLA2G4F	PLA2G4F	NA	Q68DD2	NA
ENSG00000162104	115	ADCY9	ADCY9	603302	O60503	NA
ENSG00000103319	29904	EEF2K	EEF2K	606968	O00418	NA
ENSG00000006116	10368	CACNG3	CACNG3	606403	O60359	NA
ENSG00000102882	5595	MAPK3	MAPK3	601795	P27361	DB00605:DB01169:DB02733:DB04604:DB06195:DB08862:DB13930
ENSG00000140795	91807	MYLK3	MYLK3	612147	Q32MK0	DB12010
ENSG00000121281	113	ADCY7	ADCY7	600385	P51828	NA
ENSG00000087258	2775	GNAO1	GNAO1	139311	P09471	NA
ENSG00000072736	4775	NFATC3	NFATC3	602698	Q12968	NA
ENSG00000174083	146850	PIK3R6	PIK3R6	611462	NA	NA
ENSG00000141506	23533	PIK3R5	PIK3R5	611317	Q8WYR1	NA
ENSG00000166484	5598	MAPK7	MAPK7	602521	Q13164	DB12010
ENSG00000184185	3768	KCNJ12	KCNJ12	602323	Q14500	DB00204
ENSG00000075429	27091	CACNG5	CACNG5	606405	Q9UF02	NA
ENSG00000075461	27092	CACNG4	CACNG4	606404	Q9UBN1	NA
ENSG00000108878	786	CACNG1	CACNG1	114209	Q06432	DB00308:DB00343:DB00528:DB00653:DB00898:DB01054:DB04842
ENSG00000123700	3759	KCNJ2	KCNJ2	600681	P63252	NA
ENSG00000184009	71	ACTG1	ACTG1	102560	P63261	DB09130:DB11638
ENSG00000131196	4772	NFATC1	NFATC1	600489	O95644	DB00852
ENSG00000196218	6261	RYR1	RYR1	180901	P21817	DB00201:DB01219:DB04786:DB09085
ENSG00000160014	808	CALM3	CALM3	114183	P0DP25	DB11093:DB11348:DB14481
ENSG00000105499	8605	PLA2G4C	PLA2G4C	603602	Q9UP65	NA
ENSG00000182324	3770	KCNJ14	KCNJ14	603953	Q9UNX9	DB01392:DB11148
ENSG00000126583	5582	PRKCG	PRKCG	176980	P05129	DB00675
ENSG00000105605	59284	CACNG7	CACNG7	606899	P62955	NA
ENSG00000142408	59283	CACNG8	CACNG8	606900	Q8WXS5	NA
ENSG00000130433	59285	CACNG6	CACNG6	606898	Q9BXT2	NA
ENSG00000125503	54776	PPP1R12C	PPP1R12C	613245	Q9BZL4	NA
ENSG00000138031	109	ADCY3	ADCY3	600291	O60266	NA
ENSG00000162989	3760	KCNJ3	KCNJ3	601534	P48549	DB00289:DB00898:DB01159:DB02451
ENSG00000115592	53632	PRKAG3	PRKAG3	604976	Q9UGI9	DB00945:DB12010
ENSG00000101405	5020	OXT	OXT	167050	P01178	DB00107
ENSG00000182621	23236	PLCB1	PLCB1	607120	Q9NQ66	NA
ENSG00000101306	85366	MYLK2	MYLK2	606566	Q9H1R3	DB04825:DB12010
ENSG00000101096	4773	NFATC2	NFATC2	600490	Q13469	NA
ENSG00000087460	2778	GNAS	GNAS	139320	O95467	NA
ENSG00000159200	1827	RCAN1	RCAN1	602917	P53805	DB00975
ENSG00000142185	7226	TRPM2	TRPM2	603749	O94759	NA
ENSG00000166862	10369	CACNG2	CACNG2	602911	Q9Y698	DB00898
ENSG00000168135	3761	KCNJ4	KCNJ4	600504	P48050	DB01136
ENSG00000180914	5021	OXTR	OXTR	167055	P30559	DB00107:DB01282:DB09059:DB13929
ENSG00000132155	5894	RAF1	RAF1	164760	P04049	DB00398:DB04973:DB05190:DB05268:DB08862:DB08896:DB08912:DB12010
ENSG00000114353	2771	GNAI2	GNAI2	139360	P04899	NA
ENSG00000007402	9254	CACNA2D2	CACNA2D2	607082	Q9NY47	DB00270:DB00996:DB01023:DB01054:DB01118:DB01244:DB08872
ENSG00000157445	55799	CACNA2D3	CACNA2D3	606399	Q8IZS8	DB00381:DB06712
ENSG00000065534	4638	MYLK	MYLK	600922	Q15746	DB12010
ENSG00000004468	952	CD38	CD38	107270	P28907	DB09331
ENSG00000078295	108	ADCY2	ADCY2	103071	Q08462	DB02587:DB06843:DB09121
ENSG00000081189	4208	MEF2C	MEF2C	600662	Q06413	NA
ENSG00000145949	340156	MYLK4	MYLK4	NA	Q86YV6	DB12010
ENSG00000096433	3710	ITPR3	ITPR3	147267	Q14573	DB00201
ENSG00000124762	1026	CDKN1A	CDKN1A	116899	P38936	DB01169
ENSG00000075624	60	ACTB	ACTB	102630	P60709	DB04216:DB12695
ENSG00000058404	816	CAMK2B	CAMK2B	607707	Q13554	DB07168:DB12010
ENSG00000164742	107	ADCY1	ADCY1	103072	Q08828	DB00131:DB00171:DB09121
ENSG00000146648	1956	EGFR	EGFR	131550	P00533	DB00002:DB00072:DB00281:DB00317:DB00530:DB01259:DB01269:DB03496:DB04988:DB05101:DB05294:DB05374:DB05424:DB05524:DB05944:DB06021:DB07602:DB07662:DB08916:DB09330:DB09559:DB10772:DB11731:DB11737:DB11828:DB11963:DB12010:DB12202:DB12267:DB13164
ENSG00000153956	781	CACNA2D1	CACNA2D1	114204	P54289	DB00230:DB00270:DB00308:DB00401:DB00622:DB00653:DB00996:DB01023:DB01054:DB01115:DB04838:DB06712:DB08872
