Region	P_unadjusted	t_stat	CohD	P_fdr	stat_sign
M1C	0.319657629334856	1.13531389839791	0.507727810523602	0.678311515503238	
DFC	0.390195951317023	0.962742481325165	0.430551526613978	0.678311515503238	
VFC	0.340621255965187	1.08073773058524	0.483320606287489	0.678311515503238	
OFC	0.570667553218184	0.61692489180743	0.275897199018623	0.721730809540844	
S1C	0.453380092350227	0.829648223929222	0.371029965223541	0.678311515503238	
IPC	0.429717955027734	0.877586802541146	0.392468749327738	0.678311515503238	
A1C	0.586406282751936	0.590824829428737	0.264224896279475	0.721730809540844	
STC	0.466339166908476	0.804235634418114	0.359665109697315	0.678311515503238	
ITC	0.971998492981431	0.0373461904175327	0.0167017240948509	0.971998492981431	
V1C	0.325370233846257	1.12012565329878	0.500935420823487	0.678311515503238	
MFC	0.757950838730548	0.330011908054254	0.147585811958744	0.817046199532061	
HIP	0.172855898672988	-1.65702095816729	0.741042300520781	0.678311515503238	
STR	0.0152215668104614	-4.07011044887406	1.82020872792292	0.121772534483692	
AMY	0.765980812061308	-0.318587514167928	0.142476667692433	0.817046199532061	
MD	0.0236189320106279	-3.55844529639469	1.59138511539058	0.125967637390016	
CBC	2.36034746978416e-05	-22.3796937760249	10.0085033197641	0.000377655595165466	*
