Region	P_unadjusted	t_stat	CohD	P_fdr	stat_sign
M1C	0.550947023376284	0.650322254311131	0.290832953584119	0.741342901139201	
DFC	0.88178425474376	0.158444251785813	0.0708584235274343	0.919882948023106	
VFC	0.453762021310428	0.828891097974651	0.370691368203152	0.741342901139201	
OFC	0.692145043186622	-0.4258297198686	0.190436840093176	0.791022906498997	
S1C	0.556007175854401	0.641675587807004	0.286966046767719	0.741342901139201	
IPC	0.919882948023106	0.107077742507372	0.0478866222247406	0.919882948023106	
A1C	0.344982499108829	1.06976750536615	0.478414572423818	0.741342901139201	
STC	0.54052850415806	0.668300835311876	0.298873219435449	0.741342901139201	
ITC	0.603805895872554	-0.562498375740528	0.251556921077808	0.743145717996989	
V1C	0.0151332243557943	4.07719550281194	1.82337726036879	0.242131589692709	
MFC	0.10758950126357	-2.06704730396683	0.924411656875499	0.430358005054279	
HIP	0.063752117666115	-2.5433734421417	1.1374311817593	0.34001129421928	
STR	0.348776613021009	-1.06032458670414	0.474191570816964	0.741342901139201	
AMY	0.519819807839004	-0.70477977689765	0.315187098062056	0.741342901139201	
MD	0.187121694403902	-1.58962916503406	0.710903774406478	0.598789422092486	
CBC	0.0595714894133098	2.60757701256223	1.166143891331	0.34001129421928	
