Region	P_unadjusted	t_stat	CohD	P_fdr	stat_sign
M1C	0.637252259762929	0.509456155255037	0.22783571894119	0.926912377836988	
DFC	0.767091341506781	-0.317011564326035	0.141771881497312	0.933861865856721	
VFC	0.993336388985778	-0.00888496080786657	0.00397347526876222	0.993336388985778	
OFC	0.875495499240676	-0.166968716399596	0.0746706799970762	0.933861865856721	
S1C	0.375006046653014	-0.99742931077831	0.446063948330213	0.600009674644822	
IPC	0.128772293898925	-1.90982222884297	0.854098465726606	0.412071340476559	
A1C	0.344391381343871	-1.07124707094205	0.479076254264795	0.600009674644822	
STC	0.199981477646592	-1.53328471867698	0.685705771964674	0.533283940390913	
ITC	0.287159001119873	-1.22683162632298	0.548655782680961	0.600009674644822	
V1C	0.102206808754546	-2.11245843122306	0.944720130371467	0.412071340476559	
MFC	0.870483131620458	0.173773791691809	0.0777140021861548	0.933861865856721	
HIP	0.306803435362105	1.17042581096277	0.523430335186614	0.600009674644822	
STR	0.0497200183793997	2.78193542406618	1.24411934344533	0.397760147035197	
AMY	0.730375592417924	-0.369658584026218	0.165316344469788	0.933861865856721	
MD	0.123057276501759	1.94929109284055	0.871749478305265	0.412071340476559	
CBC	0.00143439689606235	-7.83297610056358	3.50301340539828	0.0229503503369976	*
