Region	P_unadjusted	t_stat	CohD	P_fdr	stat_sign
M1C	0.329023354847408	-1.11054043936801	0.496648782837872	0.996327959820961	
DFC	0.626920631888408	-0.525655111019897	0.235080112192138	0.996327959820961	
VFC	0.962555960808466	-0.0499513342937214	0.0223389158095155	0.996327959820961	
OFC	0.663085434925504	-0.469616918373759	0.210019070573539	0.996327959820961	
S1C	0.889249685713196	0.148343263754078	0.0663411243516596	0.996327959820961	
IPC	0.907988869669191	-0.123068296213527	0.0550378152417051	0.996327959820961	
A1C	0.996327959820961	-0.00489607802329877	0.00218959265664777	0.996327959820961	
STC	0.925377267412377	-0.0997029215177988	0.0445885020138249	0.996327959820961	
ITC	0.448113675279472	-0.840140423547181	0.375722219539392	0.996327959820961	
V1C	0.855264377035489	-0.194498642504583	0.0869824372343355	0.996327959820961	
MFC	0.552673347654	-0.647366201446461	0.289510966554022	0.996327959820961	
HIP	0.258357566882275	1.31654764501521	0.588778005974255	0.996327959820961	
STR	0.784242228256193	0.292791166132491	0.130940190136737	0.996327959820961	
AMY	0.540872712319098	0.667702989909157	0.298605854843346	0.996327959820961	
MD	0.127288069888308	1.91988695730622	0.85859954913039	0.996327959820961	
CBC	0.00576042778994676	-5.38213190593662	2.40696256110896	0.0921668446391482	
