Region	P_unadjusted	t_stat	CohD	P_fdr	stat_sign
M1C	0.00655236059542238	-5.19192751410024	2.32190057115593	0.0524188847633791	
DFC	0.564122066169209	-0.627921338231452	0.280814959361633	0.694304081439027	
VFC	0.109265662402117	-2.05341662890098	0.918315833670212	0.291375099738979	
OFC	0.0893808376749678	-2.23231534989114	0.998321773914561	0.291375099738979	
S1C	0.215481331862357	-1.47010020866916	0.657448800064172	0.383077923310857	
IPC	0.800791827110817	0.269617699903968	0.120576700984482	0.915190659555219	
A1C	0.94546313446304	-0.0727960769907695	0.0325553953293338	0.983819538925754	
STC	0.3371413619197	1.08958215057662	0.487275951151947	0.493753694845188	
ITC	0.159228768664594	1.72706235206541	0.772365764119787	0.363951471233358	
V1C	0.455041710263291	-0.826357962353942	0.369558515514326	0.606722280351055	
MFC	0.339455665206067	-1.08369105108143	0.484641371365256	0.493753694845188	
HIP	0.182806419059525	1.60943530156256	0.719761347936352	0.36561283811905	
STR	0.983819538925754	-0.0215760403844404	0.00964909859697789	0.983819538925754	
AMY	0.0957560741358997	2.17050420473278	0.970678989446322	0.291375099738979	
MD	0.00014301232693013	-14.1950187762759	6.34820538512778	0.00228819723088208	*
CBC	0.0334113555211161	3.1838693013462	1.42386963785697	0.178193896112619	
