Region	P_unadjusted	t_stat	CohD	P_fdr	stat_sign
M1C	0.545064583496629	-0.660443646762346	0.295359377893693	0.897448317585377	
DFC	0.17811159746502	-1.63154189655237	0.729647717766004	0.897448317585377	
VFC	0.486151570956153	-0.766429009472656	0.342757473021738	0.897448317585377	
OFC	0.831640174460917	-0.226880380896766	0.101463990889243	0.897448317585377	
S1C	0.365198997574445	1.02047804213347	0.456371654351265	0.897448317585377	
IPC	0.867010297481385	0.178494547435017	0.0798251883355518	0.897448317585377	
A1C	0.897448317585377	-0.137271817804572	0.0613898232011978	0.897448317585377	
STC	0.771109505128394	-0.31131737217611	0.139225361352477	0.897448317585377	
ITC	0.82954447256355	-0.229766586670447	0.102754741350643	0.897448317585377	
V1C	0.848900973736134	0.2031944427112	0.0908713173104857	0.897448317585377	
MFC	0.633029950731809	-0.516057115165104	0.230787757956322	0.897448317585377	
HIP	0.858025388861672	-0.190731333582852	0.0852976454660893	0.897448317585377	
STR	0.429551282266343	-0.877931989508052	0.392623121632327	0.897448317585377	
AMY	0.445789852749739	-0.844801519268915	0.377806724916079	0.897448317585377	
MD	0.653804755172977	-0.483824472305035	0.216372881850405	0.897448317585377	
CBC	0.371383058795791	1.00588209036388	0.449844146280643	0.897448317585377	
