Region	P_unadjusted	t_stat	CohD	P_fdr	stat_sign
M1C	0.16897826402343	-1.67634389167012	0.749683779088186	0.245786565852262	
DFC	0.0520652620251826	-2.73701532485839	1.22403046436841	0.23248024509746	
VFC	0.0871800919115475	-2.25480546454835	1.00837965895362	0.23248024509746	
OFC	0.080740426960064	-2.32446428467067	1.03953203035881	0.23248024509746	
S1C	0.0746632152942818	-2.39620353431957	1.07161479813276	0.23248024509746	
IPC	0.362819648856541	-1.02615175239023	0.458909014715018	0.446547260131127	
A1C	0.137102525320412	-1.85556637066771	0.829834508315113	0.245786565852262	
STC	0.115097674360742	-2.00772178817072	0.897880479651433	0.245786565852262	
ITC	0.145136157556377	-1.80650368498304	0.807893008245188	0.245786565852262	
V1C	0.242332628891055	-1.37076185073747	0.61302333584248	0.32311017185474	
MFC	0.16444933117372	-1.69951007330296	0.760044010470214	0.245786565852262	
HIP	0.0344972303262742	3.1505061265466	1.40894917249755	0.23248024509746	
STR	0.0559005123639183	2.6683743072406	1.19333326808078	0.23248024509746	
AMY	0.483774579128939	0.770901488987963	0.344757626666578	0.552885233290216	
MD	0.82716020019597	-0.233053088027096	0.104224509438966	0.82716020019597	
CBC	0.617437343534535	-0.540667161395215	0.24179370521631	0.658599833103504	
