Region	P_unadjusted	t_stat	CohD	P_fdr	stat_sign
M1C	0.915611238815931	0.112816493637311	0.0504530697512398	0.915611238815931	
DFC	0.477743155480078	0.782326106467978	0.349866870927027	0.808402896763946	
VFC	0.625730703200546	0.527531116451048	0.23591908732618	0.808402896763946	
OFC	0.656827353620706	0.479184725208446	0.214297923869128	0.808402896763946	
S1C	0.590726817120595	0.583740863957598	0.261056850610729	0.808402896763946	
IPC	0.383887973134356	0.977003108841737	0.43692907311975	0.808402896763946	
A1C	0.550620557583938	0.650881996818371	0.291083278043336	0.808402896763946	
STC	0.348442379885781	1.06115273517249	0.474561930071102	0.808402896763946	
ITC	0.433217146383275	0.870364962855978	0.389239044436009	0.808402896763946	
V1C	0.772043503287241	0.309995561727206	0.138634229749053	0.882335432328275	
MFC	0.877677404121889	0.164009456755998	0.0733472588518447	0.915611238815931	
HIP	0.000115722133154453	-14.9790735859037	6.69884535561043	0.000501840923014346	*
STR	0.000125460230753586	-14.675057395277	6.56288518191007	0.000501840923014346	*
AMY	0.0456763764181531	-2.86547738027129	1.28148044205493	0.14616440453809	
MD	2.95442481754392e-07	-67.1056223586784	30.0105466532869	2.36353985403513e-06	*
CBC	1.14024737167846e-07	-85.1507034350945	38.0805522425592	1.82439579468554e-06	*
