Region	P_unadjusted	t_stat	CohD	P_fdr	stat_sign
M1C	0.861061957556336	-0.186591902230851	0.0834464354878356	0.861061957556336	
DFC	0.690266678037491	-0.42862976690946	0.191689059197888	0.861061957556336	
VFC	0.475481381926643	-0.786638955829187	0.351795635796703	0.861061957556336	
OFC	0.831948058578536	0.226456559263054	0.10127445209258	0.861061957556336	
S1C	0.0858046260499639	-2.269187426569	1.01481146789922	0.274574803359884	
IPC	0.577542959885048	-0.605465124492227	0.270772235273999	0.861061957556336	
A1C	0.0521980976722413	-2.73454142636848	1.22292410332983	0.274574803359884	
STC	0.217735718575182	-1.46129584490669	0.653511368889868	0.580628582867151	
ITC	0.779198697147768	0.299891083690302	0.134115369795519	0.861061957556336	
V1C	0.00719516650396278	-5.05709718881442	2.26160261660243	0.0575613320317022	
MFC	0.718978060967252	0.386248793744395	0.172735711807953	0.861061957556336	
HIP	0.816466889847148	0.247831755199063	0.110833730321638	0.861061957556336	
STR	0.0755112922060512	2.38580337686957	1.06696370632578	0.274574803359884	
AMY	0.49736201600078	0.745556939285354	0.333423199467747	0.861061957556336	
MD	0.289137343444114	1.22098920356074	0.546042971791029	0.660885356443689	
CBC	0.00152192691462571	-7.71158524912142	3.44872576626403	0.0243508306340114	*
