Region	P_unadjusted	t_stat	CohD	P_fdr	stat_sign
M1C	0.0210129885258935	-3.69031168868177	1.6503575588109	0.0336207816414296	*
DFC	0.00420424561114675	-5.87085590001317	2.62552657570703	0.0112113216297247	*
VFC	0.000953264276900869	-8.71855026689631	3.89905421240582	0.00381305710760348	*
OFC	0.000161558425500037	-13.7616836688464	6.15441203367785	0.0008616449360002	*
S1C	0.00851999858587384	-4.82048754413341	2.15578756667466	0.0151805191679729	*
IPC	0.00508845322326753	-5.57051143484328	2.49120844754989	0.0116307502246115	*
A1C	0.00853904203198476	-4.81741960510648	2.15441554263166	0.0151805191679729	*
STC	3.49376748179844e-05	-20.2750377835333	9.06727254607144	0.000559002797087751	*
ITC	0.000111847368712763	-15.1090431280902	6.75696950187717	0.0008616449360002	*
V1C	0.0283753620713116	-3.357318127041	1.50143831083119	0.0412732539219077	*
MFC	0.00203784532282802	-7.13748669167748	3.19198108621819	0.00652110503304966	*
HIP	0.192398563489735	-1.56604118362241	0.700354908428786	0.256531417986313	
STR	0.4011017406215	0.938545688085526	0.41973039170971	0.493663680764924	
AMY	0.690718262532421	-0.427956231669523	0.19138784508154	0.690718262532421	
MD	0.440074103670313	0.856349782829097	0.382971265384609	0.502941832766072	
CBC	0.510394560611064	0.721731708733578	0.322768232449072	0.544420864651802	
