Region	P_unadjusted	t_stat	CohD	P_fdr	stat_sign
M1C	0.788706678243296	-0.286521485437985	0.12813630369071	0.926920271538196	
DFC	0.603877761242894	-0.562382472027207	0.251505087361442	0.923529025282289	
VFC	0.939984568499798	0.0801275727823057	0.0358341399226595	0.939984568499798	
OFC	0.296208641530967	-1.200410644391	0.53683996035452	0.592417283061933	
S1C	0.634926204881574	-0.513089357605344	0.229460536427449	0.923529025282289	
IPC	0.281753037033466	-1.24299345123864	0.555883570511332	0.592417283061933	
A1C	0.868987754567059	-0.17580591820952	0.0786227967926508	0.926920271538196	
STC	0.180208034215586	-1.62159644736069	0.725199977674133	0.592417283061933	
ITC	0.71039294774203	-0.398830118311707	0.178362251203852	0.926920271538196	
V1C	0.098667536507919	-2.14378459026333	0.95872961458907	0.533204666929083	
MFC	0.549910300211831	-0.652100566902241	0.291628239151912	0.923529025282289	
HIP	0.817040423517751	0.247037445220571	0.110478504100216	0.926920271538196	
STR	0.0472175599708171	2.83265892098234	1.26680358087754	0.533204666929083	
AMY	0.284251898621677	1.23548648373624	0.552526352583284	0.592417283061933	
MD	0.254382914051385	1.32968094077131	0.594651394390105	0.592417283061933	
CBC	0.099975875049203	-2.13206135402885	0.953486823961752	0.533204666929083	
