Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
voltage-dependent L-type calcium channel subunit beta-2 isoform X1 [Ciona intestinalis],Ciona intestinalis,552,552,62%,0.0,70.12,506,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002129248.1?report=genbank&log$=prottop&blast_rank=1&RID=65AXGVCJ013"",""XP_002129248.1"")"
voltage-dependent L-type calcium channel subunit beta-2 isoform X2 [Ciona intestinalis],Ciona intestinalis,551,551,62%,0.0,70.12,478,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009861365.1?report=genbank&log$=prottop&blast_rank=2&RID=65AXGVCJ013"",""XP_009861365.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X5 [Branchiostoma floridae],Branchiostoma floridae,541,541,69%,0.0,63.24,585,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661497.1?report=genbank&log$=prottop&blast_rank=3&RID=65AXGVCJ013"",""XP_035661497.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X12 [Branchiostoma floridae],Branchiostoma floridae,538,538,69%,0.0,62.91,568,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661505.1?report=genbank&log$=prottop&blast_rank=4&RID=65AXGVCJ013"",""XP_035661505.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X3 [Branchiostoma floridae],Branchiostoma floridae,533,533,69%,0.0,61.49,598,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661495.1?report=genbank&log$=prottop&blast_rank=5&RID=65AXGVCJ013"",""XP_035661495.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X14 [Branchiostoma floridae],Branchiostoma floridae,531,531,69%,0.0,60.21,508,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661507.1?report=genbank&log$=prottop&blast_rank=6&RID=65AXGVCJ013"",""XP_035661507.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X8 [Branchiostoma floridae],Branchiostoma floridae,530,530,69%,3e-180,61.16,581,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661501.1?report=genbank&log$=prottop&blast_rank=7&RID=65AXGVCJ013"",""XP_035661501.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,529,529,69%,2e-179,60.21,608,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661493.1?report=genbank&log$=prottop&blast_rank=8&RID=65AXGVCJ013"",""XP_035661493.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X2 [Asterias rubens],Asterias rubens,531,531,62%,6e-179,65.44,701,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033629179.1?report=genbank&log$=prottop&blast_rank=9&RID=65AXGVCJ013"",""XP_033629179.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X4 [Branchiostoma floridae],Branchiostoma floridae,526,526,69%,1e-178,59.87,591,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661496.1?report=genbank&log$=prottop&blast_rank=10&RID=65AXGVCJ013"",""XP_035661496.1"")"
CACNB2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,519,519,69%,1e-177,61.59,469,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249482.1?report=genbank&log$=prottop&blast_rank=11&RID=65AXGVCJ013"",""CAH1249482.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X3 [Asterias rubens],Asterias rubens,526,526,62%,3e-177,66.42,700,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033629180.1?report=genbank&log$=prottop&blast_rank=12&RID=65AXGVCJ013"",""XP_033629180.1"")"
PREDICTED: voltage-dependent L-type calcium channel subunit beta-2-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,525,525,62%,2e-176,64.78,707,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006812820.1?report=genbank&log$=prottop&blast_rank=13&RID=65AXGVCJ013"",""XP_006812820.1"")"
voltage-dependent L-type calcium channel subunit beta-3-like isoform X10 [Branchiostoma floridae],Branchiostoma floridae,519,519,62%,3e-176,62.94,572,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661503.1?report=genbank&log$=prottop&blast_rank=14&RID=65AXGVCJ013"",""XP_035661503.1"")"
voltage-dependent L-type calcium channel subunit beta-3-like isoform X11 [Branchiostoma floridae],Branchiostoma floridae,519,519,62%,4e-176,62.94,569,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661504.1?report=genbank&log$=prottop&blast_rank=15&RID=65AXGVCJ013"",""XP_035661504.1"")"
voltage-dependent L-type calcium channel subunit beta-3-like isoform X6 [Branchiostoma floridae],Branchiostoma floridae,520,520,62%,4e-176,62.79,585,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661498.1?report=genbank&log$=prottop&blast_rank=16&RID=65AXGVCJ013"",""XP_035661498.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X7 [Branchiostoma floridae],Branchiostoma floridae,519,519,69%,5e-176,61.93,583,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661500.1?report=genbank&log$=prottop&blast_rank=17&RID=65AXGVCJ013"",""XP_035661500.1"")"
CACNB2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,513,513,62%,2e-175,64.79,447,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249481.1?report=genbank&log$=prottop&blast_rank=18&RID=65AXGVCJ013"",""CAH1249481.1"")"
voltage-dependent L-type calcium channel subunit beta-3-like isoform X9 [Branchiostoma floridae],Branchiostoma floridae,518,518,62%,2e-175,62.27,581,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661502.1?report=genbank&log$=prottop&blast_rank=19&RID=65AXGVCJ013"",""XP_035661502.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X13 [Branchiostoma floridae],Branchiostoma floridae,517,517,69%,2e-175,61.59,566,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661506.1?report=genbank&log$=prottop&blast_rank=20&RID=65AXGVCJ013"",""XP_035661506.1"")"
voltage-dependent L-type calcium channel subunit beta-1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,519,519,62%,4e-175,66.83,650,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030830388.1?report=genbank&log$=prottop&blast_rank=21&RID=65AXGVCJ013"",""XP_030830388.1"")"
CACNB2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,511,511,62%,5e-175,64.44,433,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249484.1?report=genbank&log$=prottop&blast_rank=22&RID=65AXGVCJ013"",""CAH1249484.1"")"
voltage-dependent L-type calcium channel subunit beta-3-like isoform X1 [Asterias rubens],Asterias rubens,521,521,62%,9e-175,61.95,736,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033629178.1?report=genbank&log$=prottop&blast_rank=23&RID=65AXGVCJ013"",""XP_033629178.1"")"
CACNB2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,510,510,69%,2e-172,60.21,596,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249472.1?report=genbank&log$=prottop&blast_rank=24&RID=65AXGVCJ013"",""CAH1249472.1"")"
CACNB2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,507,507,62%,5e-172,64.68,527,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249478.1?report=genbank&log$=prottop&blast_rank=25&RID=65AXGVCJ013"",""CAH1249478.1"")"
CACNB2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,508,508,69%,8e-172,59.87,579,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249475.1?report=genbank&log$=prottop&blast_rank=26&RID=65AXGVCJ013"",""CAH1249475.1"")"
CACNB2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,503,503,62%,1e-171,62.80,460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249480.1?report=genbank&log$=prottop&blast_rank=27&RID=65AXGVCJ013"",""CAH1249480.1"")"
CACNB2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,503,503,62%,2e-171,62.80,463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249485.1?report=genbank&log$=prottop&blast_rank=28&RID=65AXGVCJ013"",""CAH1249485.1"")"
CACNB2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,501,501,62%,5e-171,62.44,446,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249483.1?report=genbank&log$=prottop&blast_rank=29&RID=65AXGVCJ013"",""CAH1249483.1"")"
voltage-dependent L-type calcium channel subunit beta-1-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,507,507,69%,6e-171,58.96,606,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661494.1?report=genbank&log$=prottop&blast_rank=30&RID=65AXGVCJ013"",""XP_035661494.1"")"
CACNB2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,501,501,62%,9e-171,62.86,476,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249486.1?report=genbank&log$=prottop&blast_rank=31&RID=65AXGVCJ013"",""CAH1249486.1"")"
CACNB2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,505,505,69%,2e-170,58.99,586,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249473.1?report=genbank&log$=prottop&blast_rank=32&RID=65AXGVCJ013"",""CAH1249473.1"")"
GuKc domain-containing protein [Caenorhabditis elegans],Caenorhabditis elegans,464,464,62%,2e-155,60.64,526,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_491193.2?report=genbank&log$=prottop&blast_rank=33&RID=65AXGVCJ013"",""NP_491193.2"")"
voltage-dependent L-type calcium channel subunit beta-2-like isoform X7 [Acropora millepora],Acropora millepora,421,421,60%,9e-140,56.30,441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029206507.1?report=genbank&log$=prottop&blast_rank=34&RID=65AXGVCJ013"",""XP_029206507.1"")"
voltage-dependent L-type calcium channel subunit beta-2-like isoform X6 [Acropora millepora],Acropora millepora,421,421,60%,9e-140,56.08,449,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029206506.1?report=genbank&log$=prottop&blast_rank=35&RID=65AXGVCJ013"",""XP_029206506.1"")"
