Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
epidermal growth factor receptor isoform X7 [Ciona intestinalis],Ciona intestinalis,667,667,84%,0.0,37.21,1481,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018671335.1?report=genbank&log$=prottop&blast_rank=1&RID=0CWUN3PJ01R"",""XP_018671335.1"")"
epidermal growth factor receptor isoform X6 [Ciona intestinalis],Ciona intestinalis,665,665,84%,0.0,37.18,1481,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018671334.1?report=genbank&log$=prottop&blast_rank=2&RID=0CWUN3PJ01R"",""XP_018671334.1"")"
epidermal growth factor receptor precursor [Ciona intestinalis],Ciona intestinalis,663,663,81%,0.0,37.81,1462,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001071984.1?report=genbank&log$=prottop&blast_rank=3&RID=0CWUN3PJ01R"",""NP_001071984.1"")"
epidermal growth factor receptor isoform X5 [Ciona intestinalis],Ciona intestinalis,655,655,84%,0.0,36.20,1484,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018671333.1?report=genbank&log$=prottop&blast_rank=4&RID=0CWUN3PJ01R"",""XP_018671333.1"")"
epidermal growth factor receptor isoform X3 [Ciona intestinalis],Ciona intestinalis,655,655,84%,0.0,36.20,1519,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018671331.1?report=genbank&log$=prottop&blast_rank=5&RID=0CWUN3PJ01R"",""XP_018671331.1"")"
epidermal growth factor receptor isoform X1 [Ciona intestinalis],Ciona intestinalis,655,655,84%,0.0,36.20,1520,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018671329.1?report=genbank&log$=prottop&blast_rank=6&RID=0CWUN3PJ01R"",""XP_018671329.1"")"
epidermal growth factor receptor isoform X4 [Ciona intestinalis],Ciona intestinalis,654,654,81%,0.0,36.79,1501,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018671332.1?report=genbank&log$=prottop&blast_rank=7&RID=0CWUN3PJ01R"",""XP_018671332.1"")"
epidermal growth factor receptor isoform X2 [Ciona intestinalis],Ciona intestinalis,653,653,81%,0.0,36.79,1519,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018671330.1?report=genbank&log$=prottop&blast_rank=8&RID=0CWUN3PJ01R"",""XP_018671330.1"")"
receptor tyrosine-protein kinase erbB-4 [Ciona intestinalis],Ciona intestinalis,543,607,65%,2e-170,44.23,1184,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018672769.1?report=genbank&log$=prottop&blast_rank=9&RID=0CWUN3PJ01R"",""XP_018672769.1"")"
PREDICTED: receptor tyrosine-protein kinase erbB-4-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,511,1008,87%,5e-156,44.33,1469,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006813566.1?report=genbank&log$=prottop&blast_rank=10&RID=0CWUN3PJ01R"",""XP_006813566.1"")"
ERBB4 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,494,926,82%,3e-150,45.29,1409,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249287.1?report=genbank&log$=prottop&blast_rank=11&RID=0CWUN3PJ01R"",""CAH1249287.1"")"
ERBB4 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,495,937,82%,5e-150,45.29,1477,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249286.1?report=genbank&log$=prottop&blast_rank=12&RID=0CWUN3PJ01R"",""CAH1249286.1"")"
