Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
actin [Escherichia coli],Escherichia coli,780,780,100%,0.0,98.93,395,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_213058116.1?report=genbank&log$=prottop&blast_rank=1&RID=0CKKJ6VF016"",""WP_213058116.1"")"
Actin-2 [Caenorhabditis elegans],Caenorhabditis elegans,774,774,99%,0.0,98.13,376,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001370033.1?report=genbank&log$=prottop&blast_rank=2&RID=0CKKJ6VF016"",""NP_001370033.1"")"
actin [Caenorhabditis elegans],Caenorhabditis elegans,772,772,99%,0.0,97.59,376,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAA34718.1?report=genbank&log$=prottop&blast_rank=3&RID=0CKKJ6VF016"",""CAA34718.1"")"
Actin-4 [Caenorhabditis elegans],Caenorhabditis elegans,771,771,99%,0.0,97.59,376,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_508841.1?report=genbank&log$=prottop&blast_rank=4&RID=0CKKJ6VF016"",""NP_508841.1"")"
"PREDICTED: actin, adductor muscle [Octopus bimaculoides]",Octopus bimaculoides,771,771,99%,0.0,97.86,376,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014771927.1?report=genbank&log$=prottop&blast_rank=5&RID=0CKKJ6VF016"",""XP_014771927.1"")"
"Chain A, C. ELEGANS ACTIN 1/3 [Caenorhabditis elegans]",Caenorhabditis elegans,771,771,99%,0.0,97.33,375,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/1D4X_A?report=genbank&log$=prottop&blast_rank=6&RID=0CKKJ6VF016"",""1D4X_A"")"
uncharacterized protein MONBRDRAFT_37852 [Monosiga brevicollis MX1],Monosiga brevicollis MX1,771,771,100%,0.0,97.60,375,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001747496.1?report=genbank&log$=prottop&blast_rank=7&RID=0CKKJ6VF016"",""XP_001747496.1"")"
Actin-3 [Caenorhabditis elegans],Caenorhabditis elegans,770,770,99%,0.0,97.33,376,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001366892.1?report=genbank&log$=prottop&blast_rank=8&RID=0CKKJ6VF016"",""NP_001366892.1"")"
"actin, cytoplasmic [Branchiostoma floridae]",Branchiostoma floridae,770,770,100%,0.0,96.80,375,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035694947.1?report=genbank&log$=prottop&blast_rank=9&RID=0CKKJ6VF016"",""XP_035694947.1"")"
PREDICTED: actin 2 isoform X1 [Saccoglossus kowalevskii],Saccoglossus kowalevskii,769,769,99%,0.0,97.33,376,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006821145.1?report=genbank&log$=prottop&blast_rank=10&RID=0CKKJ6VF016"",""XP_006821145.1"")"
actin [Octopus vulgaris],Octopus vulgaris,769,769,99%,0.0,97.59,376,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACM77788.1?report=genbank&log$=prottop&blast_rank=11&RID=0CKKJ6VF016"",""ACM77788.1"")"
act protein isoform X1 [Ciona intestinalis],Ciona intestinalis,769,769,100%,0.0,97.33,375,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009861333.1?report=genbank&log$=prottop&blast_rank=12&RID=0CKKJ6VF016"",""XP_009861333.1"")"
"actin, cytoplasmic 1-like [Acropora millepora]",Acropora millepora,769,1125,99%,0.0,96.79,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044174387.1?report=genbank&log$=prottop&blast_rank=13&RID=0CKKJ6VF016"",""XP_044174387.1"")"
