Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
AVPR1B [Branchiostoma lanceolatum],Branchiostoma lanceolatum,273,273,91%,4e-85,40.69,472,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249255.1?report=genbank&log$=prottop&blast_rank=1&RID=084APXKN016"",""CAH1249255.1"")"
AVPR1B [Branchiostoma lanceolatum],Branchiostoma lanceolatum,271,271,85%,2e-84,42.61,460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249079.1?report=genbank&log$=prottop&blast_rank=2&RID=084APXKN016"",""CAH1249079.1"")"
mesotocin receptor-like [Branchiostoma floridae],Branchiostoma floridae,267,267,83%,2e-84,43.49,363,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661732.1?report=genbank&log$=prottop&blast_rank=3&RID=084APXKN016"",""XP_035661732.1"")"
PREDICTED: cephalotocin receptor 2-like [Priapulus caudatus],Priapulus caudatus,262,262,76%,5e-81,44.73,457,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014669368.1?report=genbank&log$=prottop&blast_rank=4&RID=084APXKN016"",""XP_014669368.1"")"
RecName: Full=Annetocin receptor [Eisenia fetida],Eisenia fetida,242,242,84%,7e-74,37.67,420,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q75W84.1?report=genbank&log$=prottop&blast_rank=5&RID=084APXKN016"",""Q75W84.1"")"
oxytocin receptor-like [Asterias rubens],Asterias rubens,237,237,86%,1e-71,34.46,428,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628530.1?report=genbank&log$=prottop&blast_rank=6&RID=084APXKN016"",""XP_033628530.1"")"
GPCR vasopressin/oxytocin-type receptor [Asterias rubens],Asterias rubens,236,236,85%,2e-71,34.74,428,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QDJ94358.1?report=genbank&log$=prottop&blast_rank=7&RID=084APXKN016"",""QDJ94358.1"")"
RecName: Full=Cephalotocin receptor 1; AltName: Full=OC/CE-R 1; AltName: Full=OT/VP superfamily peptide receptor 1 [Octopus vulgaris],Octopus vulgaris,235,235,76%,3e-71,39.75,397,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q7YW31.1?report=genbank&log$=prottop&blast_rank=8&RID=084APXKN016"",""Q7YW31.1"")"
oxytocin receptor-like [Branchiostoma floridae],Branchiostoma floridae,229,229,76%,3e-70,41.16,320,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035660834.1?report=genbank&log$=prottop&blast_rank=9&RID=084APXKN016"",""XP_035660834.1"")"
oxytocin receptor [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,233,233,96%,5e-70,34.12,461,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030830858.1?report=genbank&log$=prottop&blast_rank=10&RID=084APXKN016"",""XP_030830858.1"")"
