Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
protein phosphatase 1 regulatory subunit 12A-like isoform X6 [Asterias rubens],Asterias rubens,409,553,89%,5e-124,42.17,995,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628974.1?report=genbank&log$=prottop&blast_rank=1&RID=0CN0YGN1016"",""XP_033628974.1"")"
protein phosphatase 1 regulatory subunit 12A-like isoform X5 [Asterias rubens],Asterias rubens,407,552,89%,2e-123,42.68,1013,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628972.1?report=genbank&log$=prottop&blast_rank=2&RID=0CN0YGN1016"",""XP_033628972.1"")"
PPP1R12A [Branchiostoma lanceolatum],Branchiostoma lanceolatum,399,523,59%,3e-123,44.83,706,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1251027.1?report=genbank&log$=prottop&blast_rank=3&RID=0CN0YGN1016"",""CAH1251027.1"")"
PPP1R12A [Branchiostoma lanceolatum],Branchiostoma lanceolatum,401,574,87%,3e-122,42.78,884,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1251030.1?report=genbank&log$=prottop&blast_rank=4&RID=0CN0YGN1016"",""CAH1251030.1"")"
PPP1R12A [Branchiostoma lanceolatum],Branchiostoma lanceolatum,401,574,85%,6e-122,44.83,908,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1251029.1?report=genbank&log$=prottop&blast_rank=5&RID=0CN0YGN1016"",""CAH1251029.1"")"
protein phosphatase 1 regulatory subunit 12B isoform X4 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,396,481,57%,1e-120,46.48,870,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030850011.1?report=genbank&log$=prottop&blast_rank=6&RID=0CN0YGN1016"",""XP_030850011.1"")"
protein phosphatase 1 regulatory subunit 12A-like isoform X6 [Branchiostoma floridae],Branchiostoma floridae,393,519,39%,3e-120,60.41,781,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035663753.1?report=genbank&log$=prottop&blast_rank=7&RID=0CN0YGN1016"",""XP_035663753.1"")"
protein phosphatase 1 regulatory subunit 12B isoform X4 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,393,478,57%,2e-119,45.45,879,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030843680.1?report=genbank&log$=prottop&blast_rank=8&RID=0CN0YGN1016"",""XP_030843680.1"")"
protein phosphatase 1 regulatory subunit 12C-like isoform X5 [Branchiostoma floridae],Branchiostoma floridae,393,551,64%,3e-119,60.41,881,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035663752.1?report=genbank&log$=prottop&blast_rank=9&RID=0CN0YGN1016"",""XP_035663752.1"")"
protein phosphatase 1 regulatory subunit 12A-like isoform X4 [Branchiostoma floridae],Branchiostoma floridae,394,556,67%,3e-119,60.41,908,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035663751.1?report=genbank&log$=prottop&blast_rank=10&RID=0CN0YGN1016"",""XP_035663751.1"")"
protein phosphatase 1 regulatory subunit 12A-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,394,556,67%,3e-119,60.41,930,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035663749.1?report=genbank&log$=prottop&blast_rank=11&RID=0CN0YGN1016"",""XP_035663749.1"")"
protein phosphatase 1 regulatory subunit 12A-like isoform X3 [Branchiostoma floridae],Branchiostoma floridae,394,555,67%,3e-119,60.41,914,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035663750.1?report=genbank&log$=prottop&blast_rank=12&RID=0CN0YGN1016"",""XP_035663750.1"")"
protein phosphatase 1 regulatory subunit 12A-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,394,556,67%,4e-119,60.41,934,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035663747.1?report=genbank&log$=prottop&blast_rank=13&RID=0CN0YGN1016"",""XP_035663747.1"")"
protein phosphatase 1 regulatory subunit 12A isoform X2 [Ciona intestinalis],Ciona intestinalis,397,397,30%,1e-118,60.59,1105,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026696402.1?report=genbank&log$=prottop&blast_rank=14&RID=0CN0YGN1016"",""XP_026696402.1"")"
PPP1R12A [Branchiostoma lanceolatum],Branchiostoma lanceolatum,387,561,67%,1e-117,57.55,836,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1251028.1?report=genbank&log$=prottop&blast_rank=15&RID=0CN0YGN1016"",""CAH1251028.1"")"
PPP1R12A [Branchiostoma lanceolatum],Branchiostoma lanceolatum,389,563,67%,2e-117,57.55,928,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1251026.1?report=genbank&log$=prottop&blast_rank=16&RID=0CN0YGN1016"",""CAH1251026.1"")"
protein phosphatase 1 regulatory subunit 12A-like isoform X8 [Asterias rubens],Asterias rubens,387,489,47%,1e-116,59.87,913,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628976.1?report=genbank&log$=prottop&blast_rank=17&RID=0CN0YGN1016"",""XP_033628976.1"")"
protein phosphatase 1 regulatory subunit 12B-like isoform X7 [Asterias rubens],Asterias rubens,388,388,29%,2e-116,59.87,977,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628975.1?report=genbank&log$=prottop&blast_rank=18&RID=0CN0YGN1016"",""XP_033628975.1"")"
