Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
PPP1R12A [Branchiostoma lanceolatum],Branchiostoma lanceolatum,464,464,100%,8e-148,36.98,884,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1251030.1?report=genbank&log$=prottop&blast_rank=1&RID=0CN4S8JK016"",""CAH1251030.1"")"
PPP1R12A [Branchiostoma lanceolatum],Branchiostoma lanceolatum,462,462,100%,9e-147,36.20,908,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1251029.1?report=genbank&log$=prottop&blast_rank=2&RID=0CN4S8JK016"",""CAH1251029.1"")"
PPP1R12A [Branchiostoma lanceolatum],Branchiostoma lanceolatum,455,455,100%,6e-144,35.69,928,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1251026.1?report=genbank&log$=prottop&blast_rank=3&RID=0CN4S8JK016"",""CAH1251026.1"")"
PPP1R12A [Branchiostoma lanceolatum],Branchiostoma lanceolatum,358,467,82%,2e-109,38.40,706,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1251027.1?report=genbank&log$=prottop&blast_rank=4&RID=0CN4S8JK016"",""CAH1251027.1"")"
protein phosphatase 1 regulatory subunit 12A-like isoform X3 [Branchiostoma floridae],Branchiostoma floridae,342,342,43%,5e-101,47.01,914,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035663750.1?report=genbank&log$=prottop&blast_rank=5&RID=0CN4S8JK016"",""XP_035663750.1"")"
protein phosphatase 1 regulatory subunit 12A-like isoform X6 [Branchiostoma floridae],Branchiostoma floridae,333,442,55%,4e-99,45.45,781,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035663753.1?report=genbank&log$=prottop&blast_rank=6&RID=0CN4S8JK016"",""XP_035663753.1"")"
protein phosphatase 1 regulatory subunit 12A-like isoform X4 [Branchiostoma floridae],Branchiostoma floridae,335,335,43%,7e-99,45.45,908,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035663751.1?report=genbank&log$=prottop&blast_rank=7&RID=0CN4S8JK016"",""XP_035663751.1"")"
protein phosphatase 1 regulatory subunit 12C-like isoform X5 [Branchiostoma floridae],Branchiostoma floridae,335,335,43%,8e-99,45.45,881,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035663752.1?report=genbank&log$=prottop&blast_rank=8&RID=0CN4S8JK016"",""XP_035663752.1"")"
protein phosphatase 1 regulatory subunit 12A-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,335,335,43%,1e-98,45.45,930,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035663749.1?report=genbank&log$=prottop&blast_rank=9&RID=0CN4S8JK016"",""XP_035663749.1"")"
protein phosphatase 1 regulatory subunit 12A-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,335,335,43%,2e-98,45.45,934,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035663747.1?report=genbank&log$=prottop&blast_rank=10&RID=0CN4S8JK016"",""XP_035663747.1"")"
