Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
G1/S-specific cyclin-D2-like [Branchiostoma floridae],Branchiostoma floridae,339,339,98%,5e-115,59.52,289,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035662822.1?report=genbank&log$=prottop&blast_rank=1&RID=04R317VZ016"",""XP_035662822.1"")"
CCND2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,336,336,98%,1e-113,59.17,289,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1250420.1?report=genbank&log$=prottop&blast_rank=2&RID=04R317VZ016"",""CAH1250420.1"")"
CCND2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,315,315,98%,4e-105,51.34,335,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1250421.1?report=genbank&log$=prottop&blast_rank=3&RID=04R317VZ016"",""CAH1250421.1"")"
PREDICTED: G1/S-specific cyclin-D2-like [Priapulus caudatus],Priapulus caudatus,305,305,100%,3e-101,53.20,308,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014667160.1?report=genbank&log$=prottop&blast_rank=4&RID=04R317VZ016"",""XP_014667160.1"")"
cyclin D [Saccoglossus kowalevskii],Saccoglossus kowalevskii,300,300,98%,2e-99,58.13,289,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001158492.1?report=genbank&log$=prottop&blast_rank=5&RID=04R317VZ016"",""NP_001158492.1"")"
G1/S-specific cyclin-D2-like isoform X2 [Acropora millepora],Acropora millepora,295,295,98%,1e-97,52.41,281,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029197327.1?report=genbank&log$=prottop&blast_rank=6&RID=04R317VZ016"",""XP_029197327.1"")"
PREDICTED: G1/S-specific cyclin-D2-like [Octopus bimaculoides],Octopus bimaculoides,283,283,98%,7e-93,51.20,286,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014783733.1?report=genbank&log$=prottop&blast_rank=7&RID=04R317VZ016"",""XP_014783733.1"")"
G1/S-specific cyclin-D2-like [Asterias rubens],Asterias rubens,282,282,98%,3e-92,54.64,319,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628903.1?report=genbank&log$=prottop&blast_rank=8&RID=04R317VZ016"",""XP_033628903.1"")"
G1/S-specific cyclin-D2-like isoform X1 [Acropora millepora],Acropora millepora,279,279,81%,4e-91,57.32,300,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029197326.1?report=genbank&log$=prottop&blast_rank=9&RID=04R317VZ016"",""XP_029197326.1"")"
PREDICTED: G1/S-specific cyclin-D2-like [Hydra vulgaris],Hydra vulgaris,258,258,98%,3e-83,48.32,300,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002156088.1?report=genbank&log$=prottop&blast_rank=10&RID=04R317VZ016"",""XP_002156088.1"")"
