Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
transforming protein RhoA [Gallus gallus],Gallus gallus,399,399,100%,3e-143,99.48,193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_990035.1?report=genbank&log$=prottop&blast_rank=1&RID=0ZA98WFS01R"",""NP_990035.1"")"
transforming protein RhoA isoform X1 [Xenopus tropicalis],Xenopus tropicalis,387,387,100%,1e-138,95.34,193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012819967.1?report=genbank&log$=prottop&blast_rank=2&RID=0ZA98WFS01R"",""XP_012819967.1"")"
rho-related GTP-binding protein RhoA-C [Danio rerio],Danio rerio,387,387,100%,1e-138,96.37,193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_998515.1?report=genbank&log$=prottop&blast_rank=3&RID=0ZA98WFS01R"",""NP_998515.1"")"
hypothetical protein XENTR_v10012595 [Xenopus tropicalis],Xenopus tropicalis,388,388,100%,1e-138,95.34,211,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAE8611767.1?report=genbank&log$=prottop&blast_rank=4&RID=0ZA98WFS01R"",""KAE8611767.1"")"
rho-related GTP-binding protein RhoA-B [Danio rerio],Danio rerio,385,385,100%,9e-138,95.85,193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_997914.2?report=genbank&log$=prottop&blast_rank=5&RID=0ZA98WFS01R"",""NP_997914.2"")"
rho-related GTP-binding protein RhoA-D [Danio rerio],Danio rerio,384,384,100%,2e-137,94.30,193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001002445.1?report=genbank&log$=prottop&blast_rank=6&RID=0ZA98WFS01R"",""NP_001002445.1"")"
small GTPase RhoA [Danio rerio],Danio rerio,384,384,100%,3e-137,95.34,193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAO65961.1?report=genbank&log$=prottop&blast_rank=7&RID=0ZA98WFS01R"",""AAO65961.1"")"
RhoA_like domain-containing protein [Danio rerio],Danio rerio,383,383,100%,5e-137,95.34,193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001038815.1?report=genbank&log$=prottop&blast_rank=8&RID=0ZA98WFS01R"",""NP_001038815.1"")"
"Ras homolog gene family, member Ab [Danio rerio]",Danio rerio,383,383,100%,6e-137,95.34,193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAI52259.1?report=genbank&log$=prottop&blast_rank=9&RID=0ZA98WFS01R"",""AAI52259.1"")"
rho-related GTP-binding protein RhoC [Gallus gallus],Gallus gallus,380,380,100%,8e-136,93.78,193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001025020.1?report=genbank&log$=prottop&blast_rank=10&RID=0ZA98WFS01R"",""NP_001025020.1"")"
rho-related GTP-binding protein RhoC [Xenopus tropicalis],Xenopus tropicalis,378,378,100%,6e-135,92.75,193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001016569.1?report=genbank&log$=prottop&blast_rank=11&RID=0ZA98WFS01R"",""NP_001016569.1"")"
rho-related GTP-binding protein RhoA-A [Danio rerio],Danio rerio,377,377,100%,1e-134,93.26,193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_998302.1?report=genbank&log$=prottop&blast_rank=12&RID=0ZA98WFS01R"",""NP_998302.1"")"
"ras homolog gene family, member A, gene 2 [Xenopus tropicalis]",Xenopus tropicalis,377,377,100%,2e-134,92.23,193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001016648.1?report=genbank&log$=prottop&blast_rank=13&RID=0ZA98WFS01R"",""NP_001016648.1"")"
rho-related GTP-binding protein RhoA-D isoform X3 [Petromyzon marinus],Petromyzon marinus,377,377,100%,2e-134,94.30,193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032819454.1?report=genbank&log$=prottop&blast_rank=14&RID=0ZA98WFS01R"",""XP_032819454.1"")"
rho-related GTP-binding protein RhoA-D-like isoform X1 [Petromyzon marinus],Petromyzon marinus,375,375,100%,1e-133,93.26,198,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032810113.1?report=genbank&log$=prottop&blast_rank=15&RID=0ZA98WFS01R"",""XP_032810113.1"")"
rho-related GTP-binding protein RhoA-D-like isoform X2 [Petromyzon marinus],Petromyzon marinus,375,375,100%,1e-133,93.26,193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032810114.1?report=genbank&log$=prottop&blast_rank=16&RID=0ZA98WFS01R"",""XP_032810114.1"")"
ras homolog family member Ca [Danio rerio],Danio rerio,374,374,100%,3e-133,92.23,193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_957444.1?report=genbank&log$=prottop&blast_rank=17&RID=0ZA98WFS01R"",""NP_957444.1"")"
transforming protein RhoA-like [Petromyzon marinus],Petromyzon marinus,372,372,100%,1e-132,92.23,193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032822678.1?report=genbank&log$=prottop&blast_rank=18&RID=0ZA98WFS01R"",""XP_032822678.1"")"
rho-related GTP-binding protein RhoA-D isoform X1 [Petromyzon marinus],Petromyzon marinus,372,372,100%,2e-132,93.33,195,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032819451.1?report=genbank&log$=prottop&blast_rank=19&RID=0ZA98WFS01R"",""XP_032819451.1"")"
Rhoae protein [Danio rerio],Danio rerio,372,372,100%,2e-132,91.71,193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAI65903.1?report=genbank&log$=prottop&blast_rank=20&RID=0ZA98WFS01R"",""AAI65903.1"")"
rho-related GTP-binding protein RhoA-D isoform X2 [Petromyzon marinus],Petromyzon marinus,372,372,100%,2e-132,93.81,194,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032819452.1?report=genbank&log$=prottop&blast_rank=21&RID=0ZA98WFS01R"",""XP_032819452.1"")"
transforming protein RhoA-like isoform X1 [Carcharodon carcharias],Carcharodon carcharias,370,370,100%,5e-132,91.71,194,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041047237.1?report=genbank&log$=prottop&blast_rank=22&RID=0ZA98WFS01R"",""XP_041047237.1"")"
transforming protein RhoA-like isoform X2 [Carcharodon carcharias],Carcharodon carcharias,370,370,100%,8e-132,91.71,193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041047239.1?report=genbank&log$=prottop&blast_rank=23&RID=0ZA98WFS01R"",""XP_041047239.1"")"
rho-related GTP-binding protein RhoC-like [Petromyzon marinus],Petromyzon marinus,369,369,100%,2e-131,91.71,193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032827324.1?report=genbank&log$=prottop&blast_rank=24&RID=0ZA98WFS01R"",""XP_032827324.1"")"
rho-related GTP-binding protein RhoA-D isoform X2 [Carcharodon carcharias],Carcharodon carcharias,368,368,100%,6e-131,91.19,192,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041050924.1?report=genbank&log$=prottop&blast_rank=25&RID=0ZA98WFS01R"",""XP_041050924.1"")"
rho-related GTP-binding protein RhoA-D isoform X1 [Carcharodon carcharias],Carcharodon carcharias,367,367,100%,1e-130,91.19,200,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041050923.1?report=genbank&log$=prottop&blast_rank=26&RID=0ZA98WFS01R"",""XP_041050923.1"")"
transforming protein RhoA-like [Petromyzon marinus],Petromyzon marinus,365,365,100%,6e-130,91.19,193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032825646.1?report=genbank&log$=prottop&blast_rank=27&RID=0ZA98WFS01R"",""XP_032825646.1"")"
rho-related GTP-binding protein RhoA-D-like isoform X2 [Petromyzon marinus],Petromyzon marinus,353,353,99%,5e-125,86.46,194,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032810112.1?report=genbank&log$=prottop&blast_rank=28&RID=0ZA98WFS01R"",""XP_032810112.1"")"
rho-related GTP-binding protein RhoA-D-like isoform X1 [Petromyzon marinus],Petromyzon marinus,353,353,99%,9e-125,86.46,212,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032810111.1?report=genbank&log$=prottop&blast_rank=29&RID=0ZA98WFS01R"",""XP_032810111.1"")"
rho-related GTP-binding protein RhoB [Gallus gallus],Gallus gallus,345,345,98%,5e-122,86.39,196,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_990240.1?report=genbank&log$=prottop&blast_rank=30&RID=0ZA98WFS01R"",""NP_990240.1"")"
rho-related GTP-binding protein RhoB [Carcharodon carcharias],Carcharodon carcharias,343,343,98%,2e-120,86.32,230,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041043776.1?report=genbank&log$=prottop&blast_rank=31&RID=0ZA98WFS01R"",""XP_041043776.1"")"
GTPase cRhoC [Gallus gallus],Gallus gallus,340,340,90%,2e-120,91.95,174,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAC18964.1?report=genbank&log$=prottop&blast_rank=32&RID=0ZA98WFS01R"",""AAC18964.1"")"
