Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
PREDICTED: ADP-ribosyl cyclase-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,195,195,77%,5e-59,40.43,243,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002735899.2?report=genbank&log$=prottop&blast_rank=1&RID=04RFV4UT016"",""XP_002735899.2"")"
ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2-like [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,174,174,86%,1e-50,32.54,288,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030838240.1?report=genbank&log$=prottop&blast_rank=2&RID=04RFV4UT016"",""XP_030838240.1"")"
BST1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,175,175,78%,2e-50,39.66,312,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249051.1?report=genbank&log$=prottop&blast_rank=3&RID=04RFV4UT016"",""CAH1249051.1"")"
ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,169,169,84%,3e-48,32.65,302,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030838241.1?report=genbank&log$=prottop&blast_rank=4&RID=04RFV4UT016"",""XP_030838241.1"")"
ADP-ribosyl cyclase isoform 4 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,168,168,80%,1e-47,32.34,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001243005.1?report=genbank&log$=prottop&blast_rank=5&RID=04RFV4UT016"",""NP_001243005.1"")"
ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase-like [Branchiostoma floridae],Branchiostoma floridae,166,166,78%,5e-47,38.40,312,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661327.1?report=genbank&log$=prottop&blast_rank=6&RID=04RFV4UT016"",""XP_035661327.1"")"
ADP-ribosyl cyclase gamma [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,152,152,80%,5e-41,33.88,355,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ABQ09455.1?report=genbank&log$=prottop&blast_rank=7&RID=04RFV4UT016"",""ABQ09455.1"")"
ADP-ribosyl cyclase [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,151,151,80%,9e-41,33.88,355,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001103718.1?report=genbank&log$=prottop&blast_rank=8&RID=04RFV4UT016"",""NP_001103718.1"")"
ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase-like [Asterias rubens],Asterias rubens,150,150,78%,9e-41,33.76,321,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033637755.1?report=genbank&log$=prottop&blast_rank=9&RID=04RFV4UT016"",""XP_033637755.1"")"
ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase-like [Asterias rubens],Asterias rubens,149,149,78%,2e-40,33.88,325,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033638004.1?report=genbank&log$=prottop&blast_rank=10&RID=04RFV4UT016"",""XP_033638004.1"")"
