Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
voltage-dependent L-type calcium channel subunit alpha-1D isoform X1 [Ciona intestinalis],Ciona intestinalis,1999,2047,94%,0.0,59.16,2268,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026689962.1?report=genbank&log$=prottop&blast_rank=1&RID=04XYPXKX016"",""XP_026689962.1"")"
voltage-dependent L-type calcium channel subunit alpha-1D isoform X5 [Ciona intestinalis],Ciona intestinalis,1992,2041,93%,0.0,59.59,2117,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018667169.1?report=genbank&log$=prottop&blast_rank=2&RID=04XYPXKX016"",""XP_018667169.1"")"
voltage-dependent L-type calcium channel subunit alpha-1D isoform X3 [Ciona intestinalis],Ciona intestinalis,1982,2031,94%,0.0,59.04,2259,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026689964.1?report=genbank&log$=prottop&blast_rank=3&RID=04XYPXKX016"",""XP_026689964.1"")"
voltage-dependent L-type calcium channel subunit alpha-1D isoform X2 [Ciona intestinalis],Ciona intestinalis,1982,2030,94%,0.0,58.87,2266,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026689963.1?report=genbank&log$=prottop&blast_rank=4&RID=04XYPXKX016"",""XP_026689963.1"")"
voltage-dependent L-type calcium channel subunit alpha-1D isoform X4 [Ciona intestinalis],Ciona intestinalis,1937,1985,94%,0.0,57.88,2239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026689965.1?report=genbank&log$=prottop&blast_rank=5&RID=04XYPXKX016"",""XP_026689965.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1897,1897,96%,0.0,55.55,1959,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264648.1?report=genbank&log$=prottop&blast_rank=6&RID=04XYPXKX016"",""CAH1264648.1"")"
PREDICTED: LOW QUALITY PROTEIN: muscle calcium channel subunit alpha-1-like [Octopus bimaculoides],Octopus bimaculoides,1894,1894,88%,0.0,58.01,2190,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014774811.1?report=genbank&log$=prottop&blast_rank=7&RID=04XYPXKX016"",""XP_014774811.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1885,2177,97%,0.0,54.47,1999,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264647.1?report=genbank&log$=prottop&blast_rank=8&RID=04XYPXKX016"",""CAH1264647.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1880,1880,84%,0.0,60.84,2395,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264644.1?report=genbank&log$=prottop&blast_rank=9&RID=04XYPXKX016"",""CAH1264644.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1880,1880,84%,0.0,61.19,2318,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264650.1?report=genbank&log$=prottop&blast_rank=10&RID=04XYPXKX016"",""CAH1264650.1"")"
