Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
protein kinase C beta2 [Eptatretus burgeri],Eptatretus burgeri,1062,1062,97%,0.0,76.37,667,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AYD75722.1?report=genbank&log$=prottop&blast_rank=1&RID=04UY1GG8016"",""AYD75722.1"")"
protein kinase C beta1 [Eptatretus burgeri],Eptatretus burgeri,1039,1039,97%,0.0,74.62,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AYD75721.1?report=genbank&log$=prottop&blast_rank=2&RID=04UY1GG8016"",""AYD75721.1"")"
PRKCB [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1009,1009,99%,0.0,73.27,684,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1273977.1?report=genbank&log$=prottop&blast_rank=3&RID=04UY1GG8016"",""CAH1273977.1"")"
protein kinase C alpha type-like isoform X4 [Branchiostoma floridae],Branchiostoma floridae,1001,1001,99%,0.0,72.52,686,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035694811.1?report=genbank&log$=prottop&blast_rank=4&RID=04UY1GG8016"",""XP_035694811.1"")"
PRKCB [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1001,1001,98%,0.0,73.49,693,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1273978.1?report=genbank&log$=prottop&blast_rank=5&RID=04UY1GG8016"",""CAH1273978.1"")"
PRKCB [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1000,1000,98%,0.0,73.90,663,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1273979.1?report=genbank&log$=prottop&blast_rank=6&RID=04UY1GG8016"",""CAH1273979.1"")"
protein kinase C alpha type-like isoform X3 [Branchiostoma floridae],Branchiostoma floridae,994,994,98%,0.0,72.29,690,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035694810.1?report=genbank&log$=prottop&blast_rank=7&RID=04UY1GG8016"",""XP_035694810.1"")"
protein kinase C alpha type-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,993,993,98%,0.0,72.29,693,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035694807.1?report=genbank&log$=prottop&blast_rank=8&RID=04UY1GG8016"",""XP_035694807.1"")"
protein kinase C alpha type-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,993,993,98%,0.0,72.29,692,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035694808.1?report=genbank&log$=prottop&blast_rank=9&RID=04UY1GG8016"",""XP_035694808.1"")"
PREDICTED: protein kinase C beta type-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,989,989,96%,0.0,72.89,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002731384.1?report=genbank&log$=prottop&blast_rank=10&RID=04UY1GG8016"",""XP_002731384.1"")"
Protein kinase C [Caenorhabditis elegans],Caenorhabditis elegans,961,961,96%,0.0,69.30,751,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001360727.1?report=genbank&log$=prottop&blast_rank=11&RID=04UY1GG8016"",""NP_001360727.1"")"
Protein kinase C-like 2 [Caenorhabditis elegans],Caenorhabditis elegans,959,959,99%,0.0,68.09,680,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001024516.1?report=genbank&log$=prottop&blast_rank=12&RID=04UY1GG8016"",""NP_001024516.1"")"
protein kinase C2 A isoform [Caenorhabditis elegans],Caenorhabditis elegans,959,959,99%,0.0,68.09,680,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAB40868.1?report=genbank&log$=prottop&blast_rank=13&RID=04UY1GG8016"",""AAB40868.1"")"
Protein kinase C [Caenorhabditis elegans],Caenorhabditis elegans,958,958,96%,0.0,69.30,725,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001123122.1?report=genbank&log$=prottop&blast_rank=14&RID=04UY1GG8016"",""NP_001123122.1"")"
Protein kinase C-like 2 [Caenorhabditis elegans],Caenorhabditis elegans,954,954,96%,0.0,69.00,753,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001359883.1?report=genbank&log$=prottop&blast_rank=15&RID=04UY1GG8016"",""NP_001359883.1"")"
Protein kinase C-like 2 [Caenorhabditis elegans],Caenorhabditis elegans,952,952,99%,0.0,67.80,682,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001024517.1?report=genbank&log$=prottop&blast_rank=16&RID=04UY1GG8016"",""NP_001024517.1"")"
