Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
calcineurin B regulatory subunit [Saccoglossus kowalevskii],Saccoglossus kowalevskii,322,322,100%,4e-112,92.94,170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001161511.1?report=genbank&log$=prottop&blast_rank=1&RID=05F9ARRJ013"",""NP_001161511.1"")"
PREDICTED: calcineurin subunit B type 1 [Priapulus caudatus],Priapulus caudatus,316,316,100%,8e-110,91.76,170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014665054.1?report=genbank&log$=prottop&blast_rank=2&RID=05F9ARRJ013"",""XP_014665054.1"")"
PREDICTED: calcineurin subunit B type 1 [Octopus bimaculoides],Octopus bimaculoides,313,313,100%,1e-108,89.41,170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014783704.1?report=genbank&log$=prottop&blast_rank=3&RID=05F9ARRJ013"",""XP_014783704.1"")"
calcineurin subunit B type 1 isoform X2 [Branchiostoma floridae],Branchiostoma floridae,309,309,100%,6e-107,89.41,169,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035687175.1?report=genbank&log$=prottop&blast_rank=4&RID=05F9ARRJ013"",""XP_035687175.1"")"
calcineurin subunit B type 1 [Acropora millepora],Acropora millepora,308,308,100%,7e-107,88.24,170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029203065.1?report=genbank&log$=prottop&blast_rank=5&RID=05F9ARRJ013"",""XP_029203065.1"")"
calcineurin subunit B type 1 isoform X1 [Branchiostoma floridae],Branchiostoma floridae,306,306,100%,5e-106,88.82,169,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035687166.1?report=genbank&log$=prottop&blast_rank=6&RID=05F9ARRJ013"",""XP_035687166.1"")"
PPP3R1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,305,305,100%,1e-105,88.24,169,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1262851.1?report=genbank&log$=prottop&blast_rank=7&RID=05F9ARRJ013"",""CAH1262851.1"")"
calcineurin subunit B type 2 [Asterias rubens],Asterias rubens,298,298,100%,1e-102,85.29,170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033641186.1?report=genbank&log$=prottop&blast_rank=8&RID=05F9ARRJ013"",""XP_033641186.1"")"
calcineurin subunit B type 1 [Ciona intestinalis],Ciona intestinalis,297,297,100%,2e-102,84.12,170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002130765.1?report=genbank&log$=prottop&blast_rank=9&RID=05F9ARRJ013"",""XP_002130765.1"")"
calcineurin subunit B type 2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,296,296,100%,1e-101,84.12,170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011666356.1?report=genbank&log$=prottop&blast_rank=10&RID=05F9ARRJ013"",""XP_011666356.1"")"
PPP3R1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,294,294,94%,3e-101,89.38,160,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1262853.1?report=genbank&log$=prottop&blast_rank=11&RID=05F9ARRJ013"",""CAH1262853.1"")"
Protein phosphatase 2B regulatory subunit cnb-1 [Caenorhabditis elegans],Caenorhabditis elegans,286,286,100%,1e-97,81.76,170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001256317.1?report=genbank&log$=prottop&blast_rank=12&RID=05F9ARRJ013"",""NP_001256317.1"")"
PPP3R1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,283,283,91%,9e-97,89.10,158,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1262852.1?report=genbank&log$=prottop&blast_rank=13&RID=05F9ARRJ013"",""CAH1262852.1"")"
Protein phosphatase 2B regulatory subunit cnb-1 [Caenorhabditis elegans],Caenorhabditis elegans,278,278,99%,7e-95,79.29,171,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001256318.1?report=genbank&log$=prottop&blast_rank=14&RID=05F9ARRJ013"",""NP_001256318.1"")"
PREDICTED: calcineurin subunit B type 1-like [Hydra vulgaris],Hydra vulgaris,271,271,100%,4e-92,77.65,170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004206833.1?report=genbank&log$=prottop&blast_rank=15&RID=05F9ARRJ013"",""XP_004206833.1"")"
PREDICTED: calcineurin subunit B type 1-like [Amphimedon queenslandica],Amphimedon queenslandica,253,253,100%,9e-85,70.59,171,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003387288.1?report=genbank&log$=prottop&blast_rank=16&RID=05F9ARRJ013"",""XP_003387288.1"")"
calcineurin B [Salpingoeca rosetta],Salpingoeca rosetta,242,242,97%,2e-80,70.00,173,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004993056.1?report=genbank&log$=prottop&blast_rank=17&RID=05F9ARRJ013"",""XP_004993056.1"")"
hypothetical protein OCBIM_22019350mg [Octopus bimaculoides],Octopus bimaculoides,239,239,100%,2e-79,67.65,168,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF86019.1?report=genbank&log$=prottop&blast_rank=18&RID=05F9ARRJ013"",""KOF86019.1"")"
uncharacterized protein MONBRDRAFT_34076 [Monosiga brevicollis MX1],Monosiga brevicollis MX1,232,232,98%,5e-72,66.86,524,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001749383.1?report=genbank&log$=prottop&blast_rank=19&RID=05F9ARRJ013"",""XP_001749383.1"")"
Calcineurin subunit B [Fusarium culmorum],Fusarium culmorum,212,212,99%,2e-68,62.21,174,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PTD10649.1?report=genbank&log$=prottop&blast_rank=20&RID=05F9ARRJ013"",""PTD10649.1"")"
"TPA: calcineurin subunit B, putative (Eurofung) [Aspergillus nidulans FGSC A4]",Aspergillus nidulans FGSC A4,212,212,92%,2e-68,64.97,181,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CBF70998.1?report=genbank&log$=prottop&blast_rank=21&RID=05F9ARRJ013"",""CBF70998.1"")"
hypothetical protein HYE67_006871 [Fusarium culmorum],Fusarium culmorum,198,198,99%,7e-63,54.59,198,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QPC64640.1?report=genbank&log$=prottop&blast_rank=22&RID=05F9ARRJ013"",""QPC64640.1"")"
calcineurin regulatory subunit B [Saccharomyces cerevisiae S288C],Saccharomyces cerevisiae S288C,192,192,91%,9e-61,58.97,175,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_012731.1?report=genbank&log$=prottop&blast_rank=23&RID=05F9ARRJ013"",""NP_012731.1"")"
EM14S01-3B_G0002920.mRNA.1.CDS.1 [Saccharomyces cerevisiae],Saccharomyces cerevisiae,191,191,91%,4e-60,58.33,175,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAD6632799.1?report=genbank&log$=prottop&blast_rank=24&RID=05F9ARRJ013"",""CAD6632799.1"")"
HN1_G0002960.mRNA.1.CDS.1 [Saccharomyces cerevisiae],Saccharomyces cerevisiae,191,191,91%,4e-60,58.33,175,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAD6633457.1?report=genbank&log$=prottop&blast_rank=25&RID=05F9ARRJ013"",""CAD6633457.1"")"
Cnb1p [Saccharomyces cerevisiae JAY291],Saccharomyces cerevisiae JAY291,190,190,94%,6e-60,58.12,176,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EEU09184.1?report=genbank&log$=prottop&blast_rank=26&RID=05F9ARRJ013"",""EEU09184.1"")"
CNB1 [Saccharomyces cerevisiae],Saccharomyces cerevisiae,188,188,90%,2e-59,59.48,157,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAA82033.1?report=genbank&log$=prottop&blast_rank=27&RID=05F9ARRJ013"",""CAA82033.1"")"
