Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
natriuretic peptide receptor B [Gallus gallus],Gallus gallus,1705,1705,98%,0.0,75.87,1062,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AZU96806.1?report=genbank&log$=prottop&blast_rank=1&RID=0Z920Z1M01R"",""AZU96806.1"")"
atrial natriuretic peptide receptor 2 [Gallus gallus],Gallus gallus,1704,1704,98%,0.0,75.87,1062,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003642967.2?report=genbank&log$=prottop&blast_rank=2&RID=0Z920Z1M01R"",""XP_003642967.2"")"
atrial natriuretic peptide receptor 2 [Xenopus tropicalis],Xenopus tropicalis,1592,1592,99%,0.0,70.58,1083,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031750866.1?report=genbank&log$=prottop&blast_rank=3&RID=0Z920Z1M01R"",""XP_031750866.1"")"
hypothetical protein XENTR_v10003274 [Xenopus tropicalis],Xenopus tropicalis,1447,1447,92%,0.0,69.51,1002,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAE8637023.1?report=genbank&log$=prottop&blast_rank=4&RID=0Z920Z1M01R"",""KAE8637023.1"")"
atrial natriuretic peptide receptor 2 isoform X1 [Carcharodon carcharias],Carcharodon carcharias,1415,1415,99%,0.0,63.46,1056,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041041013.1?report=genbank&log$=prottop&blast_rank=5&RID=0Z920Z1M01R"",""XP_041041013.1"")"
atrial natriuretic peptide receptor 1-like isoform X2 [Petromyzon marinus],Petromyzon marinus,1328,1328,97%,0.0,61.62,1103,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032827281.1?report=genbank&log$=prottop&blast_rank=6&RID=0Z920Z1M01R"",""XP_032827281.1"")"
hypothetical protein XENTR_v10003274 [Xenopus tropicalis],Xenopus tropicalis,1323,1323,78%,0.0,73.90,811,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAE8637024.1?report=genbank&log$=prottop&blast_rank=7&RID=0Z920Z1M01R"",""KAE8637024.1"")"
atrial natriuretic peptide receptor 2 isoform X2 [Carcharodon carcharias],Carcharodon carcharias,1320,1320,99%,0.0,60.31,1021,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041041023.1?report=genbank&log$=prottop&blast_rank=8&RID=0Z920Z1M01R"",""XP_041041023.1"")"
LOW QUALITY PROTEIN: atrial natriuretic peptide receptor 2-like [Danio rerio],Danio rerio,1317,1317,97%,0.0,61.89,1048,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009300100.1?report=genbank&log$=prottop&blast_rank=9&RID=0Z920Z1M01R"",""XP_009300100.1"")"
atrial natriuretic peptide receptor 1-like isoform X1 [Petromyzon marinus],Petromyzon marinus,1301,1301,96%,0.0,61.34,1111,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032827199.1?report=genbank&log$=prottop&blast_rank=10&RID=0Z920Z1M01R"",""XP_032827199.1"")"
atrial natriuretic peptide receptor 1-like isoform X5 [Petromyzon marinus],Petromyzon marinus,1298,1298,97%,0.0,60.42,1074,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032827539.1?report=genbank&log$=prottop&blast_rank=11&RID=0Z920Z1M01R"",""XP_032827539.1"")"
atrial natriuretic peptide receptor 1 [Gallus gallus],Gallus gallus,1291,1291,97%,0.0,61.67,1050,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015153964.3?report=genbank&log$=prottop&blast_rank=12&RID=0Z920Z1M01R"",""XP_015153964.3"")"
atrial natriuretic peptide receptor 1-like [Carcharodon carcharias],Carcharodon carcharias,1290,1290,98%,0.0,59.02,1054,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041035595.1?report=genbank&log$=prottop&blast_rank=13&RID=0Z920Z1M01R"",""XP_041035595.1"")"
atrial natriuretic peptide receptor 1-like isoform X3 [Petromyzon marinus],Petromyzon marinus,1271,1271,96%,0.0,60.60,1092,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032827367.1?report=genbank&log$=prottop&blast_rank=14&RID=0Z920Z1M01R"",""XP_032827367.1"")"
atrial natriuretic peptide receptor 1-like isoform X4 [Petromyzon marinus],Petromyzon marinus,1269,1269,96%,0.0,60.13,1082,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032827453.1?report=genbank&log$=prottop&blast_rank=15&RID=0Z920Z1M01R"",""XP_032827453.1"")"
atrial natriuretic peptide receptor 1 [Xenopus tropicalis],Xenopus tropicalis,1224,1224,98%,0.0,56.32,1053,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031747254.1?report=genbank&log$=prottop&blast_rank=16&RID=0Z920Z1M01R"",""XP_031747254.1"")"
atrial natriuretic peptide receptor 1 precursor [Danio rerio],Danio rerio,1217,1217,97%,0.0,56.69,1067,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001038402.1?report=genbank&log$=prottop&blast_rank=17&RID=0Z920Z1M01R"",""NP_001038402.1"")"
atrial natriuretic peptide receptor 2 isoform X3 [Carcharodon carcharias],Carcharodon carcharias,1212,1212,79%,0.0,67.42,845,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041041033.1?report=genbank&log$=prottop&blast_rank=18&RID=0Z920Z1M01R"",""XP_041041033.1"")"
hypothetical protein XENTR_v10022838 [Xenopus tropicalis],Xenopus tropicalis,1204,1204,98%,0.0,55.69,1044,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAE8588961.1?report=genbank&log$=prottop&blast_rank=19&RID=0Z920Z1M01R"",""KAE8588961.1"")"
hypothetical protein XENTR_v10003274 [Xenopus tropicalis],Xenopus tropicalis,1201,1201,69%,0.0,75.52,717,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAE8637025.1?report=genbank&log$=prottop&blast_rank=20&RID=0Z920Z1M01R"",""KAE8637025.1"")"
atrial natriuretic peptide receptor 1 [Danio rerio],Danio rerio,1181,1181,97%,0.0,55.24,1070,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009290669.2?report=genbank&log$=prottop&blast_rank=21&RID=0Z920Z1M01R"",""XP_009290669.2"")"
atrial natriuretic peptide receptor 1 [Petromyzon marinus],Petromyzon marinus,1101,1101,88%,0.0,58.29,922,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032829876.1?report=genbank&log$=prottop&blast_rank=22&RID=0Z920Z1M01R"",""XP_032829876.1"")"
atrial natriuretic peptide receptor 1-like [Petromyzon marinus],Petromyzon marinus,1085,1085,97%,0.0,52.18,1136,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032809470.1?report=genbank&log$=prottop&blast_rank=23&RID=0Z920Z1M01R"",""XP_032809470.1"")"
hypothetical protein XENTR_v10022838 [Xenopus tropicalis],Xenopus tropicalis,1048,1048,78%,0.0,60.16,819,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAE8588962.1?report=genbank&log$=prottop&blast_rank=24&RID=0Z920Z1M01R"",""KAE8588962.1"")"
hypothetical protein XENTR_v10022838 [Xenopus tropicalis],Xenopus tropicalis,862,862,55%,0.0,68.83,576,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAE8588963.1?report=genbank&log$=prottop&blast_rank=25&RID=0Z920Z1M01R"",""KAE8588963.1"")"
atrial natriuretic peptide receptor 1 [Danio rerio],Danio rerio,658,658,79%,0.0,43.05,882,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_021333677.1?report=genbank&log$=prottop&blast_rank=26&RID=0Z920Z1M01R"",""XP_021333677.1"")"
guanylate cyclase 2G-like isoform X2 [Danio rerio],Danio rerio,575,575,98%,0.0,33.54,1122,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002664027.2?report=genbank&log$=prottop&blast_rank=27&RID=0Z920Z1M01R"",""XP_002664027.2"")"
guanylate cyclase 2G-like isoform X1 [Danio rerio],Danio rerio,573,573,98%,0.0,33.54,1127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009305067.2?report=genbank&log$=prottop&blast_rank=28&RID=0Z920Z1M01R"",""XP_009305067.2"")"
guanylate cyclase 2G [Carcharodon carcharias],Carcharodon carcharias,566,566,90%,0.0,35.09,1172,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041065791.1?report=genbank&log$=prottop&blast_rank=29&RID=0Z920Z1M01R"",""XP_041065791.1"")"
guanylate cyclase 2G-like [Xenopus tropicalis],Xenopus tropicalis,560,560,96%,7e-180,33.69,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031761585.1?report=genbank&log$=prottop&blast_rank=30&RID=0Z920Z1M01R"",""XP_031761585.1"")"
guanylate cyclase 2G-like isoform X3 [Danio rerio],Danio rerio,553,553,89%,2e-178,34.71,1025,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009305068.1?report=genbank&log$=prottop&blast_rank=31&RID=0Z920Z1M01R"",""XP_009305068.1"")"
guanylate cyclase 2G-like isoform X1 [Petromyzon marinus],Petromyzon marinus,531,531,85%,6e-171,35.87,981,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032805740.1?report=genbank&log$=prottop&blast_rank=32&RID=0Z920Z1M01R"",""XP_032805740.1"")"
guanylate cyclase 2G-like isoform X2 [Petromyzon marinus],Petromyzon marinus,517,517,85%,1e-165,35.37,967,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032805741.1?report=genbank&log$=prottop&blast_rank=33&RID=0Z920Z1M01R"",""XP_032805741.1"")"
guanylate cyclase 2G-like [Petromyzon marinus],Petromyzon marinus,522,522,99%,1e-164,32.59,1216,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032806065.1?report=genbank&log$=prottop&blast_rank=34&RID=0Z920Z1M01R"",""XP_032806065.1"")"
guanylate cyclase 2G-like isoform X3 [Petromyzon marinus],Petromyzon marinus,495,495,65%,3e-159,39.81,807,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032805743.1?report=genbank&log$=prottop&blast_rank=35&RID=0Z920Z1M01R"",""XP_032805743.1"")"
retinal guanylyl cyclase 2 [Carcharodon carcharias],Carcharodon carcharias,503,503,79%,7e-159,36.02,1082,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041055269.1?report=genbank&log$=prottop&blast_rank=36&RID=0Z920Z1M01R"",""XP_041055269.1"")"
heat-stable enterotoxin receptor-like [Petromyzon marinus],Petromyzon marinus,503,503,91%,2e-158,34.13,1147,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032825765.1?report=genbank&log$=prottop&blast_rank=37&RID=0Z920Z1M01R"",""XP_032825765.1"")"
hypothetical protein XENTR_v10007231 [Xenopus tropicalis],Xenopus tropicalis,496,496,99%,3e-156,33.10,1079,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAE8627951.1?report=genbank&log$=prottop&blast_rank=38&RID=0Z920Z1M01R"",""KAE8627951.1"")"
retinal guanylyl cyclase 2 [Xenopus tropicalis],Xenopus tropicalis,495,495,99%,7e-156,33.10,1106,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017947350.2?report=genbank&log$=prottop&blast_rank=39&RID=0Z920Z1M01R"",""XP_017947350.2"")"
retinal guanylyl cyclase 2 [Xenopus tropicalis],Xenopus tropicalis,493,493,87%,5e-155,35.08,1112,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002931862.2?report=genbank&log$=prottop&blast_rank=40&RID=0Z920Z1M01R"",""XP_002931862.2"")"
