Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
PREDICTED: calcineurin A protein catalytic subunit isoform X2 [Saccoglossus kowalevskii],Saccoglossus kowalevskii,854,854,95%,0.0,82.93,487,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006819681.1?report=genbank&log$=prottop&blast_rank=1&RID=6JFSPR9W01R"",""XP_006819681.1"")"
PREDICTED: calcineurin A protein catalytic subunit isoform X1 [Saccoglossus kowalevskii],Saccoglossus kowalevskii,854,854,95%,0.0,83.13,487,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006819680.1?report=genbank&log$=prottop&blast_rank=2&RID=6JFSPR9W01R"",""XP_006819680.1"")"
PREDICTED: calcineurin A protein catalytic subunit isoform X3 [Saccoglossus kowalevskii],Saccoglossus kowalevskii,850,850,95%,0.0,81.91,483,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006819682.1?report=genbank&log$=prottop&blast_rank=3&RID=6JFSPR9W01R"",""XP_006819682.1"")"
calcineurin A protein catalytic subunit [Saccoglossus kowalevskii],Saccoglossus kowalevskii,848,848,95%,0.0,80.48,497,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001158479.1?report=genbank&log$=prottop&blast_rank=4&RID=6JFSPR9W01R"",""NP_001158479.1"")"
serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform-like [Branchiostoma floridae],Branchiostoma floridae,839,839,96%,0.0,74.44,550,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035671378.1?report=genbank&log$=prottop&blast_rank=5&RID=6JFSPR9W01R"",""XP_035671378.1"")"
PREDICTED: serine/threonine-protein phosphatase 2B catalytic subunit 3-like isoform X1 [Priapulus caudatus],Priapulus caudatus,813,813,91%,0.0,80.97,495,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014677380.1?report=genbank&log$=prottop&blast_rank=6&RID=6JFSPR9W01R"",""XP_014677380.1"")"
PPP3CA [Branchiostoma lanceolatum],Branchiostoma lanceolatum,810,810,92%,0.0,73.72,644,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1245908.1?report=genbank&log$=prottop&blast_rank=7&RID=6JFSPR9W01R"",""CAH1245908.1"")"
PREDICTED: serine/threonine-protein phosphatase 2B catalytic subunit 3-like isoform X2 [Priapulus caudatus],Priapulus caudatus,810,810,91%,0.0,80.13,495,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014677387.1?report=genbank&log$=prottop&blast_rank=8&RID=6JFSPR9W01R"",""XP_014677387.1"")"
serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform isoform X1 [Hydra vulgaris],Hydra vulgaris,780,780,92%,0.0,76.57,482,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002157885.2?report=genbank&log$=prottop&blast_rank=9&RID=6JFSPR9W01R"",""XP_002157885.2"")"
serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform isoform X7 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,779,779,92%,0.0,79.12,480,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011678784.1?report=genbank&log$=prottop&blast_rank=10&RID=6JFSPR9W01R"",""XP_011678784.1"")"
Serine/threonine-protein phosphatase 2B catalytic subunit [Caenorhabditis elegans],Caenorhabditis elegans,779,779,96%,0.0,75.00,535,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001379183.1?report=genbank&log$=prottop&blast_rank=11&RID=6JFSPR9W01R"",""NP_001379183.1"")"
