Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
PREDICTED: adenylate cyclase type 9-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,339,418,35%,1e-100,54.22,505,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002735526.1?report=genbank&log$=prottop&blast_rank=1&RID=720A8TB2013"",""XP_002735526.1"")"
adenylate cyclase type 9-like [Branchiostoma floridae],Branchiostoma floridae,355,759,59%,5e-99,41.86,1288,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035681327.1?report=genbank&log$=prottop&blast_rank=2&RID=720A8TB2013"",""XP_035681327.1"")"
ADCY9 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,354,768,62%,9e-99,40.49,1250,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1266799.1?report=genbank&log$=prottop&blast_rank=3&RID=720A8TB2013"",""CAH1266799.1"")"
ADCY9 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,353,767,62%,2e-98,40.49,1286,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1266798.1?report=genbank&log$=prottop&blast_rank=4&RID=720A8TB2013"",""CAH1266798.1"")"
PREDICTED: adenylate cyclase type 9-like [Priapulus caudatus],Priapulus caudatus,310,385,35%,3e-90,54.99,503,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014668759.1?report=genbank&log$=prottop&blast_rank=5&RID=720A8TB2013"",""XP_014668759.1"")"
adenylate cyclase type 9-like [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,312,312,27%,1e-88,43.62,696,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030836850.1?report=genbank&log$=prottop&blast_rank=6&RID=720A8TB2013"",""XP_030836850.1"")"
adenylate cyclase type 9 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,290,290,23%,3e-83,48.09,513,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030836844.1?report=genbank&log$=prottop&blast_rank=7&RID=720A8TB2013"",""XP_030836844.1"")"
adenylate cyclase type 9-like [Asterias rubens],Asterias rubens,288,288,23%,1e-82,45.78,497,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033631337.1?report=genbank&log$=prottop&blast_rank=8&RID=720A8TB2013"",""XP_033631337.1"")"
Adenylyl CYclase [Caenorhabditis elegans],Caenorhabditis elegans,302,560,42%,2e-81,48.88,1253,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_497970.1?report=genbank&log$=prottop&blast_rank=9&RID=720A8TB2013"",""NP_497970.1"")"
adenylate cyclase type 9-like [Acropora millepora],Acropora millepora,293,717,55%,5e-79,44.44,1163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029182752.1?report=genbank&log$=prottop&blast_rank=10&RID=720A8TB2013"",""XP_029182752.1"")"
adenylate cyclase type 9-like isoform X3 [Ciona intestinalis],Ciona intestinalis,291,627,40%,2e-78,43.40,1106,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018670297.1?report=genbank&log$=prottop&blast_rank=11&RID=720A8TB2013"",""XP_018670297.1"")"
adenylate cyclase type 9-like isoform X1 [Ciona intestinalis],Ciona intestinalis,291,627,40%,2e-78,43.40,1133,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002129241.2?report=genbank&log$=prottop&blast_rank=12&RID=720A8TB2013"",""XP_002129241.2"")"
adenylate cyclase type 9-like isoform X2 [Ciona intestinalis],Ciona intestinalis,291,627,40%,2e-78,43.40,1119,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018670296.1?report=genbank&log$=prottop&blast_rank=13&RID=720A8TB2013"",""XP_018670296.1"")"
adenylate cyclase type 9-like [Asterias rubens],Asterias rubens,265,362,31%,1e-72,53.60,709,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033632435.1?report=genbank&log$=prottop&blast_rank=14&RID=720A8TB2013"",""XP_033632435.1"")"
adenylate cyclase type 9-like [Hydra vulgaris],Hydra vulgaris,252,487,37%,1e-65,41.86,1184,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_047126448.1?report=genbank&log$=prottop&blast_rank=15&RID=720A8TB2013"",""XP_047126448.1"")"
adenylate cyclase type 9-like isoform X1 [Hydra vulgaris],Hydra vulgaris,244,478,34%,4e-63,45.24,1201,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_047126445.1?report=genbank&log$=prottop&blast_rank=16&RID=720A8TB2013"",""XP_047126445.1"")"
adenylate cyclase type 9-like isoform X2 [Hydra vulgaris],Hydra vulgaris,244,477,34%,4e-63,45.24,1200,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_047126446.1?report=genbank&log$=prottop&blast_rank=17&RID=720A8TB2013"",""XP_047126446.1"")"
adenylate cyclase type 9-like isoform X3 [Hydra vulgaris],Hydra vulgaris,244,476,34%,5e-63,45.24,1187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002165335.1?report=genbank&log$=prottop&blast_rank=18&RID=720A8TB2013"",""XP_002165335.1"")"
adenylate cyclase type 8-like [Branchiostoma floridae],Branchiostoma floridae,223,431,38%,5e-56,42.35,1753,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035660331.1?report=genbank&log$=prottop&blast_rank=19&RID=720A8TB2013"",""XP_035660331.1"")"
PREDICTED: adenylate cyclase type 9-like [Amphimedon queenslandica],Amphimedon queenslandica,220,484,36%,2e-55,46.50,1313,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003385821.2?report=genbank&log$=prottop&blast_rank=20&RID=720A8TB2013"",""XP_003385821.2"")"
ADCY8 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,219,422,29%,1e-54,41.31,1850,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1248161.1?report=genbank&log$=prottop&blast_rank=21&RID=720A8TB2013"",""CAH1248161.1"")"
PREDICTED: adenylate cyclase type 7-like [Amphimedon queenslandica],Amphimedon queenslandica,211,521,25%,1e-52,46.37,1109,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_019853721.1?report=genbank&log$=prottop&blast_rank=22&RID=720A8TB2013"",""XP_019853721.1"")"
ADCY3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,209,406,38%,2e-52,35.51,1037,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1248162.1?report=genbank&log$=prottop&blast_rank=23&RID=720A8TB2013"",""CAH1248162.1"")"
adenylate cyclase type 2 isoform X2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,210,392,28%,2e-52,41.96,1143,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030831599.1?report=genbank&log$=prottop&blast_rank=24&RID=720A8TB2013"",""XP_030831599.1"")"
adenylate cyclase type 5-like [Branchiostoma floridae],Branchiostoma floridae,208,395,28%,4e-52,44.84,1027,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035689810.1?report=genbank&log$=prottop&blast_rank=25&RID=720A8TB2013"",""XP_035689810.1"")"
PREDICTED: adenylate cyclase type 8-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,207,408,30%,3e-51,44.66,1554,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006820732.1?report=genbank&log$=prottop&blast_rank=26&RID=720A8TB2013"",""XP_006820732.1"")"
adenylate cyclase type 2 isoform X2 [Hydra vulgaris],Hydra vulgaris,202,360,28%,5e-51,45.17,799,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_047144841.1?report=genbank&log$=prottop&blast_rank=27&RID=720A8TB2013"",""XP_047144841.1"")"
PREDICTED: adenylate cyclase type 2-like isoform X2 [Amphimedon queenslandica],Amphimedon queenslandica,204,1033,29%,8e-51,43.53,1048,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_019855357.1?report=genbank&log$=prottop&blast_rank=28&RID=720A8TB2013"",""XP_019855357.1"")"
adenylate cyclase type 3-like [Branchiostoma floridae],Branchiostoma floridae,204,401,37%,1e-50,35.42,1061,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035659644.1?report=genbank&log$=prottop&blast_rank=29&RID=720A8TB2013"",""XP_035659644.1"")"
adenylate cyclase type 7 isoform X1 [Hydra vulgaris],Hydra vulgaris,202,359,28%,3e-50,45.17,1033,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_047144840.1?report=genbank&log$=prottop&blast_rank=30&RID=720A8TB2013"",""XP_047144840.1"")"
PREDICTED: adenylate cyclase type 2-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,202,372,26%,6e-50,43.13,1045,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006825139.1?report=genbank&log$=prottop&blast_rank=31&RID=720A8TB2013"",""XP_006825139.1"")"
PREDICTED: adenylate cyclase type 2-like isoform X1 [Amphimedon queenslandica],Amphimedon queenslandica,202,506,29%,7e-50,41.91,1064,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_019855356.1?report=genbank&log$=prottop&blast_rank=32&RID=720A8TB2013"",""XP_019855356.1"")"
adenylate cyclase type 5 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,202,397,27%,8e-50,42.41,1208,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030846084.1?report=genbank&log$=prottop&blast_rank=33&RID=720A8TB2013"",""XP_030846084.1"")"
