Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
cytosolic phospholipase A2-like [Branchiostoma floridae],Branchiostoma floridae,262,262,65%,2e-73,30.42,767,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035685090.1?report=genbank&log$=prottop&blast_rank=1&RID=0MUBJJHH013"",""XP_035685090.1"")"
PLA2G4A [Branchiostoma lanceolatum],Branchiostoma lanceolatum,258,258,64%,1e-71,30.65,785,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1272832.1?report=genbank&log$=prottop&blast_rank=2&RID=0MUBJJHH013"",""CAH1272832.1"")"
cytosolic phospholipase A2-like isoform X1 [Acropora millepora],Acropora millepora,238,295,84%,1e-64,27.92,779,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029185674.2?report=genbank&log$=prottop&blast_rank=3&RID=0MUBJJHH013"",""XP_029185674.2"")"
PREDICTED: cytosolic phospholipase A2-like [Priapulus caudatus],Priapulus caudatus,236,236,68%,2e-63,29.92,896,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014668727.1?report=genbank&log$=prottop&blast_rank=4&RID=0MUBJJHH013"",""XP_014668727.1"")"
hypothetical protein OCBIM_22033016mg [Octopus bimaculoides],Octopus bimaculoides,185,284,56%,3e-46,36.39,803,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF76715.1?report=genbank&log$=prottop&blast_rank=5&RID=0MUBJJHH013"",""KOF76715.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X2 [Octopus bimaculoides],Octopus bimaculoides,186,288,61%,4e-46,36.39,880,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014780744.1?report=genbank&log$=prottop&blast_rank=6&RID=0MUBJJHH013"",""XP_014780744.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X1 [Octopus bimaculoides],Octopus bimaculoides,185,284,56%,5e-46,36.39,901,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014780743.1?report=genbank&log$=prottop&blast_rank=7&RID=0MUBJJHH013"",""XP_014780743.1"")"
cytosolic phospholipase A2-like [Acropora millepora],Acropora millepora,184,289,67%,6e-46,31.28,745,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029185280.2?report=genbank&log$=prottop&blast_rank=8&RID=0MUBJJHH013"",""XP_029185280.2"")"
cytosolic phospholipase A2-like isoform X2 [Acropora millepora],Acropora millepora,168,225,51%,2e-41,30.06,600,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029185675.2?report=genbank&log$=prottop&blast_rank=9&RID=0MUBJJHH013"",""XP_029185675.2"")"
cytosolic phospholipase A2 isoform X5 [Ciona intestinalis],Ciona intestinalis,167,274,52%,4e-40,34.77,901,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018669044.1?report=genbank&log$=prottop&blast_rank=10&RID=0MUBJJHH013"",""XP_018669044.1"")"
cytosolic phospholipase A2 isoform X6 [Ciona intestinalis],Ciona intestinalis,167,274,52%,4e-40,34.77,899,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018669045.1?report=genbank&log$=prottop&blast_rank=11&RID=0MUBJJHH013"",""XP_018669045.1"")"
cytosolic phospholipase A2 isoform X4 [Ciona intestinalis],Ciona intestinalis,167,274,52%,5e-40,34.77,916,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002127884.2?report=genbank&log$=prottop&blast_rank=12&RID=0MUBJJHH013"",""XP_002127884.2"")"
