Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
ADCY8 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1055,1055,94%,0.0,47.79,1850,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1248161.1?report=genbank&log$=prottop&blast_rank=1&RID=72076U2D013"",""CAH1248161.1"")"
adenylate cyclase type 8-like [Branchiostoma floridae],Branchiostoma floridae,1044,1044,96%,0.0,46.39,1753,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035660331.1?report=genbank&log$=prottop&blast_rank=2&RID=72076U2D013"",""XP_035660331.1"")"
PREDICTED: adenylate cyclase type 8-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,1029,1029,97%,0.0,46.59,1554,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006820732.1?report=genbank&log$=prottop&blast_rank=3&RID=72076U2D013"",""XP_006820732.1"")"
adenylate cyclase type 5-like [Asterias rubens],Asterias rubens,786,786,84%,0.0,42.41,1235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033639896.1?report=genbank&log$=prottop&blast_rank=4&RID=72076U2D013"",""XP_033639896.1"")"
adenylate cyclase type 5 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,775,775,82%,0.0,44.26,1208,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030846084.1?report=genbank&log$=prottop&blast_rank=5&RID=72076U2D013"",""XP_030846084.1"")"
adenylate cyclase type 5-like [Branchiostoma floridae],Branchiostoma floridae,754,854,76%,0.0,46.11,1027,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035689810.1?report=genbank&log$=prottop&blast_rank=6&RID=72076U2D013"",""XP_035689810.1"")"
adenylate cyclase type 5-like [Acropora millepora],Acropora millepora,686,686,64%,0.0,46.33,789,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044166329.1?report=genbank&log$=prottop&blast_rank=7&RID=72076U2D013"",""XP_044166329.1"")"
adenylate cyclase type 2-like isoform X1 [Asterias rubens],Asterias rubens,672,672,86%,0.0,37.53,1164,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033626705.1?report=genbank&log$=prottop&blast_rank=8&RID=72076U2D013"",""XP_033626705.1"")"
adenylate cyclase type 2-like isoform X2 [Asterias rubens],Asterias rubens,671,671,86%,0.0,37.53,1121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033626706.1?report=genbank&log$=prottop&blast_rank=9&RID=72076U2D013"",""XP_033626706.1"")"
adenylate cyclase type 3-like [Asterias rubens],Asterias rubens,656,656,83%,0.0,36.02,1073,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033640430.1?report=genbank&log$=prottop&blast_rank=10&RID=72076U2D013"",""XP_033640430.1"")"
adenylate cyclase type 3-like [Branchiostoma floridae],Branchiostoma floridae,651,759,86%,0.0,36.62,1061,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035659644.1?report=genbank&log$=prottop&blast_rank=11&RID=72076U2D013"",""XP_035659644.1"")"
PREDICTED: adenylate cyclase type 5-like [Priapulus caudatus],Priapulus caudatus,650,650,73%,0.0,40.82,1113,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014676369.1?report=genbank&log$=prottop&blast_rank=12&RID=72076U2D013"",""XP_014676369.1"")"
ADCY3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,649,756,86%,0.0,36.09,1037,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1248162.1?report=genbank&log$=prottop&blast_rank=13&RID=72076U2D013"",""CAH1248162.1"")"
adenylate cyclase type 5 isoform X1 [Hydra vulgaris],Hydra vulgaris,640,640,73%,0.0,41.98,1104,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_047136993.1?report=genbank&log$=prottop&blast_rank=14&RID=72076U2D013"",""XP_047136993.1"")"
adenylate cyclase type 2 isoform X2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,639,639,84%,0.0,37.41,1143,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030831599.1?report=genbank&log$=prottop&blast_rank=15&RID=72076U2D013"",""XP_030831599.1"")"
PREDICTED: adenylate cyclase type 1-like [Priapulus caudatus],Priapulus caudatus,639,639,83%,0.0,38.27,1703,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014661660.1?report=genbank&log$=prottop&blast_rank=16&RID=72076U2D013"",""XP_014661660.1"")"
PREDICTED: adenylate cyclase type 3 [Saccoglossus kowalevskii],Saccoglossus kowalevskii,639,639,83%,0.0,37.73,1062,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002734095.1?report=genbank&log$=prottop&blast_rank=17&RID=72076U2D013"",""XP_002734095.1"")"
adenylate cyclase type 2 isoform X1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,627,627,84%,0.0,36.68,1165,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030831597.1?report=genbank&log$=prottop&blast_rank=18&RID=72076U2D013"",""XP_030831597.1"")"
adenylate cyclase type 3-like [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,624,624,83%,0.0,36.35,1087,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030829913.1?report=genbank&log$=prottop&blast_rank=19&RID=72076U2D013"",""XP_030829913.1"")"
adenylate cyclase type 3-like [Acropora millepora],Acropora millepora,622,622,83%,0.0,36.94,1160,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044181646.1?report=genbank&log$=prottop&blast_rank=20&RID=72076U2D013"",""XP_044181646.1"")"
adenylate cyclase type 6 [Ciona intestinalis],Ciona intestinalis,617,617,83%,0.0,39.16,1222,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026693427.1?report=genbank&log$=prottop&blast_rank=21&RID=72076U2D013"",""XP_026693427.1"")"
adenylate cyclase type 2-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,611,707,72%,0.0,38.21,976,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035678763.1?report=genbank&log$=prottop&blast_rank=22&RID=72076U2D013"",""XP_035678763.1"")"
PREDICTED: adenylate cyclase type 2-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,610,610,83%,0.0,35.91,1045,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006825139.1?report=genbank&log$=prottop&blast_rank=23&RID=72076U2D013"",""XP_006825139.1"")"
ADCY2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,609,706,71%,0.0,38.24,1136,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1268842.1?report=genbank&log$=prottop&blast_rank=24&RID=72076U2D013"",""CAH1268842.1"")"
ADCY2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,608,705,71%,0.0,38.24,1136,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1268866.1?report=genbank&log$=prottop&blast_rank=25&RID=72076U2D013"",""CAH1268866.1"")"
PREDICTED: adenylate cyclase type 2-like [Amphimedon queenslandica],Amphimedon queenslandica,597,597,69%,0.0,38.72,1178,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_019850469.1?report=genbank&log$=prottop&blast_rank=26&RID=72076U2D013"",""XP_019850469.1"")"
adenylate cyclase type 2-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,597,693,70%,0.0,38.35,903,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035678764.1?report=genbank&log$=prottop&blast_rank=27&RID=72076U2D013"",""XP_035678764.1"")"
PREDICTED: adenylate cyclase type 2-like isoform X1 [Priapulus caudatus],Priapulus caudatus,581,581,83%,0.0,34.47,1113,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014671436.1?report=genbank&log$=prottop&blast_rank=28&RID=72076U2D013"",""XP_014671436.1"")"
PREDICTED: adenylate cyclase type 2-like isoform X3 [Priapulus caudatus],Priapulus caudatus,578,578,83%,0.0,34.42,1073,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014671439.1?report=genbank&log$=prottop&blast_rank=29&RID=72076U2D013"",""XP_014671439.1"")"
PREDICTED: adenylate cyclase type 2-like isoform X2 [Priapulus caudatus],Priapulus caudatus,577,577,82%,0.0,34.42,1085,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014671437.1?report=genbank&log$=prottop&blast_rank=30&RID=72076U2D013"",""XP_014671437.1"")"
PREDICTED: adenylate cyclase type 2-like isoform X4 [Priapulus caudatus],Priapulus caudatus,573,573,82%,0.0,34.36,1056,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014671440.1?report=genbank&log$=prottop&blast_rank=31&RID=72076U2D013"",""XP_014671440.1"")"
adenylate cyclase type 7 isoform X1 [Hydra vulgaris],Hydra vulgaris,555,661,83%,9e-177,35.61,1033,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_047144840.1?report=genbank&log$=prottop&blast_rank=32&RID=72076U2D013"",""XP_047144840.1"")"
