Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
GTPase HRas-like [Branchiostoma floridae],Branchiostoma floridae,286,286,89%,2e-97,85.29,188,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035672300.1?report=genbank&log$=prottop&blast_rank=1&RID=0MS3V6D0013"",""XP_035672300.1"")"
KRAS [Branchiostoma lanceolatum],Branchiostoma lanceolatum,285,285,89%,4e-97,85.29,188,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1258932.1?report=genbank&log$=prottop&blast_rank=2&RID=0MS3V6D0013"",""CAH1258932.1"")"
GTPase HRas [Branchiostoma floridae],Branchiostoma floridae,285,285,95%,4e-97,82.78,189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035696597.1?report=genbank&log$=prottop&blast_rank=3&RID=0MS3V6D0013"",""XP_035696597.1"")"
NRAS [Branchiostoma lanceolatum],Branchiostoma lanceolatum,285,285,95%,9e-97,82.78,189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1240573.1?report=genbank&log$=prottop&blast_rank=4&RID=0MS3V6D0013"",""CAH1240573.1"")"
PREDICTED: GTPase HRas isoform X1 [Octopus bimaculoides],Octopus bimaculoides,284,284,86%,1e-96,87.80,185,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014774293.1?report=genbank&log$=prottop&blast_rank=5&RID=0MS3V6D0013"",""XP_014774293.1"")"
hypothetical protein OCBIM_22019558mg [Octopus bimaculoides],Octopus bimaculoides,283,283,80%,1e-96,86.93,174,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF85932.1?report=genbank&log$=prottop&blast_rank=6&RID=0MS3V6D0013"",""KOF85932.1"")"
PREDICTED: GTPase HRas isoform X2 [Octopus bimaculoides],Octopus bimaculoides,282,282,86%,7e-96,87.73,185,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014774294.1?report=genbank&log$=prottop&blast_rank=7&RID=0MS3V6D0013"",""XP_014774294.1"")"
GTPase HRas [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,281,281,89%,2e-95,85.29,187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030848609.1?report=genbank&log$=prottop&blast_rank=8&RID=0MS3V6D0013"",""XP_030848609.1"")"
GTPase HRas [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,281,281,89%,3e-95,85.29,187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030848582.1?report=genbank&log$=prottop&blast_rank=9&RID=0MS3V6D0013"",""XP_030848582.1"")"
RAS protein [Branchiostoma lanceolatum],Branchiostoma lanceolatum,280,280,94%,3e-95,82.58,185,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ABU49827.1?report=genbank&log$=prottop&blast_rank=10&RID=0MS3V6D0013"",""ABU49827.1"")"
NRAS [Branchiostoma lanceolatum],Branchiostoma lanceolatum,279,279,95%,1e-94,81.42,192,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1240574.1?report=genbank&log$=prottop&blast_rank=11&RID=0MS3V6D0013"",""CAH1240574.1"")"
LOW QUALITY PROTEIN: GTPase HRas [Acropora millepora],Acropora millepora,275,275,87%,4e-93,87.27,183,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029181346.1?report=genbank&log$=prottop&blast_rank=12&RID=0MS3V6D0013"",""XP_029181346.1"")"
Ras protein let-60 [Caenorhabditis elegans],Caenorhabditis elegans,272,272,100%,6e-92,74.60,184,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_502213.3?report=genbank&log$=prottop&blast_rank=13&RID=0MS3V6D0013"",""NP_502213.3"")"
ras protein [Caenorhabditis elegans],Caenorhabditis elegans,272,272,100%,6e-92,74.60,187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAA28103.1?report=genbank&log$=prottop&blast_rank=14&RID=0MS3V6D0013"",""AAA28103.1"")"
PREDICTED: GTPase KRas-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,264,264,85%,7e-89,77.78,176,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002736858.1?report=genbank&log$=prottop&blast_rank=15&RID=0MS3V6D0013"",""XP_002736858.1"")"
GTPase HRas isoform X1 [Asterias rubens],Asterias rubens,260,260,87%,4e-87,81.82,188,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033638626.1?report=genbank&log$=prottop&blast_rank=16&RID=0MS3V6D0013"",""XP_033638626.1"")"
PREDICTED: GTPase HRas [Amphimedon queenslandica],Amphimedon queenslandica,259,259,88%,1e-86,79.76,189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003384227.1?report=genbank&log$=prottop&blast_rank=17&RID=0MS3V6D0013"",""XP_003384227.1"")"
Ras GTPase [Dictyostelium discoideum AX4],Dictyostelium discoideum AX4,246,246,87%,2e-81,75.30,189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_629133.1?report=genbank&log$=prottop&blast_rank=18&RID=0MS3V6D0013"",""XP_629133.1"")"
ras protein [Salpingoeca rosetta],Salpingoeca rosetta,236,236,89%,1e-77,72.35,188,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004993374.1?report=genbank&log$=prottop&blast_rank=19&RID=0MS3V6D0013"",""XP_004993374.1"")"
Ras GTPase [Dictyostelium discoideum AX4],Dictyostelium discoideum AX4,235,235,87%,3e-77,71.69,187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_629338.1?report=genbank&log$=prottop&blast_rank=20&RID=0MS3V6D0013"",""XP_629338.1"")"
ras-like protein RAS1 [Hydra vulgaris],Hydra vulgaris,235,235,91%,4e-77,70.06,194,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001296618.1?report=genbank&log$=prottop&blast_rank=21&RID=0MS3V6D0013"",""NP_001296618.1"")"
PREDICTED: ras-like protein RAS1 [Hydra vulgaris],Hydra vulgaris,234,234,91%,7e-77,70.06,194,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012556705.1?report=genbank&log$=prottop&blast_rank=22&RID=0MS3V6D0013"",""XP_012556705.1"")"
PREDICTED: ras-like protein [Priapulus caudatus],Priapulus caudatus,235,235,68%,1e-76,84.62,223,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014672039.1?report=genbank&log$=prottop&blast_rank=23&RID=0MS3V6D0013"",""XP_014672039.1"")"
ras protein [Dictyostelium discoideum],Dictyostelium discoideum,221,221,87%,2e-71,70.48,186,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAA33245.1?report=genbank&log$=prottop&blast_rank=24&RID=0MS3V6D0013"",""AAA33245.1"")"
Ras GTPase [Dictyostelium discoideum AX4],Dictyostelium discoideum AX4,218,218,94%,1e-70,59.34,189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_640683.1?report=genbank&log$=prottop&blast_rank=25&RID=0MS3V6D0013"",""XP_640683.1"")"
Ras GTPase [Dictyostelium discoideum AX4],Dictyostelium discoideum AX4,214,214,96%,6e-69,61.20,197,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_629300.1?report=genbank&log$=prottop&blast_rank=26&RID=0MS3V6D0013"",""XP_629300.1"")"
RAS_EMENI RAS-LIKE PROTEIN [Aspergillus nidulans FGSC A4],Aspergillus nidulans FGSC A4,212,212,87%,1e-67,67.66,212,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_657786.1?report=genbank&log$=prottop&blast_rank=27&RID=0MS3V6D0013"",""XP_657786.1"")"
