Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
protein phosphatase 1 regulatory subunit 12A isoform X2 [Ciona intestinalis],Ciona intestinalis,384,457,38%,6e-113,58.23,1105,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026696402.1?report=genbank&log$=prottop&blast_rank=1&RID=71Y0WHSK01N"",""XP_026696402.1"")"
protein phosphatase 1 regulatory subunit 12A-like isoform X6 [Branchiostoma floridae],Branchiostoma floridae,373,464,36%,7e-112,57.00,781,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035663753.1?report=genbank&log$=prottop&blast_rank=2&RID=71Y0WHSK01N"",""XP_035663753.1"")"
protein phosphatase 1 regulatory subunit 12A-like isoform X9 [Asterias rubens],Asterias rubens,376,434,35%,8e-112,59.31,889,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628977.1?report=genbank&log$=prottop&blast_rank=3&RID=71Y0WHSK01N"",""XP_033628977.1"")"
protein phosphatase 1 regulatory subunit 12A-like isoform X8 [Asterias rubens],Asterias rubens,376,434,35%,1e-111,59.31,913,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628976.1?report=genbank&log$=prottop&blast_rank=4&RID=71Y0WHSK01N"",""XP_033628976.1"")"
protein phosphatase 1 regulatory subunit 12A-like isoform X3 [Branchiostoma floridae],Branchiostoma floridae,376,467,36%,2e-111,56.96,914,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035663750.1?report=genbank&log$=prottop&blast_rank=5&RID=71Y0WHSK01N"",""XP_035663750.1"")"
protein phosphatase 1 regulatory subunit 12B-like isoform X7 [Asterias rubens],Asterias rubens,377,436,43%,2e-111,59.31,977,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628975.1?report=genbank&log$=prottop&blast_rank=6&RID=71Y0WHSK01N"",""XP_033628975.1"")"
protein phosphatase 1 regulatory subunit 12C-like isoform X5 [Branchiostoma floridae],Branchiostoma floridae,374,465,36%,2e-111,57.00,881,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035663752.1?report=genbank&log$=prottop&blast_rank=7&RID=71Y0WHSK01N"",""XP_035663752.1"")"
protein phosphatase 1 regulatory subunit 12A isoform X1 [Ciona intestinalis],Ciona intestinalis,382,382,27%,3e-111,58.23,1207,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026696401.1?report=genbank&log$=prottop&blast_rank=8&RID=71Y0WHSK01N"",""XP_026696401.1"")"
protein phosphatase 1 regulatory subunit 12A-like isoform X5 [Asterias rubens],Asterias rubens,377,437,43%,3e-111,59.31,1013,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628972.1?report=genbank&log$=prottop&blast_rank=9&RID=71Y0WHSK01N"",""XP_033628972.1"")"
protein phosphatase 1 regulatory subunit 12A-like isoform X6 [Asterias rubens],Asterias rubens,377,436,43%,3e-111,59.31,995,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628974.1?report=genbank&log$=prottop&blast_rank=10&RID=71Y0WHSK01N"",""XP_033628974.1"")"
protein phosphatase 1 regulatory subunit 12A-like isoform X3 [Asterias rubens],Asterias rubens,377,437,43%,4e-111,59.31,1027,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628970.1?report=genbank&log$=prottop&blast_rank=11&RID=71Y0WHSK01N"",""XP_033628970.1"")"
protein phosphatase 1 regulatory subunit 12A-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,375,466,36%,4e-111,57.00,930,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035663749.1?report=genbank&log$=prottop&blast_rank=12&RID=71Y0WHSK01N"",""XP_035663749.1"")"
protein phosphatase 1 regulatory subunit 12A-like isoform X4 [Branchiostoma floridae],Branchiostoma floridae,374,466,36%,4e-111,57.00,908,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035663751.1?report=genbank&log$=prottop&blast_rank=13&RID=71Y0WHSK01N"",""XP_035663751.1"")"
protein phosphatase 1 regulatory subunit 12A-like isoform X4 [Asterias rubens],Asterias rubens,377,437,43%,5e-111,59.31,1016,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628971.1?report=genbank&log$=prottop&blast_rank=14&RID=71Y0WHSK01N"",""XP_033628971.1"")"
protein phosphatase 1 regulatory subunit 12A-like isoform X2 [Asterias rubens],Asterias rubens,377,437,43%,5e-111,59.31,1034,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628969.1?report=genbank&log$=prottop&blast_rank=15&RID=71Y0WHSK01N"",""XP_033628969.1"")"
