Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
eukaryotic elongation factor 2 kinase-like isoform X4 [Branchiostoma floridae],Branchiostoma floridae,613,613,89%,0.0,50.76,695,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035696189.1?report=genbank&log$=prottop&blast_rank=1&RID=04X3S9A0016"",""XP_035696189.1"")"
eukaryotic elongation factor 2 kinase-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,609,609,89%,0.0,49.92,716,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035696186.1?report=genbank&log$=prottop&blast_rank=2&RID=04X3S9A0016"",""XP_035696186.1"")"
EEF2K [Branchiostoma lanceolatum],Branchiostoma lanceolatum,608,608,91%,0.0,49.40,713,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1274479.1?report=genbank&log$=prottop&blast_rank=3&RID=04X3S9A0016"",""CAH1274479.1"")"
EEF2K [Branchiostoma lanceolatum],Branchiostoma lanceolatum,608,608,91%,0.0,49.48,692,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1274476.1?report=genbank&log$=prottop&blast_rank=4&RID=04X3S9A0016"",""CAH1274476.1"")"
eukaryotic elongation factor 2 kinase-like isoform X3 [Branchiostoma floridae],Branchiostoma floridae,605,605,89%,0.0,49.70,709,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035696188.1?report=genbank&log$=prottop&blast_rank=5&RID=04X3S9A0016"",""XP_035696188.1"")"
eukaryotic elongation factor 2 kinase-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,602,602,89%,0.0,48.88,730,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035696185.1?report=genbank&log$=prottop&blast_rank=6&RID=04X3S9A0016"",""XP_035696185.1"")"
EEF2K [Branchiostoma lanceolatum],Branchiostoma lanceolatum,601,601,91%,0.0,48.54,727,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1274477.1?report=genbank&log$=prottop&blast_rank=7&RID=04X3S9A0016"",""CAH1274477.1"")"
EEF2K [Branchiostoma lanceolatum],Branchiostoma lanceolatum,601,601,91%,0.0,48.61,706,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1274478.1?report=genbank&log$=prottop&blast_rank=8&RID=04X3S9A0016"",""CAH1274478.1"")"
PREDICTED: eukaryotic elongation factor 2 kinase-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,593,593,89%,0.0,50.70,729,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006818441.1?report=genbank&log$=prottop&blast_rank=9&RID=04X3S9A0016"",""XP_006818441.1"")"
eukaryotic elongation factor 2 kinase-like isoform X2 [Asterias rubens],Asterias rubens,591,591,97%,0.0,45.53,684,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033630158.1?report=genbank&log$=prottop&blast_rank=10&RID=04X3S9A0016"",""XP_033630158.1"")"
eukaryotic elongation factor 2 kinase [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,590,590,95%,0.0,46.28,684,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030847722.1?report=genbank&log$=prottop&blast_rank=11&RID=04X3S9A0016"",""XP_030847722.1"")"
eukaryotic elongation factor 2 kinase-like isoform X4 [Asterias rubens],Asterias rubens,589,589,97%,0.0,45.31,677,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033630160.1?report=genbank&log$=prottop&blast_rank=12&RID=04X3S9A0016"",""XP_033630160.1"")"
eukaryotic elongation factor 2 kinase-like isoform X1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,589,589,95%,0.0,46.39,683,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030840250.1?report=genbank&log$=prottop&blast_rank=13&RID=04X3S9A0016"",""XP_030840250.1"")"
eukaryotic elongation factor 2 kinase-like isoform X1 [Asterias rubens],Asterias rubens,587,587,97%,0.0,45.47,685,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033630155.1?report=genbank&log$=prottop&blast_rank=14&RID=04X3S9A0016"",""XP_033630155.1"")"
eukaryotic elongation factor 2 kinase-like isoform X3 [Asterias rubens],Asterias rubens,585,585,97%,0.0,45.25,678,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033630159.1?report=genbank&log$=prottop&blast_rank=15&RID=04X3S9A0016"",""XP_033630159.1"")"
PREDICTED: eukaryotic elongation factor 2 kinase-like [Priapulus caudatus],Priapulus caudatus,577,577,88%,0.0,50.47,627,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014671454.1?report=genbank&log$=prottop&blast_rank=16&RID=04X3S9A0016"",""XP_014671454.1"")"
PREDICTED: eukaryotic elongation factor 2 kinase-like [Octopus bimaculoides],Octopus bimaculoides,528,528,94%,4e-177,45.45,688,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014779788.1?report=genbank&log$=prottop&blast_rank=17&RID=04X3S9A0016"",""XP_014779788.1"")"
eukaryotic elongation factor 2 kinase-like isoform X2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,506,506,79%,2e-170,47.82,554,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030840252.1?report=genbank&log$=prottop&blast_rank=18&RID=04X3S9A0016"",""XP_030840252.1"")"
eukaryotic elongation factor 2 kinase isoform X10 [Ciona intestinalis],Ciona intestinalis,503,503,92%,2e-166,43.02,736,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002124480.1?report=genbank&log$=prottop&blast_rank=19&RID=04X3S9A0016"",""XP_002124480.1"")"
eukaryotic elongation factor 2 kinase isoform X7 [Ciona intestinalis],Ciona intestinalis,499,499,92%,1e-164,42.90,756,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026694352.1?report=genbank&log$=prottop&blast_rank=20&RID=04X3S9A0016"",""XP_026694352.1"")"
eukaryotic elongation factor 2 kinase isoform X6 [Ciona intestinalis],Ciona intestinalis,497,497,92%,5e-164,41.83,758,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018671238.1?report=genbank&log$=prottop&blast_rank=21&RID=04X3S9A0016"",""XP_018671238.1"")"
eukaryotic elongation factor 2 kinase isoform X5 [Ciona intestinalis],Ciona intestinalis,497,497,92%,6e-164,41.83,758,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009861448.1?report=genbank&log$=prottop&blast_rank=22&RID=04X3S9A0016"",""XP_009861448.1"")"
eukaryotic elongation factor 2 kinase isoform X8 [Ciona intestinalis],Ciona intestinalis,496,496,92%,1e-163,41.81,743,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018671239.1?report=genbank&log$=prottop&blast_rank=23&RID=04X3S9A0016"",""XP_018671239.1"")"
eukaryotic elongation factor 2 kinase isoform X9 [Ciona intestinalis],Ciona intestinalis,496,496,92%,1e-163,41.81,743,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018671240.1?report=genbank&log$=prottop&blast_rank=24&RID=04X3S9A0016"",""XP_018671240.1"")"
eukaryotic elongation factor 2 kinase isoform X3 [Ciona intestinalis],Ciona intestinalis,494,494,92%,1e-162,41.70,763,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026694350.1?report=genbank&log$=prottop&blast_rank=25&RID=04X3S9A0016"",""XP_026694350.1"")"
eukaryotic elongation factor 2 kinase isoform X4 [Ciona intestinalis],Ciona intestinalis,494,494,92%,1e-162,41.70,763,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026694351.1?report=genbank&log$=prottop&blast_rank=26&RID=04X3S9A0016"",""XP_026694351.1"")"
eukaryotic elongation factor 2 kinase isoform X1 [Ciona intestinalis],Ciona intestinalis,493,493,92%,2e-162,41.85,778,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026694349.1?report=genbank&log$=prottop&blast_rank=27&RID=04X3S9A0016"",""XP_026694349.1"")"
eukaryotic elongation factor 2 kinase isoform X2 [Ciona intestinalis],Ciona intestinalis,493,493,92%,3e-162,41.85,778,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018671237.1?report=genbank&log$=prottop&blast_rank=28&RID=04X3S9A0016"",""XP_018671237.1"")"
EEF2K [Branchiostoma lanceolatum],Branchiostoma lanceolatum,486,486,73%,6e-162,49.54,581,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1274480.1?report=genbank&log$=prottop&blast_rank=29&RID=04X3S9A0016"",""CAH1274480.1"")"
eukaryotic elongation factor 2 kinase-like isoform X1 [Acropora millepora],Acropora millepora,396,592,76%,1e-125,59.50,695,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044176085.1?report=genbank&log$=prottop&blast_rank=30&RID=04X3S9A0016"",""XP_044176085.1"")"
