Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
cdk inhibitor CIP1 [Gallus gallus],Gallus gallus,94.4,94.4,76%,1e-23,38.75,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAN63876.1?report=genbank&log$=prottop&blast_rank=1&RID=0ZCFWVNT013"",""AAN63876.1"")"
cyclin-dependent kinase inhibitor 1 isoform 2 [Gallus gallus],Gallus gallus,94.0,94.0,76%,3e-23,39.52,156,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001383265.1?report=genbank&log$=prottop&blast_rank=2&RID=0ZCFWVNT013"",""NP_001383265.1"")"
cyclin-dependent kinase inhibitor 1 isoform 1 [Gallus gallus],Gallus gallus,93.6,93.6,76%,3e-23,39.52,151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_989727.2?report=genbank&log$=prottop&blast_rank=3&RID=0ZCFWVNT013"",""NP_989727.2"")"
cyclin-dependent kinase inhibitor 1 [Danio rerio],Danio rerio,85.9,85.9,73%,3e-20,37.67,154,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001121892.1?report=genbank&log$=prottop&blast_rank=4&RID=0ZCFWVNT013"",""NP_001121892.1"")"
cyclin-dependent kinase inhibitor 1 isoform X1 [Danio rerio],Danio rerio,86.3,86.3,73%,3e-20,37.67,170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003200962.1?report=genbank&log$=prottop&blast_rank=5&RID=0ZCFWVNT013"",""XP_003200962.1"")"
cyclin-dependent kinase inhibitor 1 isoform X3 [Gallus gallus],Gallus gallus,83.6,83.6,70%,2e-19,34.53,153,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015146318.1?report=genbank&log$=prottop&blast_rank=6&RID=0ZCFWVNT013"",""XP_015146318.1"")"
cyclin-dependent kinase inhibitor 1 isoform X2 [Gallus gallus],Gallus gallus,83.2,83.2,70%,5e-19,34.53,170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015146312.1?report=genbank&log$=prottop&blast_rank=7&RID=0ZCFWVNT013"",""XP_015146312.1"")"
cyclin-dependent kinase inhibitor 1 isoform X1 [Gallus gallus],Gallus gallus,83.6,83.6,70%,6e-19,34.53,189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015146293.1?report=genbank&log$=prottop&blast_rank=8&RID=0ZCFWVNT013"",""XP_015146293.1"")"
cyclin-dependent kinase inhibitor 1 isoform X3 [Gallus gallus],Gallus gallus,82.0,82.0,70%,7e-19,33.81,153,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_040516857.1?report=genbank&log$=prottop&blast_rank=9&RID=0ZCFWVNT013"",""XP_040516857.1"")"
cyclin-dependent kinase inhibitor 1 isoform X2 [Gallus gallus],Gallus gallus,81.6,81.6,70%,2e-18,33.81,170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_040516856.1?report=genbank&log$=prottop&blast_rank=10&RID=0ZCFWVNT013"",""XP_040516856.1"")"
