Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
G1/S-specific cyclin-D2-like [Branchiostoma floridae],Branchiostoma floridae,328,328,98%,2e-110,56.90,289,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035662822.1?report=genbank&log$=prottop&blast_rank=1&RID=04R2DMXJ016"",""XP_035662822.1"")"
CCND2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,323,323,98%,2e-108,56.57,289,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1250420.1?report=genbank&log$=prottop&blast_rank=2&RID=04R2DMXJ016"",""CAH1250420.1"")"
CCND2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,301,301,98%,2e-99,49.27,335,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1250421.1?report=genbank&log$=prottop&blast_rank=3&RID=04R2DMXJ016"",""CAH1250421.1"")"
cyclin D [Saccoglossus kowalevskii],Saccoglossus kowalevskii,281,281,97%,3e-92,55.17,289,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001158492.1?report=genbank&log$=prottop&blast_rank=4&RID=04R2DMXJ016"",""NP_001158492.1"")"
G1/S-specific cyclin-D2-like [Asterias rubens],Asterias rubens,279,279,97%,5e-91,53.26,319,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628903.1?report=genbank&log$=prottop&blast_rank=5&RID=04R2DMXJ016"",""XP_033628903.1"")"
G1/S-specific cyclin-D2-like isoform X2 [Acropora millepora],Acropora millepora,277,277,98%,1e-90,49.48,281,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029197327.1?report=genbank&log$=prottop&blast_rank=6&RID=04R2DMXJ016"",""XP_029197327.1"")"
PREDICTED: G1/S-specific cyclin-D2-like [Octopus bimaculoides],Octopus bimaculoides,274,274,98%,3e-89,48.29,286,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014783733.1?report=genbank&log$=prottop&blast_rank=7&RID=04R2DMXJ016"",""XP_014783733.1"")"
PREDICTED: G1/S-specific cyclin-D2-like [Priapulus caudatus],Priapulus caudatus,272,272,99%,3e-88,46.71,308,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014667160.1?report=genbank&log$=prottop&blast_rank=8&RID=04R2DMXJ016"",""XP_014667160.1"")"
G1/S-specific cyclin-D2-like isoform X1 [Acropora millepora],Acropora millepora,263,263,80%,4e-85,54.81,300,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029197326.1?report=genbank&log$=prottop&blast_rank=9&RID=04R2DMXJ016"",""XP_029197326.1"")"
PREDICTED: G1/S-specific cyclin-D2-like [Hydra vulgaris],Hydra vulgaris,248,248,96%,6e-79,45.42,300,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002156088.1?report=genbank&log$=prottop&blast_rank=10&RID=04R2DMXJ016"",""XP_002156088.1"")"
