Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
PREDICTED: uncharacterized protein LOC100373148 [Saccoglossus kowalevskii],Saccoglossus kowalevskii,170,170,81%,3e-46,50.29,1070,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006825374.1?report=genbank&log$=prottop&blast_rank=1&RID=080U2C18013"",""XP_006825374.1"")"
PREDICTED: regulator of G-protein signaling 3-like [Priapulus caudatus],Priapulus caudatus,138,138,80%,3e-36,39.64,431,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014672661.1?report=genbank&log$=prottop&blast_rank=2&RID=080U2C18013"",""XP_014672661.1"")"
PREDICTED: regulator of G-protein signaling 2-like [Priapulus caudatus],Priapulus caudatus,137,137,57%,4e-36,51.24,388,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014662709.1?report=genbank&log$=prottop&blast_rank=3&RID=080U2C18013"",""XP_014662709.1"")"
regulator of G-protein signaling 8 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,127,127,59%,2e-34,51.59,191,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030853349.1?report=genbank&log$=prottop&blast_rank=4&RID=080U2C18013"",""XP_030853349.1"")"
uncharacterized protein LOC117303094 isoform X2 [Asterias rubens],Asterias rubens,134,134,79%,4e-34,39.41,538,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033643064.1?report=genbank&log$=prottop&blast_rank=5&RID=080U2C18013"",""XP_033643064.1"")"
uncharacterized protein LOC117303094 isoform X1 [Asterias rubens],Asterias rubens,134,134,78%,5e-34,39.64,545,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033643063.1?report=genbank&log$=prottop&blast_rank=6&RID=080U2C18013"",""XP_033643063.1"")"
regulator of G-protein signaling 20-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,124,124,64%,2e-33,41.73,189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035666686.1?report=genbank&log$=prottop&blast_rank=7&RID=080U2C18013"",""XP_035666686.1"")"
regulator of G-protein signaling 20-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,125,125,64%,4e-33,41.73,226,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035666681.1?report=genbank&log$=prottop&blast_rank=8&RID=080U2C18013"",""XP_035666681.1"")"
PREDICTED: regulator of G-protein signaling 17-like [Priapulus caudatus],Priapulus caudatus,125,125,61%,4e-33,45.38,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014673641.1?report=genbank&log$=prottop&blast_rank=9&RID=080U2C18013"",""XP_014673641.1"")"
PREDICTED: regulator of G-protein signaling 20-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,122,122,68%,4e-32,41.38,200,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006816283.1?report=genbank&log$=prottop&blast_rank=10&RID=080U2C18013"",""XP_006816283.1"")"
RGS3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,128,128,58%,1e-31,46.77,1197,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1272168.1?report=genbank&log$=prottop&blast_rank=11&RID=080U2C18013"",""CAH1272168.1"")"
regulator of G-protein signaling 20 isoform X2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,119,119,61%,4e-31,41.09,207,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011679021.1?report=genbank&log$=prottop&blast_rank=12&RID=080U2C18013"",""XP_011679021.1"")"
regulator of G-protein signaling 20 isoform X1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,119,119,61%,9e-31,41.09,233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_794623.4?report=genbank&log$=prottop&blast_rank=13&RID=080U2C18013"",""XP_794623.4"")"
PREDICTED: regulator of G-protein signaling 17-like isoform X3 [Octopus bimaculoides],Octopus bimaculoides,118,118,61%,3e-30,41.09,245,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014787791.1?report=genbank&log$=prottop&blast_rank=14&RID=080U2C18013"",""XP_014787791.1"")"
PREDICTED: regulator of G-protein signaling 17-like isoform X2 [Octopus bimaculoides],Octopus bimaculoides,118,118,60%,4e-30,40.94,258,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014787790.1?report=genbank&log$=prottop&blast_rank=15&RID=080U2C18013"",""XP_014787790.1"")"
PREDICTED: regulator of G-protein signaling 17-like isoform X1 [Octopus bimaculoides],Octopus bimaculoides,118,118,60%,4e-30,40.94,261,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014787789.1?report=genbank&log$=prottop&blast_rank=16&RID=080U2C18013"",""XP_014787789.1"")"
Regulator of G-protein signaling rgs-1 [Caenorhabditis elegans],Caenorhabditis elegans,116,116,72%,5e-30,39.74,201,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001369842.1?report=genbank&log$=prottop&blast_rank=17&RID=080U2C18013"",""NP_001369842.1"")"
RGS domain-containing protein [Caenorhabditis elegans],Caenorhabditis elegans,114,114,70%,1e-29,37.66,181,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001379248.1?report=genbank&log$=prottop&blast_rank=18&RID=080U2C18013"",""NP_001379248.1"")"
uncharacterized protein LOC118420735 [Branchiostoma floridae],Branchiostoma floridae,122,122,58%,2e-29,44.35,741,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035683583.1?report=genbank&log$=prottop&blast_rank=19&RID=080U2C18013"",""XP_035683583.1"")"
RGS domain-containing protein [Caenorhabditis elegans],Caenorhabditis elegans,116,116,72%,2e-29,39.74,247,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001255056.1?report=genbank&log$=prottop&blast_rank=20&RID=080U2C18013"",""NP_001255056.1"")"
regulator of G-protein signaling 17-like isoform X2 [Asterias rubens],Asterias rubens,115,115,68%,4e-29,36.24,243,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033644698.1?report=genbank&log$=prottop&blast_rank=21&RID=080U2C18013"",""XP_033644698.1"")"
regulator of G-protein signaling 17-like isoform X1 [Asterias rubens],Asterias rubens,115,115,68%,5e-29,36.24,244,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033644697.1?report=genbank&log$=prottop&blast_rank=22&RID=080U2C18013"",""XP_033644697.1"")"
RGS domain-containing protein [Caenorhabditis elegans],Caenorhabditis elegans,111,111,69%,2e-28,37.41,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001123134.1?report=genbank&log$=prottop&blast_rank=23&RID=080U2C18013"",""NP_001123134.1"")"
Regulator of G-protein signaling rgs-2 [Caenorhabditis elegans],Caenorhabditis elegans,110,110,60%,4e-28,39.37,169,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_510124.2?report=genbank&log$=prottop&blast_rank=24&RID=080U2C18013"",""NP_510124.2"")"
RGS domain-containing protein [Caenorhabditis elegans],Caenorhabditis elegans,110,110,60%,5e-28,39.37,167,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001257199.1?report=genbank&log$=prottop&blast_rank=25&RID=080U2C18013"",""NP_001257199.1"")"
regulator of G-protein signaling rgs-2-like isoform X3 [Acropora millepora],Acropora millepora,108,108,62%,4e-27,36.64,189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044183060.1?report=genbank&log$=prottop&blast_rank=26&RID=080U2C18013"",""XP_044183060.1"")"
regulator of G-protein signaling 17-like isoform X4 [Acropora millepora],Acropora millepora,108,108,62%,4e-27,36.64,178,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029185354.1?report=genbank&log$=prottop&blast_rank=27&RID=080U2C18013"",""XP_029185354.1"")"
regulator of G-protein signaling rgs-2-like isoform X2 [Acropora millepora],Acropora millepora,109,109,60%,5e-27,41.41,232,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029191434.1?report=genbank&log$=prottop&blast_rank=28&RID=080U2C18013"",""XP_029191434.1"")"
regulator of G-protein signaling rgs-2-like isoform X1 [Acropora millepora],Acropora millepora,109,109,60%,6e-27,41.41,242,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029191431.1?report=genbank&log$=prottop&blast_rank=29&RID=080U2C18013"",""XP_029191431.1"")"
regulator of G-protein signaling rgs-2-like isoform X2 [Acropora millepora],Acropora millepora,108,108,62%,6e-27,36.64,189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029185351.1?report=genbank&log$=prottop&blast_rank=30&RID=080U2C18013"",""XP_029185351.1"")"
