Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
PREDICTED: transforming protein RhoA-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,355,355,99%,2e-124,89.64,192,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002741600.1?report=genbank&log$=prottop&blast_rank=1&RID=6ZY1TEH2016"",""XP_002741600.1"")"
RhoA protein [Ciona intestinalis],Ciona intestinalis,343,343,99%,9e-120,84.97,193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001027690.1?report=genbank&log$=prottop&blast_rank=2&RID=6ZY1TEH2016"",""NP_001027690.1"")"
RHOA [Branchiostoma lanceolatum],Branchiostoma lanceolatum,342,342,99%,2e-119,85.49,193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1246701.1?report=genbank&log$=prottop&blast_rank=3&RID=6ZY1TEH2016"",""CAH1246701.1"")"
rho-related GTP-binding protein RhoA-C [Branchiostoma floridae],Branchiostoma floridae,342,342,99%,3e-119,85.49,193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035669252.1?report=genbank&log$=prottop&blast_rank=4&RID=6ZY1TEH2016"",""XP_035669252.1"")"
ras-like GTP-binding protein RHO [Hydra vulgaris],Hydra vulgaris,341,341,92%,8e-119,91.11,192,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002156827.1?report=genbank&log$=prottop&blast_rank=5&RID=6ZY1TEH2016"",""XP_002156827.1"")"
PREDICTED: ras-like GTP-binding protein RHO [Priapulus caudatus],Priapulus caudatus,340,340,99%,2e-118,84.46,192,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014671952.1?report=genbank&log$=prottop&blast_rank=6&RID=6ZY1TEH2016"",""XP_014671952.1"")"
ras-like GTP-binding protein Rho1 [Hydra vulgaris],Hydra vulgaris,339,339,92%,3e-118,90.56,192,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012555672.1?report=genbank&log$=prottop&blast_rank=7&RID=6ZY1TEH2016"",""XP_012555672.1"")"
"ras homolog gene family, member C-like [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,335,335,92%,1e-116,88.89,192,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001229608.1?report=genbank&log$=prottop&blast_rank=8&RID=6ZY1TEH2016"",""NP_001229608.1"")"
rho GTPase 1 [Ephydatia muelleri],Ephydatia muelleri,334,334,99%,3e-116,83.94,192,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ALB75313.1?report=genbank&log$=prottop&blast_rank=9&RID=6ZY1TEH2016"",""ALB75313.1"")"
Ras-like GTP-binding protein rhoA [Caenorhabditis elegans],Caenorhabditis elegans,333,333,92%,5e-116,87.78,192,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_502959.1?report=genbank&log$=prottop&blast_rank=10&RID=6ZY1TEH2016"",""NP_502959.1"")"
