Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
5'-AMP-activated protein kinase catalytic subunit alpha-2 [Xenopus tropicalis],Xenopus tropicalis,1085,1085,100%,0.0,93.66,551,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001135554.1?report=genbank&log$=prottop&blast_rank=1&RID=0Z13TUDN01R"",""NP_001135554.1"")"
5'-AMP-activated protein kinase catalytic subunit alpha-2 [Gallus gallus],Gallus gallus,1078,1078,100%,0.0,93.68,552,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001034694.1?report=genbank&log$=prottop&blast_rank=2&RID=0Z13TUDN01R"",""NP_001034694.1"")"
5'-AMP-activated protein kinase catalytic subunit alpha-2 isoform X1 [Carcharodon carcharias],Carcharodon carcharias,1035,1035,100%,0.0,89.17,553,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041063588.1?report=genbank&log$=prottop&blast_rank=3&RID=0Z13TUDN01R"",""XP_041063588.1"")"
5'-AMP-activated protein kinase catalytic subunit alpha-2 [Danio rerio],Danio rerio,1031,1031,100%,0.0,89.01,553,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_700831.4?report=genbank&log$=prottop&blast_rank=4&RID=0Z13TUDN01R"",""XP_700831.4"")"
5'-AMP-activated protein kinase catalytic subunit alpha-2 isoform X1 [Gallus gallus],Gallus gallus,898,898,83%,0.0,92.87,461,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015146547.2?report=genbank&log$=prottop&blast_rank=5&RID=0Z13TUDN01R"",""XP_015146547.2"")"
5'-AMP-activated protein kinase catalytic subunit alpha-2 isoform X2 [Carcharodon carcharias],Carcharodon carcharias,854,854,83%,0.0,87.72,463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041063589.1?report=genbank&log$=prottop&blast_rank=6&RID=0Z13TUDN01R"",""XP_041063589.1"")"
5'-AMP-activated protein kinase catalytic subunit alpha-1 [Gallus gallus],Gallus gallus,851,851,99%,0.0,74.73,560,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001034692.1?report=genbank&log$=prottop&blast_rank=7&RID=0Z13TUDN01R"",""NP_001034692.1"")"
5'-AMP-activated protein kinase catalytic subunit alpha-1-like [Carcharodon carcharias],Carcharodon carcharias,827,827,100%,0.0,73.36,558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041042593.1?report=genbank&log$=prottop&blast_rank=8&RID=0Z13TUDN01R"",""XP_041042593.1"")"
hypothetical protein XENTR_v10002987 [Xenopus tropicalis],Xenopus tropicalis,817,817,99%,0.0,74.59,560,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAE8636421.1?report=genbank&log$=prottop&blast_rank=9&RID=0Z13TUDN01R"",""KAE8636421.1"")"
5'-AMP-activated protein kinase catalytic subunit alpha-1 [Xenopus tropicalis],Xenopus tropicalis,816,816,99%,0.0,74.59,551,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001120434.1?report=genbank&log$=prottop&blast_rank=10&RID=0Z13TUDN01R"",""NP_001120434.1"")"
5'-AMP-activated protein kinase catalytic subunit alpha-1 [Danio rerio],Danio rerio,808,808,99%,0.0,71.78,573,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001103756.1?report=genbank&log$=prottop&blast_rank=11&RID=0Z13TUDN01R"",""NP_001103756.1"")"
hypothetical protein XENTR_v10002987 [Xenopus tropicalis],Xenopus tropicalis,696,696,78%,0.0,80.37,453,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAE8636422.1?report=genbank&log$=prottop&blast_rank=12&RID=0Z13TUDN01R"",""KAE8636422.1"")"
5'-AMP-activated protein kinase catalytic subunit alpha-2-like isoform X2 [Petromyzon marinus],Petromyzon marinus,651,651,89%,0.0,66.80,853,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032809346.1?report=genbank&log$=prottop&blast_rank=13&RID=0Z13TUDN01R"",""XP_032809346.1"")"
5'-AMP-activated protein kinase catalytic subunit alpha-2-like isoform X1 [Petromyzon marinus],Petromyzon marinus,651,651,89%,0.0,66.80,846,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032809336.1?report=genbank&log$=prottop&blast_rank=14&RID=0Z13TUDN01R"",""XP_032809336.1"")"
