Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
cytosolic phospholipase A2-like [Branchiostoma floridae],Branchiostoma floridae,269,269,66%,2e-76,30.22,767,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035685090.1?report=genbank&log$=prottop&blast_rank=1&RID=0MUAY1ZE016"",""XP_035685090.1"")"
PLA2G4A [Branchiostoma lanceolatum],Branchiostoma lanceolatum,261,261,68%,3e-73,29.92,785,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1272832.1?report=genbank&log$=prottop&blast_rank=2&RID=0MUAY1ZE016"",""CAH1272832.1"")"
cytosolic phospholipase A2-like isoform X1 [Acropora millepora],Acropora millepora,259,320,94%,2e-72,30.00,779,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029185674.2?report=genbank&log$=prottop&blast_rank=3&RID=0MUAY1ZE016"",""XP_029185674.2"")"
PREDICTED: cytosolic phospholipase A2-like [Priapulus caudatus],Priapulus caudatus,241,241,74%,3e-65,29.87,896,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014668727.1?report=genbank&log$=prottop&blast_rank=4&RID=0MUAY1ZE016"",""XP_014668727.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X3 [Priapulus caudatus],Priapulus caudatus,195,302,64%,1e-49,38.36,829,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670505.1?report=genbank&log$=prottop&blast_rank=5&RID=0MUAY1ZE016"",""XP_014670505.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X5 [Priapulus caudatus],Priapulus caudatus,195,302,64%,1e-49,38.36,826,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670507.1?report=genbank&log$=prottop&blast_rank=6&RID=0MUAY1ZE016"",""XP_014670507.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X4 [Priapulus caudatus],Priapulus caudatus,192,300,64%,4e-49,37.71,728,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670506.1?report=genbank&log$=prottop&blast_rank=7&RID=0MUAY1ZE016"",""XP_014670506.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X1 [Priapulus caudatus],Priapulus caudatus,193,301,64%,7e-49,37.71,835,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670499.1?report=genbank&log$=prottop&blast_rank=8&RID=0MUAY1ZE016"",""XP_014670499.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X2 [Priapulus caudatus],Priapulus caudatus,192,300,64%,8e-49,37.71,832,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670504.1?report=genbank&log$=prottop&blast_rank=9&RID=0MUAY1ZE016"",""XP_014670504.1"")"
cytosolic phospholipase A2-like [Acropora millepora],Acropora millepora,188,296,61%,1e-47,36.02,745,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029185280.2?report=genbank&log$=prottop&blast_rank=10&RID=0MUAY1ZE016"",""XP_029185280.2"")"
cytosolic phospholipase A2-like isoform X2 [Acropora millepora],Acropora millepora,182,242,64%,3e-46,33.54,600,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029185675.2?report=genbank&log$=prottop&blast_rank=11&RID=0MUAY1ZE016"",""XP_029185675.2"")"
