Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
serine/threonine-protein kinase A-Raf-like isoform X3 [Asterias rubens],Asterias rubens,610,610,91%,0.0,51.69,762,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033643434.1?report=genbank&log$=prottop&blast_rank=1&RID=0MS6VD9C013"",""XP_033643434.1"")"
serine/threonine-protein kinase A-Raf-like isoform X2 [Asterias rubens],Asterias rubens,607,607,91%,0.0,51.16,803,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033643428.1?report=genbank&log$=prottop&blast_rank=2&RID=0MS6VD9C013"",""XP_033643428.1"")"
serine/threonine-protein kinase A-Raf-like isoform X1 [Asterias rubens],Asterias rubens,606,606,91%,0.0,50.77,808,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033643421.1?report=genbank&log$=prottop&blast_rank=3&RID=0MS6VD9C013"",""XP_033643421.1"")"
serine/threonine-protein kinase A-Raf isoform X2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,597,597,92%,0.0,51.17,750,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_781094.4?report=genbank&log$=prottop&blast_rank=4&RID=0MS6VD9C013"",""XP_781094.4"")"
BRAF [Branchiostoma lanceolatum],Branchiostoma lanceolatum,594,594,92%,0.0,50.46,775,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1265861.1?report=genbank&log$=prottop&blast_rank=5&RID=0MS6VD9C013"",""CAH1265861.1"")"
BRAF [Branchiostoma lanceolatum],Branchiostoma lanceolatum,592,592,92%,0.0,50.15,777,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1265863.1?report=genbank&log$=prottop&blast_rank=6&RID=0MS6VD9C013"",""CAH1265863.1"")"
BRAF [Branchiostoma lanceolatum],Branchiostoma lanceolatum,591,591,92%,0.0,51.32,763,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1265864.1?report=genbank&log$=prottop&blast_rank=7&RID=0MS6VD9C013"",""CAH1265864.1"")"
serine/threonine-protein kinase A-Raf isoform X1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,585,585,92%,0.0,49.09,793,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003725081.2?report=genbank&log$=prottop&blast_rank=8&RID=0MS6VD9C013"",""XP_003725081.2"")"
PREDICTED: LOW QUALITY PROTEIN: serine/threonine-protein kinase B-raf-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,572,572,92%,0.0,49.47,733,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006821654.1?report=genbank&log$=prottop&blast_rank=9&RID=0MS6VD9C013"",""XP_006821654.1"")"
PREDICTED: serine/threonine-protein kinase A-Raf-like [Hydra vulgaris],Hydra vulgaris,551,551,93%,0.0,45.69,775,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002156903.3?report=genbank&log$=prottop&blast_rank=10&RID=0MS6VD9C013"",""XP_002156903.3"")"
serine/threonine-protein kinase A-Raf-like [Acropora millepora],Acropora millepora,536,536,89%,4e-180,47.33,729,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029212189.1?report=genbank&log$=prottop&blast_rank=11&RID=0MS6VD9C013"",""XP_029212189.1"")"
serine/threonine protein kinase [Ciona intestinalis],Ciona intestinalis,501,501,91%,3e-166,45.06,739,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001071805.1?report=genbank&log$=prottop&blast_rank=12&RID=0MS6VD9C013"",""NP_001071805.1"")"
serine/threonine protein kinase isoform X4 [Ciona intestinalis],Ciona intestinalis,499,499,91%,1e-165,44.98,738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026694336.1?report=genbank&log$=prottop&blast_rank=13&RID=0MS6VD9C013"",""XP_026694336.1"")"
serine/threonine protein kinase isoform X1 [Ciona intestinalis],Ciona intestinalis,497,497,91%,5e-164,44.22,798,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018671188.1?report=genbank&log$=prottop&blast_rank=14&RID=0MS6VD9C013"",""XP_018671188.1"")"
serine/threonine protein kinase isoform X3 [Ciona intestinalis],Ciona intestinalis,495,495,91%,7e-164,44.09,765,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018671190.1?report=genbank&log$=prottop&blast_rank=15&RID=0MS6VD9C013"",""XP_018671190.1"")"
serine/threonine protein kinase isoform X2 [Ciona intestinalis],Ciona intestinalis,494,494,91%,4e-163,44.06,797,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018671189.1?report=genbank&log$=prottop&blast_rank=16&RID=0MS6VD9C013"",""XP_018671189.1"")"
