Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
cytochrome c oxidase subunit I [Saccoglossus kowalevskii],Saccoglossus kowalevskii,722,722,98%,0.0,77.27,517,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_337795.1?report=genbank&log$=prottop&blast_rank=1&RID=65CH3RMS01R"",""YP_337795.1"")"
cytochome c oxidase subunit 1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,713,713,100%,0.0,75.68,515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAD93656.1?report=genbank&log$=prottop&blast_rank=2&RID=65CH3RMS01R"",""BAD93656.1"")"
cytochrome c oxidase subunit I [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,712,712,98%,0.0,76.18,517,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_006967.1?report=genbank&log$=prottop&blast_rank=3&RID=65CH3RMS01R"",""NP_006967.1"")"
cytochrome c oxidase subunit I [Branchiostoma lanceolatum],Branchiostoma lanceolatum,712,712,98%,0.0,76.57,515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_007539.1?report=genbank&log$=prottop&blast_rank=4&RID=65CH3RMS01R"",""NP_007539.1"")"
cytochrome c oxidase subunit I [Branchiostoma lanceolatum],Branchiostoma lanceolatum,711,711,100%,0.0,75.49,515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAH86264.1?report=genbank&log$=prottop&blast_rank=5&RID=65CH3RMS01R"",""BAH86264.1"")"
cytochrome c oxidase subunit I [Branchiostoma floridae],Branchiostoma floridae,711,711,98%,0.0,76.38,515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAH86446.1?report=genbank&log$=prottop&blast_rank=6&RID=65CH3RMS01R"",""BAH86446.1"")"
cytochrome c oxidase subunit I [Branchiostoma floridae],Branchiostoma floridae,711,711,98%,0.0,76.57,515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAH86472.1?report=genbank&log$=prottop&blast_rank=7&RID=65CH3RMS01R"",""BAH86472.1"")"
cytochrome c oxidase subunit I [Branchiostoma floridae],Branchiostoma floridae,710,710,98%,0.0,76.38,515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAH86576.1?report=genbank&log$=prottop&blast_rank=8&RID=65CH3RMS01R"",""BAH86576.1"")"
cytochrome c oxidase subunit I [Branchiostoma floridae],Branchiostoma floridae,706,706,98%,0.0,76.18,515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAH86329.1?report=genbank&log$=prottop&blast_rank=9&RID=65CH3RMS01R"",""BAH86329.1"")"
cytochrome c oxidase subunit I [Branchiostoma floridae],Branchiostoma floridae,703,703,98%,0.0,75.98,515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAH86563.1?report=genbank&log$=prottop&blast_rank=10&RID=65CH3RMS01R"",""BAH86563.1"")"
cytochrome oxidase subunit I [Xenoturbella bocki],Xenoturbella bocki,703,703,98%,0.0,74.60,516,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAL30090.1?report=genbank&log$=prottop&blast_rank=11&RID=65CH3RMS01R"",""CAL30090.1"")"
cytochrome c oxidase subunit I [Branchiostoma floridae],Branchiostoma floridae,701,701,98%,0.0,75.79,515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAH86368.1?report=genbank&log$=prottop&blast_rank=12&RID=65CH3RMS01R"",""BAH86368.1"")"
cytochrome c oxidase subunit I [Xenoturbella bocki],Xenoturbella bocki,699,699,98%,0.0,74.21,516,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_850978.1?report=genbank&log$=prottop&blast_rank=13&RID=65CH3RMS01R"",""YP_850978.1"")"
cytochrome c oxidase subunit I [Octopus vulgaris],Octopus vulgaris,687,687,98%,0.0,75.15,510,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_112436.1?report=genbank&log$=prottop&blast_rank=14&RID=65CH3RMS01R"",""YP_112436.1"")"
cytochrome c oxidase subunit I [Priapulus caudatus],Priapulus caudatus,682,682,98%,0.0,73.36,512,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_851000.1?report=genbank&log$=prottop&blast_rank=15&RID=65CH3RMS01R"",""YP_851000.1"")"
cytochrome oxidase subunit I [Xenoturbella bocki],Xenoturbella bocki,675,675,95%,0.0,74.13,499,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAQ55065.1?report=genbank&log$=prottop&blast_rank=16&RID=65CH3RMS01R"",""AAQ55065.1"")"
cytochrome c oxidase subunit I [Ephydatia muelleri],Ephydatia muelleri,647,647,99%,0.0,70.43,526,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_001648473.1?report=genbank&log$=prottop&blast_rank=17&RID=65CH3RMS01R"",""YP_001648473.1"")"
cytochrome c oxidase subunit I [Ciona intestinalis B CG-2006],Ciona intestinalis B CG-2006,644,644,98%,0.0,69.29,520,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_006341036.1?report=genbank&log$=prottop&blast_rank=18&RID=65CH3RMS01R"",""YP_006341036.1"")"
cytochrome c oxidase subunit I [Amphimedon queenslandica],Amphimedon queenslandica,641,641,98%,0.0,73.66,530,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_001031199.1?report=genbank&log$=prottop&blast_rank=19&RID=65CH3RMS01R"",""YP_001031199.1"")"
cytochrome c oxidase subunit I [Ciona savignyi],Ciona savignyi,638,638,99%,0.0,69.14,516,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_786952.1?report=genbank&log$=prottop&blast_rank=20&RID=65CH3RMS01R"",""NP_786952.1"")"
cytochrome oxidase subunit I [Ciona savignyi],Ciona savignyi,635,635,99%,0.0,68.95,516,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QDO67177.1?report=genbank&log$=prottop&blast_rank=21&RID=65CH3RMS01R"",""QDO67177.1"")"
cytochrome oxidase subunit I [Ciona savignyi],Ciona savignyi,635,635,99%,0.0,68.95,516,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QDO67178.1?report=genbank&log$=prottop&blast_rank=22&RID=65CH3RMS01R"",""QDO67178.1"")"
cytochrome oxidase subunit I [Ciona savignyi],Ciona savignyi,634,634,99%,0.0,68.75,515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QDO67183.1?report=genbank&log$=prottop&blast_rank=23&RID=65CH3RMS01R"",""QDO67183.1"")"
cytochrome c oxidase subunit I [Hydra vulgaris],Hydra vulgaris,633,633,98%,0.0,70.02,522,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_002221538.1?report=genbank&log$=prottop&blast_rank=24&RID=65CH3RMS01R"",""YP_002221538.1"")"
cytochrome c oxidase subunit I [Hydra vulgaris],Hydra vulgaris,631,631,98%,0.0,69.82,522,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ADI99804.1?report=genbank&log$=prottop&blast_rank=25&RID=65CH3RMS01R"",""ADI99804.1"")"
cytochrome oxidase subunit I [Ciona savignyi],Ciona savignyi,631,631,99%,0.0,68.36,515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QDO67176.1?report=genbank&log$=prottop&blast_rank=26&RID=65CH3RMS01R"",""QDO67176.1"")"
