Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
voltage-dependent L-type calcium channel subunit alpha-1D isoform X1 [Ciona intestinalis],Ciona intestinalis,2033,2298,83%,0.0,58.27,2268,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026689962.1?report=genbank&log$=prottop&blast_rank=1&RID=04XJKM3E013"",""XP_026689962.1"")"
voltage-dependent L-type calcium channel subunit alpha-1D isoform X5 [Ciona intestinalis],Ciona intestinalis,2023,2087,79%,0.0,60.33,2117,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018667169.1?report=genbank&log$=prottop&blast_rank=2&RID=04XJKM3E013"",""XP_018667169.1"")"
voltage-dependent L-type calcium channel subunit alpha-1D isoform X2 [Ciona intestinalis],Ciona intestinalis,2017,2282,83%,0.0,58.16,2266,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026689963.1?report=genbank&log$=prottop&blast_rank=3&RID=04XJKM3E013"",""XP_026689963.1"")"
voltage-dependent L-type calcium channel subunit alpha-1D-like [Branchiostoma floridae],Branchiostoma floridae,1949,1949,72%,0.0,59.91,2477,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035676519.1?report=genbank&log$=prottop&blast_rank=4&RID=04XJKM3E013"",""XP_035676519.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1932,1932,72%,0.0,59.81,1999,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264647.1?report=genbank&log$=prottop&blast_rank=5&RID=04XJKM3E013"",""CAH1264647.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1912,1912,72%,0.0,59.11,2091,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264656.1?report=genbank&log$=prottop&blast_rank=6&RID=04XJKM3E013"",""CAH1264656.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1909,1909,72%,0.0,59.00,2342,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264649.1?report=genbank&log$=prottop&blast_rank=7&RID=04XJKM3E013"",""CAH1264649.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1908,1908,72%,0.0,58.97,2447,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264645.1?report=genbank&log$=prottop&blast_rank=8&RID=04XJKM3E013"",""CAH1264645.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1907,1907,72%,0.0,59.19,2169,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264646.1?report=genbank&log$=prottop&blast_rank=9&RID=04XJKM3E013"",""CAH1264646.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1900,1900,72%,0.0,59.21,2221,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264643.1?report=genbank&log$=prottop&blast_rank=10&RID=04XJKM3E013"",""CAH1264643.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1900,1900,72%,0.0,59.17,2226,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264654.1?report=genbank&log$=prottop&blast_rank=11&RID=04XJKM3E013"",""CAH1264654.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1862,1862,72%,0.0,58.81,1959,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264648.1?report=genbank&log$=prottop&blast_rank=12&RID=04XJKM3E013"",""CAH1264648.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1857,1857,72%,0.0,58.48,2395,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264644.1?report=genbank&log$=prottop&blast_rank=13&RID=04XJKM3E013"",""CAH1264644.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1853,1853,72%,0.0,58.47,2321,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264651.1?report=genbank&log$=prottop&blast_rank=14&RID=04XJKM3E013"",""CAH1264651.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1850,1850,72%,0.0,58.47,2318,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264650.1?report=genbank&log$=prottop&blast_rank=15&RID=04XJKM3E013"",""CAH1264650.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1834,1834,72%,0.0,57.97,2204,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264642.1?report=genbank&log$=prottop&blast_rank=16&RID=04XJKM3E013"",""CAH1264642.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1833,1833,72%,0.0,57.94,2209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264655.1?report=genbank&log$=prottop&blast_rank=17&RID=04XJKM3E013"",""CAH1264655.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1830,1830,72%,0.0,58.14,2130,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264657.1?report=genbank&log$=prottop&blast_rank=18&RID=04XJKM3E013"",""CAH1264657.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1828,1828,72%,0.0,58.05,2130,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264652.1?report=genbank&log$=prottop&blast_rank=19&RID=04XJKM3E013"",""CAH1264652.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1779,2000,71%,0.0,58.70,2280,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264653.1?report=genbank&log$=prottop&blast_rank=20&RID=04XJKM3E013"",""CAH1264653.1"")"
voltage-dependent L-type calcium channel subunit alpha-1D isoform X3 [Ciona intestinalis],Ciona intestinalis,1543,2709,83%,0.0,64.02,2259,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026689964.1?report=genbank&log$=prottop&blast_rank=21&RID=04XJKM3E013"",""XP_026689964.1"")"
PREDICTED: LOW QUALITY PROTEIN: muscle calcium channel subunit alpha-1-like [Octopus bimaculoides],Octopus bimaculoides,1488,2527,71%,0.0,60.24,2190,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014774811.1?report=genbank&log$=prottop&blast_rank=22&RID=04XJKM3E013"",""XP_014774811.1"")"
voltage-dependent L-type calcium channel subunit alpha-1D isoform X4 [Ciona intestinalis],Ciona intestinalis,1454,2348,83%,0.0,56.68,2239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026689965.1?report=genbank&log$=prottop&blast_rank=23&RID=04XJKM3E013"",""XP_026689965.1"")"
voltage-dependent L-type calcium channel subunit alpha-1D-like isoform X1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,1433,2235,85%,0.0,56.60,2026,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030827881.1?report=genbank&log$=prottop&blast_rank=24&RID=04XJKM3E013"",""XP_030827881.1"")"
voltage-dependent L-type calcium channel subunit alpha-1D-like isoform X2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,1432,2230,85%,0.0,56.45,2021,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030827882.1?report=genbank&log$=prottop&blast_rank=25&RID=04XJKM3E013"",""XP_030827882.1"")"
voltage-dependent L-type calcium channel subunit alpha-1D-like isoform X4 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,1432,2229,85%,0.0,56.45,2015,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030827885.1?report=genbank&log$=prottop&blast_rank=26&RID=04XJKM3E013"",""XP_030827885.1"")"
voltage-dependent L-type calcium channel subunit alpha-1D-like isoform X3 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,1431,2228,85%,0.0,56.38,2016,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030827883.1?report=genbank&log$=prottop&blast_rank=27&RID=04XJKM3E013"",""XP_030827883.1"")"
PREDICTED: muscle calcium channel subunit alpha-1-like [Priapulus caudatus],Priapulus caudatus,1404,2310,74%,0.0,59.42,1959,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014661450.1?report=genbank&log$=prottop&blast_rank=28&RID=04XJKM3E013"",""XP_014661450.1"")"
voltage-dependent L-type calcium channel subunit alpha-1D-like isoform X3 [Asterias rubens],Asterias rubens,1362,2343,73%,0.0,59.07,2047,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033647416.1?report=genbank&log$=prottop&blast_rank=29&RID=04XJKM3E013"",""XP_033647416.1"")"
voltage-dependent L-type calcium channel subunit alpha-1D-like isoform X5 [Asterias rubens],Asterias rubens,1362,2311,73%,0.0,59.07,2059,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033647418.1?report=genbank&log$=prottop&blast_rank=30&RID=04XJKM3E013"",""XP_033647418.1"")"
voltage-dependent L-type calcium channel subunit alpha-1D-like isoform X1 [Asterias rubens],Asterias rubens,1361,2309,73%,0.0,58.91,2058,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033647414.1?report=genbank&log$=prottop&blast_rank=31&RID=04XJKM3E013"",""XP_033647414.1"")"
voltage-dependent L-type calcium channel subunit alpha-1D-like isoform X4 [Asterias rubens],Asterias rubens,1360,2308,73%,0.0,59.07,2046,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033647417.1?report=genbank&log$=prottop&blast_rank=32&RID=04XJKM3E013"",""XP_033647417.1"")"
voltage-dependent L-type calcium channel subunit alpha-1D-like isoform X6 [Asterias rubens],Asterias rubens,1360,2339,73%,0.0,58.91,2042,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033647419.1?report=genbank&log$=prottop&blast_rank=33&RID=04XJKM3E013"",""XP_033647419.1"")"
