Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
PPP1R12A [Branchiostoma lanceolatum],Branchiostoma lanceolatum,365,458,55%,2e-110,42.69,706,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1251027.1?report=genbank&log$=prottop&blast_rank=1&RID=0CN1TG4F013"",""CAH1251027.1"")"
PPP1R12A [Branchiostoma lanceolatum],Branchiostoma lanceolatum,367,516,61%,7e-109,42.69,884,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1251030.1?report=genbank&log$=prottop&blast_rank=2&RID=0CN1TG4F013"",""CAH1251030.1"")"
PPP1R12A [Branchiostoma lanceolatum],Branchiostoma lanceolatum,367,516,61%,8e-109,42.69,908,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1251029.1?report=genbank&log$=prottop&blast_rank=3&RID=0CN1TG4F013"",""CAH1251029.1"")"
protein phosphatase 1 regulatory subunit 12A-like isoform X6 [Asterias rubens],Asterias rubens,364,364,44%,5e-107,41.57,995,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628974.1?report=genbank&log$=prottop&blast_rank=4&RID=0CN1TG4F013"",""XP_033628974.1"")"
protein phosphatase 1 regulatory subunit 12A-like isoform X6 [Branchiostoma floridae],Branchiostoma floridae,358,494,44%,1e-106,54.19,781,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035663753.1?report=genbank&log$=prottop&blast_rank=5&RID=0CN1TG4F013"",""XP_035663753.1"")"
protein phosphatase 1 regulatory subunit 12B isoform X4 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,358,407,56%,9e-106,41.19,870,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030850011.1?report=genbank&log$=prottop&blast_rank=6&RID=0CN1TG4F013"",""XP_030850011.1"")"
protein phosphatase 1 regulatory subunit 12A-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,359,495,44%,1e-105,54.19,930,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035663749.1?report=genbank&log$=prottop&blast_rank=7&RID=0CN1TG4F013"",""XP_035663749.1"")"
protein phosphatase 1 regulatory subunit 12C-like isoform X5 [Branchiostoma floridae],Branchiostoma floridae,358,446,39%,1e-105,54.19,881,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035663752.1?report=genbank&log$=prottop&blast_rank=8&RID=0CN1TG4F013"",""XP_035663752.1"")"
protein phosphatase 1 regulatory subunit 12A-like isoform X3 [Branchiostoma floridae],Branchiostoma floridae,358,494,44%,1e-105,54.19,914,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035663750.1?report=genbank&log$=prottop&blast_rank=9&RID=0CN1TG4F013"",""XP_035663750.1"")"
protein phosphatase 1 regulatory subunit 12A-like isoform X4 [Branchiostoma floridae],Branchiostoma floridae,358,494,44%,1e-105,54.19,908,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035663751.1?report=genbank&log$=prottop&blast_rank=10&RID=0CN1TG4F013"",""XP_035663751.1"")"
protein phosphatase 1 regulatory subunit 12B isoform X4 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,357,407,56%,1e-105,40.66,879,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030843680.1?report=genbank&log$=prottop&blast_rank=11&RID=0CN1TG4F013"",""XP_030843680.1"")"
protein phosphatase 1 regulatory subunit 12A-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,359,494,44%,2e-105,54.19,934,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035663747.1?report=genbank&log$=prottop&blast_rank=12&RID=0CN1TG4F013"",""XP_035663747.1"")"
protein phosphatase 1 regulatory subunit 12A isoform X3 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,358,419,58%,2e-105,41.19,924,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030850006.1?report=genbank&log$=prottop&blast_rank=13&RID=0CN1TG4F013"",""XP_030850006.1"")"
protein phosphatase 1 regulatory subunit 12B-like isoform X7 [Asterias rubens],Asterias rubens,360,413,33%,2e-105,54.79,977,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628975.1?report=genbank&log$=prottop&blast_rank=14&RID=0CN1TG4F013"",""XP_033628975.1"")"
