Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
neurophysin 2-like [Asterias rubens],Asterias rubens,106,106,93%,6e-28,48.33,147,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033633360.1?report=genbank&log$=prottop&blast_rank=1&RID=0845BNR3016"",""XP_033633360.1"")"
vasotocin precursor [Saccoglossus kowalevskii],Saccoglossus kowalevskii,97.1,97.1,91%,6e-24,44.26,171,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001161489.1?report=genbank&log$=prottop&blast_rank=2&RID=0845BNR3016"",""NP_001161489.1"")"
PREDICTED: isotocin-neurophysin IT 1-like [Priapulus caudatus],Priapulus caudatus,95.9,95.9,65%,7e-24,54.88,134,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014669753.1?report=genbank&log$=prottop&blast_rank=3&RID=0845BNR3016"",""XP_014669753.1"")"
Annetocin precursor [Eisenia fetida],Eisenia fetida,83.2,83.2,85%,6e-19,40.17,139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAA36458.1?report=genbank&log$=prottop&blast_rank=4&RID=0845BNR3016"",""BAA36458.1"")"
annetocin precursor [Eisenia fetida],Eisenia fetida,82.4,82.4,85%,1e-18,40.17,139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAD20057.2?report=genbank&log$=prottop&blast_rank=5&RID=0845BNR3016"",""CAD20057.2"")"
PREDICTED: conopressin/neurophysin-like isoform X1 [Octopus bimaculoides],Octopus bimaculoides,80.5,80.5,94%,1e-17,36.36,153,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014771381.1?report=genbank&log$=prottop&blast_rank=6&RID=0845BNR3016"",""XP_014771381.1"")"
PREDICTED: conopressin/neurophysin-like isoform X3 [Octopus bimaculoides],Octopus bimaculoides,80.1,80.1,80%,1e-17,44.66,146,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014771397.1?report=genbank&log$=prottop&blast_rank=7&RID=0845BNR3016"",""XP_014771397.1"")"
cephalotocin [Octopus vulgaris],Octopus vulgaris,79.7,79.7,89%,2e-17,41.88,152,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAC82436.1?report=genbank&log$=prottop&blast_rank=8&RID=0845BNR3016"",""BAC82436.1"")"
PREDICTED: conopressin/neurophysin-like isoform X2 [Octopus bimaculoides],Octopus bimaculoides,79.0,79.0,93%,4e-17,36.64,152,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014771389.1?report=genbank&log$=prottop&blast_rank=9&RID=0845BNR3016"",""XP_014771389.1"")"
PREDICTED: conopressin/neurophysin-like isoform X4 [Octopus bimaculoides],Octopus bimaculoides,78.6,78.6,79%,5e-17,45.10,145,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014771402.1?report=genbank&log$=prottop&blast_rank=10&RID=0845BNR3016"",""XP_014771402.1"")"
octopressin [Octopus vulgaris],Octopus vulgaris,78.6,78.6,79%,5e-17,45.10,145,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAC82435.1?report=genbank&log$=prottop&blast_rank=11&RID=0845BNR3016"",""BAC82435.1"")"
AVP [Branchiostoma lanceolatum],Branchiostoma lanceolatum,79.0,79.0,85%,7e-17,40.00,167,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1258508.1?report=genbank&log$=prottop&blast_rank=12&RID=0845BNR3016"",""CAH1258508.1"")"
vasopressin-neurophysin 2-like [Branchiostoma floridae],Branchiostoma floridae,76.6,76.6,85%,5e-16,39.13,167,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035674859.1?report=genbank&log$=prottop&blast_rank=13&RID=0845BNR3016"",""XP_035674859.1"")"
PREDICTED: neurophysin 2-like [Priapulus caudatus],Priapulus caudatus,70.5,70.5,61%,3e-14,42.86,114,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014674318.1?report=genbank&log$=prottop&blast_rank=14&RID=0845BNR3016"",""XP_014674318.1"")"
vasotocin precursor [Eptatretus burgeri],Eptatretus burgeri,67.0,67.0,83%,2e-12,41.07,161,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAA06668.1?report=genbank&log$=prottop&blast_rank=15&RID=0845BNR3016"",""BAA06668.1"")"
uncharacterized protein LOC752998 isoform X1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,55.1,55.1,65%,2e-07,38.82,266,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030841418.1?report=genbank&log$=prottop&blast_rank=16&RID=0845BNR3016"",""XP_030841418.1"")"
uncharacterized protein LOC117294390 [Asterias rubens],Asterias rubens,47.8,47.8,69%,7e-05,37.36,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033632660.1?report=genbank&log$=prottop&blast_rank=17&RID=0845BNR3016"",""XP_033632660.1"")"
annetocin [Eisenia fetida],Eisenia fetida,38.5,38.5,23%,0.012,53.12,40,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACZ53946.1?report=genbank&log$=prottop&blast_rank=18&RID=0845BNR3016"",""ACZ53946.1"")"



		


