Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
guanine nucleotide-binding protein G(s) subunit alpha-like [Acropora millepora],Acropora millepora,596,596,86%,0.0,78.30,376,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029204512.2?report=genbank&log$=prottop&blast_rank=1&RID=0CN6T7XE013"",""XP_029204512.2"")"
PREDICTED: guanine nucleotide-binding protein G(s) subunit alpha-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,592,592,89%,0.0,74.20,379,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002734471.1?report=genbank&log$=prottop&blast_rank=2&RID=0CN6T7XE013"",""XP_002734471.1"")"
guanine nucleotide-binding protein G(s) subunit alpha-like [Branchiostoma floridae],Branchiostoma floridae,591,591,89%,0.0,75.13,382,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035679491.1?report=genbank&log$=prottop&blast_rank=3&RID=0CN6T7XE013"",""XP_035679491.1"")"
GNAS [Branchiostoma lanceolatum],Branchiostoma lanceolatum,585,585,89%,0.0,74.60,382,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1268782.1?report=genbank&log$=prottop&blast_rank=4&RID=0CN6T7XE013"",""CAH1268782.1"")"
G protein alpha subunit s class [Octopus vulgaris],Octopus vulgaris,572,572,88%,0.0,73.46,377,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAA93639.1?report=genbank&log$=prottop&blast_rank=5&RID=0CN6T7XE013"",""BAA93639.1"")"
guanine nucleotide-binding protein G(s) alpha subunit [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,570,570,85%,0.0,74.51,379,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001001474.1?report=genbank&log$=prottop&blast_rank=6&RID=0CN6T7XE013"",""NP_001001474.1"")"
PREDICTED: guanine nucleotide-binding protein G(s) subunit alpha-like [Priapulus caudatus],Priapulus caudatus,569,569,89%,0.0,72.65,379,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014664667.1?report=genbank&log$=prottop&blast_rank=7&RID=0CN6T7XE013"",""XP_014664667.1"")"
PREDICTED: guanine nucleotide-binding protein G(s) subunit alpha-like [Priapulus caudatus],Priapulus caudatus,566,566,87%,0.0,71.31,384,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014665617.1?report=genbank&log$=prottop&blast_rank=8&RID=0CN6T7XE013"",""XP_014665617.1"")"
"G protein, Subunit Alpha [Caenorhabditis elegans]",Caenorhabditis elegans,525,525,94%,0.0,63.22,378,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001367988.1?report=genbank&log$=prottop&blast_rank=9&RID=0CN6T7XE013"",""NP_001367988.1"")"
heterotrimeric G protein alpha subunit [Caenorhabditis elegans],Caenorhabditis elegans,525,525,94%,0.0,63.22,375,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAG32094.1?report=genbank&log$=prottop&blast_rank=10&RID=0CN6T7XE013"",""AAG32094.1"")"
guanine nucleotide-binding protein G(s) subunit alpha-like [Ciona intestinalis],Ciona intestinalis,523,523,86%,0.0,68.03,381,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002124602.2?report=genbank&log$=prottop&blast_rank=11&RID=0CN6T7XE013"",""XP_002124602.2"")"
PREDICTED: guanine nucleotide-binding protein G(s) subunit alpha-like [Octopus bimaculoides],Octopus bimaculoides,515,515,76%,0.0,76.32,321,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014770345.1?report=genbank&log$=prottop&blast_rank=12&RID=0CN6T7XE013"",""XP_014770345.1"")"
G protein a subunit 1 [Hydra vulgaris],Hydra vulgaris,484,484,76%,1e-169,74.77,321,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAA81693.1?report=genbank&log$=prottop&blast_rank=13&RID=0CN6T7XE013"",""BAA81693.1"")"
PREDICTED: guanine nucleotide-binding protein G(s) subunit alpha-like [Amphimedon queenslandica],Amphimedon queenslandica,476,476,88%,1e-165,60.74,386,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003382513.1?report=genbank&log$=prottop&blast_rank=14&RID=0CN6T7XE013"",""XP_003382513.1"")"
PREDICTED: guanine nucleotide-binding protein G(s) subunit alpha [Hydra vulgaris],Hydra vulgaris,458,458,68%,7e-160,75.26,287,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002154528.3?report=genbank&log$=prottop&blast_rank=15&RID=0CN6T7XE013"",""XP_002154528.3"")"
"G protein, Subunit Alpha [Caenorhabditis elegans]",Caenorhabditis elegans,432,432,68%,9e-150,70.18,285,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001368357.1?report=genbank&log$=prottop&blast_rank=16&RID=0CN6T7XE013"",""NP_001368357.1"")"
PREDICTED: guanine nucleotide-binding protein G(s) subunit alpha-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,397,397,89%,1e-133,47.96,428,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006819306.1?report=genbank&log$=prottop&blast_rank=17&RID=0CN6T7XE013"",""XP_006819306.1"")"
hypothetical protein OCBIM_22008570mg [Octopus bimaculoides],Octopus bimaculoides,377,377,50%,3e-126,83.89,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF91516.1?report=genbank&log$=prottop&blast_rank=18&RID=0CN6T7XE013"",""KOF91516.1"")"
guanine nucleotide-binding protein G(s) subunit alpha-like [Asterias rubens],Asterias rubens,367,367,84%,2e-122,47.30,403,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033642587.1?report=genbank&log$=prottop&blast_rank=19&RID=0CN6T7XE013"",""XP_033642587.1"")"
guanine nucleotide-binding protein G(s) subunit alpha [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,368,368,85%,2e-122,47.07,430,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030842619.1?report=genbank&log$=prottop&blast_rank=20&RID=0CN6T7XE013"",""XP_030842619.1"")"
guanine nucleotide-binding protein G(s) subunit alpha-like [Branchiostoma floridae],Branchiostoma floridae,328,328,59%,3e-109,62.50,270,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035675996.1?report=genbank&log$=prottop&blast_rank=21&RID=0CN6T7XE013"",""XP_035675996.1"")"
guanine nucleotide-binding protein G(s) subunit alpha-like [Asterias rubens],Asterias rubens,314,314,41%,6e-105,86.21,174,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033626084.1?report=genbank&log$=prottop&blast_rank=22&RID=0CN6T7XE013"",""XP_033626084.1"")"
guanine nucleotide-binding protein G(o) subunit alpha [Salpingoeca rosetta],Salpingoeca rosetta,288,288,84%,3e-92,43.50,359,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004991325.1?report=genbank&log$=prottop&blast_rank=23&RID=0CN6T7XE013"",""XP_004991325.1"")"
