Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
voltage-dependent L-type calcium channel subunit beta-1 isoform X1 [Pan troglodytes],Pan troglodytes,1077,1077,100%,0.0,99.84,643,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016786272.1?report=genbank&log$=prottop&blast_rank=1&RID=658YVSHS013"",""XP_016786272.1"")"
voltage-dependent L-type calcium channel subunit beta-1 isoform X1 [Macaca mulatta],Macaca mulatta,1073,1073,100%,0.0,99.53,643,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014975007.1?report=genbank&log$=prottop&blast_rank=2&RID=658YVSHS013"",""XP_014975007.1"")"
voltage-dependent L-type calcium channel subunit beta-1 isoform X1 [Canis lupus familiaris],Canis lupus familiaris,1070,1070,100%,0.0,98.44,643,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_038459938.1?report=genbank&log$=prottop&blast_rank=3&RID=658YVSHS013"",""XP_038459938.1"")"
voltage-dependent L-type calcium channel subunit beta-1 isoform X1 [Bos taurus],Bos taurus,1068,1068,100%,0.0,98.91,643,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_024835418.1?report=genbank&log$=prottop&blast_rank=4&RID=658YVSHS013"",""XP_024835418.1"")"
voltage-dependent L-type calcium channel subunit beta-1 isoform X1 [Microcebus murinus],Microcebus murinus,1067,1067,100%,0.0,98.60,642,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012621377.1?report=genbank&log$=prottop&blast_rank=5&RID=658YVSHS013"",""XP_012621377.1"")"
PREDICTED: voltage-dependent L-type calcium channel subunit beta-1 isoform X1 [Oryctolagus cuniculus],Oryctolagus cuniculus,1064,1064,100%,0.0,97.82,643,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008269318.1?report=genbank&log$=prottop&blast_rank=6&RID=658YVSHS013"",""XP_008269318.1"")"
voltage-dependent L-type calcium channel subunit beta-1 isoform E [Mus musculus],Mus musculus,1055,1055,100%,0.0,97.36,642,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001269906.1?report=genbank&log$=prottop&blast_rank=7&RID=658YVSHS013"",""NP_001269906.1"")"
"voltage dependent calcium channel, beta1 subunit, variant5 [Mus musculus]",Mus musculus,1054,1054,100%,0.0,97.20,642,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAM15629.1?report=genbank&log$=prottop&blast_rank=8&RID=658YVSHS013"",""BAM15629.1"")"
voltage-dependent L-type calcium channel subunit beta-1 isoform X2 [Microtus ochrogaster],Microtus ochrogaster,1052,1052,100%,0.0,97.36,642,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026645656.1?report=genbank&log$=prottop&blast_rank=9&RID=658YVSHS013"",""XP_026645656.1"")"
voltage-dependent L-type calcium channel subunit beta-1 isoform X2 [Dasypus novemcinctus],Dasypus novemcinctus,1051,1051,100%,0.0,98.60,643,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004455003.1?report=genbank&log$=prottop&blast_rank=10&RID=658YVSHS013"",""XP_004455003.1"")"
