Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
oxytocin receptor [Pan troglodytes],Pan troglodytes,604,604,85%,0.0,99.10,389,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001144020.1?report=genbank&log$=prottop&blast_rank=1&RID=6J0HJUGU013"",""XP_001144020.1"")"
oxytocin receptor [Macaca mulatta],Macaca mulatta,597,597,85%,0.0,98.80,389,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001038197.1?report=genbank&log$=prottop&blast_rank=2&RID=6J0HJUGU013"",""NP_001038197.1"")"
Oxytocin receptor [Macaca mulatta],Macaca mulatta,597,597,85%,0.0,98.80,389,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EHH16201.1?report=genbank&log$=prottop&blast_rank=3&RID=6J0HJUGU013"",""EHH16201.1"")"
oxytocin receptor [Mus musculus],Mus musculus,577,577,85%,0.0,94.29,388,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001074616.1?report=genbank&log$=prottop&blast_rank=4&RID=6J0HJUGU013"",""NP_001074616.1"")"
unnamed protein product [Mus musculus],Mus musculus,575,575,85%,0.0,93.99,380,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAE25346.1?report=genbank&log$=prottop&blast_rank=5&RID=6J0HJUGU013"",""BAE25346.1"")"
oxytocin receptor [Microtus ochrogaster],Microtus ochrogaster,572,572,85%,0.0,93.69,388,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_005365042.1?report=genbank&log$=prottop&blast_rank=6&RID=6J0HJUGU013"",""XP_005365042.1"")"
oxytocin receptor [Pteropus vampyrus],Pteropus vampyrus,570,570,85%,0.0,91.29,388,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011368956.1?report=genbank&log$=prottop&blast_rank=7&RID=6J0HJUGU013"",""XP_011368956.1"")"
oxytocin receptor [Bos taurus],Bos taurus,566,566,85%,0.0,90.48,391,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_776559.1?report=genbank&log$=prottop&blast_rank=8&RID=6J0HJUGU013"",""NP_776559.1"")"
oxytocin receptor [Loxodonta africana],Loxodonta africana,560,560,85%,0.0,94.59,394,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003410032.2?report=genbank&log$=prottop&blast_rank=9&RID=6J0HJUGU013"",""XP_003410032.2"")"
oxytocin receptor [Canis lupus familiaris],Canis lupus familiaris,558,558,85%,0.0,91.62,384,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001185588.1?report=genbank&log$=prottop&blast_rank=10&RID=6J0HJUGU013"",""NP_001185588.1"")"
oxytocin receptor isoform X1 [Canis lupus familiaris],Canis lupus familiaris,555,555,85%,0.0,93.41,455,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_038282371.1?report=genbank&log$=prottop&blast_rank=11&RID=6J0HJUGU013"",""XP_038282371.1"")"
oxytocin receptor [Ornithorhynchus anatinus],Ornithorhynchus anatinus,537,537,85%,0.0,82.28,392,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_028905593.1?report=genbank&log$=prottop&blast_rank=12&RID=6J0HJUGU013"",""XP_028905593.1"")"
oxytocin receptor [Microcebus murinus],Microcebus murinus,530,530,85%,0.0,91.59,598,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_020139810.1?report=genbank&log$=prottop&blast_rank=13&RID=6J0HJUGU013"",""XP_020139810.1"")"
oxytocin receptor [Oryctolagus cuniculus],Oryctolagus cuniculus,530,530,85%,0.0,89.05,394,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001182768.1?report=genbank&log$=prottop&blast_rank=14&RID=6J0HJUGU013"",""NP_001182768.1"")"
oxytocin receptor [Sarcophilus harrisii],Sarcophilus harrisii,529,529,85%,0.0,79.88,395,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003762470.1?report=genbank&log$=prottop&blast_rank=15&RID=6J0HJUGU013"",""XP_003762470.1"")"
