Entrez ID	Gene	Gene length	Gene type	CDS	dN/dS high quality - Homo sapiens	dN/dS medium quality - Homo sapiens	dN/dS low quality - Homo sapiens	dN/dS high quality - Altaï	dN/dS medium quality - Altaï	dN/dS low quality - Altaï	dN/dS high quality - Denisovan	dN/dS medium quality - Denisovan	dN/dS low quality - Denisovan	dN/dS high quality - Pan troglodytes	dN/dS medium quality - Pan troglodytes	dN/dS low quality - Pan troglodytes	dN/dS high quality - Gorilla gorilla	dN/dS medium quality - Gorilla gorilla	dN/dS low quality - Gorilla gorilla	dN/dS high quality - Pongo abelii	dN/dS medium quality - Pongo abelii	dN/dS low quality - Pongo abelii	dN/dS high quality - Macaca mulatta	dN/dS medium quality - Macaca mulatta	dN/dS low quality - Macaca mulatta	dN/dS high quality - Callithrix jacchus	dN/dS medium quality - Callithrix jacchus	dN/dS low quality - Callithrix jacchus	pN/pS 1% - Homo sapiens	pN/pS 5% - Homo sapiens	pN/pS all - Homo sapiens	dN high quality - Homo sapiens	dN medium quality - Homo sapiens	dN low quality - Homo sapiens	dN high quality - Altaï	dN medium quality - Altaï	dN low quality - Altaï	dN high quality - Denisovan	dN medium quality - Denisovan	dN low quality - Denisovan	dN high quality - Pan troglodytes	dN medium quality - Pan troglodytes	dN low quality - Pan troglodytes	dN high quality - Gorilla gorilla	dN medium quality - Gorilla gorilla	dN low quality - Gorilla gorilla	dN high quality - Pongo abelii	dN medium quality - Pongo abelii	dN low quality - Pongo abelii	dN high quality - Macaca mulatta	dN medium quality - Macaca mulatta	dN low quality - Macaca mulatta	dN high quality - Callithrix jacchus	dN medium quality - Callithrix jacchus	dN low quality - Callithrix jacchus	dS high quality - Homo sapiens	dS medium quality - Homo sapiens	dS low quality - Homo sapiens	dS high quality - Altaï	dS medium quality - Altaï	dS low quality - Altaï	dS high quality - Denisovan	dS medium quality - Denisovan	dS low quality - Denisovan	dS high quality - Pan troglodytes	dS medium quality - Pan troglodytes	dS low quality - Pan troglodytes	dS high quality - Gorilla gorilla	dS medium quality - Gorilla gorilla	dS low quality - Gorilla gorilla	dS high quality - Pongo abelii	dS medium quality - Pongo abelii	dS low quality - Pongo abelii	dS high quality - Macaca mulatta	dS medium quality - Macaca mulatta	dS low quality - Macaca mulatta	dS high quality - Callithrix jacchus	dS medium quality - Callithrix jacchus	dS low quality - Callithrix jacchus	CCDS Europe	CCDS Asia	Paracentral - Specificity	Medial orbitofrontal - Specificity	Superior temporal - Specificity	Parahippocampal - Specificity	Precuneus - Specificity	Inferior temporal - Specificity	Isthmus of cingulate gyrus - Specificity	Entorhinal - Specificity	Superior parietal - Specificity	Pars orbitalis - Specificity	Fusiform - Specificity	Superior frontal - Specificity	Rostral anterior cingulate - Specificity	Precentral - Specificity	Cuneus - Specificity	Pars opercularis - Specificity	Insula - Specificity	Transverse temporal - Specificity	Inferior parietal - Specificity	Pericalcarine - Specificity	Postcentral - Specificity	Supramarginal - Specificity	Rostral middle frontal - Specificity	Frontal pole - Specificity	Lingual - Specificity	Lateral orbital - Specificity	Banks of superior temporal sulcus - Specificity	Caudal anterior cingulate - Specificity	Lateral occipital - Specificity	Posterior cingulate - Specificity	Pars triangularis - Specificity	Middle temporal - Specificity	Caudal middle frontal - Specificity	Temporal pole - Specificity	Paracentral - Expression	Medial orbitofrontal - Expression	Superior temporal - Expression	Parahippocampal - Expression	Precuneus - Expression	Inferior temporal - Expression	Isthmus of cingulate gyrus - Expression	Entorhinal - Expression	Superior parietal - Expression	Pars orbitalis - Expression	Fusiform - Expression	Superior frontal - Expression	Rostral anterior cingulate - Expression	Precentral - Expression	Cuneus - Expression	Pars opercularis - Expression	Insula - Expression	Transverse temporal - Expression	Inferior parietal - Expression	Pericalcarine - Expression	Postcentral - Expression	Supramarginal - Expression	Rostral middle frontal - Expression	Frontal pole - Expression	Lingual - Expression	Lateral orbital - Expression	Banks of superior temporal sulcus - Expression	Caudal anterior cingulate - Expression	Lateral occipital - Expression	Posterior cingulate - Expression	Pars triangularis - Expression	Middle temporal - Expression	Caudal middle frontal - Expression	Temporal pole - Expression	Fetal brain R1	Adult brain R1	Fetal brain R2	Adult brain R2	Fetal brain R3	Adult brain R3	Fetal brain R4	Adult brain R4
126767	AADACL3	12608	protein_coding	1050	0.6326	0.6326	0.6326	0.6327	0.6327	0.6327	0.7674	0.7674	0.7674	0.3095	0.3095	0.3095	0.7675	0.7675	0.7675	0.6534	0.6534	0.6534	0.4594	0.4594	0.4594							0.0068	0.0068	0.0068	0.0068	0.0068	0.0068	0.0056	0.0056	0.0056	0.0041	0.0041	0.0041	0.016	0.016	0.016	0.0255	0.0255	0.0255	0.0547	0.0547	0.0547	lq	lq	lq	0.0108	0.0108	0.0108	0.0108	0.0108	0.0108	0.0073	0.0073	0.0073	0.0131	0.0131	0.0131	0.0209	0.0209	0.0209	0.039	0.039	0.039	0.119	0.119	0.119	lq	lq	lq	0.0257272727273	0.065303030303	0.31708575485597634	-0.521586310603757	-0.6135437711861081	-0.12828492714279957	-1.0183165867929185	-0.5124458861445326	1.8572162796731904	0.94768794709491	-1.445817344007458	-1.5235327346643732	0.8219629621891796	-0.40602030879236	-0.4861131705199756	-1.4271705421602172	0.7561835982894867	-1.1755470041848968	-0.09460905927389467	0.37978225482560346	0.05983524267699057	-0.16360891598668612	-0.14001997696530474	-0.5825530928217125	-0.5091788725940173	3.0012080947491255	1.0743642917736511	0.5323626900664364	1.2613689396846217	-0.42054710046295996	-1.0975587032818552	0.3420256648318602	1.6718973755579032	-0.3451577842524551	0.4162123641931588	-0.8275813686238459	-0.8563862047871201	-0.904860514425943	-0.9101755530464617	-0.8821281332862265	-0.9335709701650073	-0.904332208090589	-0.767368378846694	-0.8199381016673936	-0.9582800369498765	-0.9627718998192334	-0.8272048655178336	-0.8981809284635136	-0.9028102065081038	-0.957202272608195	-0.8310068393581935	-0.9426587128611017	-0.8801817056971086	-0.8527624170422259	-0.8712549973649131	-0.8841698204288145	-0.8828064060726359	-0.9083843264147157	-0.9041433783525256	-0.7012469283392522	-0.812616350283549	-0.8439434381262702	-0.8018076902839265	-0.8990205608138689	-0.9381510760840172	-0.8549447058171114	-0.7780796047357874	-0.8946631424522071	-0.850656797367519	-0.9225466873668342	0.946217554851	-1.72592664907	0.897114226408	-0.899760063208	0.707902860696	-0.260144226308	0.414347769516	0.200811184667
24	ABCA4	128295	protein_coding	6819	0.2361	0.2361	0.2361	0.2442	0.2442	0.2442	0.1912	0.1912	0.1912	0.214	0.214	0.214	0.293	0.293	0.293	0.1065	0.1065	0.1065				0.1434	0.1434	0.1434	1.04117841	1.03769621	1.22231308	0.0017	0.0017	0.0017	0.0015	0.0015	0.0015	0.0013	0.0013	0.0013	0.0018	0.0018	0.0018	0.0028	0.0028	0.0028	0.004	0.004	0.004	lq	lq	lq	0.0173	0.0173	0.0173	0.0072	0.0072	0.0072	0.0061	0.0061	0.0061	0.0069	0.0069	0.0069	0.0085	0.0085	0.0085	0.0097	0.0097	0.0097	0.0374	0.0374	0.0374	lq	lq	lq	0.1209	0.1209	0.1209	0.021768	0.0247726666667	-1.061269935829751	1.9219964178382531	0.5181866876454544	-0.5858876168378833	1.302477477725092	1.6958479275956206	-0.3407345465430967	-1.974277194475911	1.5841431113642692	0.8321364354261921	-0.13053518010632653	0.13508439200021893	-1.2591608450211496	-0.9877098755133648	0.6632830826059596	0.09751022813963338	-0.0479865944129162	-0.6013109430841347	1.2224649809669907	-1.3947227139086544	-0.0837813215467465	0.12469773775139464	0.9126009577332435	-0.21960787147527225	-0.26346625508764	0.2608548364265578	-0.28204673269971353	-1.1101719016171931	1.1585724018869408	-1.3034974307620604	-0.8049338386544895	1.4592011297479164	-1.3209578314025847	-0.11699917587478777	-1.3880225206125663	-0.980351933221903	-1.172185939792848	-1.3230603730053743	-1.0650106999140037	-1.0112556732588496	-1.2895596109816216	-1.5127871783061653	-1.0265204074960088	-1.1292839448263041	-1.260835357420064	-1.2245377982530816	-1.4150647936198486	-1.3779703598456263	-1.1523581652835124	-1.229672398934286	-1.249554892845882	-1.3251680079681716	-1.0759446017802796	-1.4335896520017346	-1.2544463291798167	-1.2259571597638081	-1.1182882725717325	-1.2730073568683191	-1.2790007114299309	-1.207350961786861	-1.2815397787890355	-1.3947050929187947	-1.084675677774028	-1.4211234956628862	-1.3529935708252359	-1.0435940325086281	-1.4235095017854864	-1.2589856295909652	0.566342105238	-1.71438078465	0.578957821344	-0.878752018132	0.704574628127	0.211113837826	0.694547610779	0.187377359192
5825	ABCD3	100289	protein_coding	1977	0.385111586082	0.385111586082	0.385111586082	0.385111586082	0.385111586082	0.385111586082	0.384686403644	0.384686403644	0.384686403644	0.0735588352988	0.0735588352988	0.0735588352988	0.3528	0.3528	0.3528	0.0915	0.0915	0.0915	0.1783	0.1783	0.1783	0.1567	0.1567	0.1567	0.41766667	0.38623512	0.43306452													0.0007	0.0007	0.0007	0.0021	0.0021	0.0021	0.0092	0.0092	0.0092	0.0095	0.0095	0.0095	0.0021	0.0021	0.0021	0.0021	0.0021	0.0021	0.0022	0.0022	0.0022	0.0098	0.0098	0.0098	0.0021	0.0021	0.0021	0.0228	0.0228	0.0228	0.0516	0.0516	0.0516	0.0606	0.0606	0.0606	0.00152173913043	0.00186956521739	0.4036309491765827	-0.20585565212314108	-0.4274782010099945	1.6728117302454955	-0.4385703765326513	-0.3728184357353834	-0.5441241997667833	1.8847971202562115	-0.005147718887344897	-0.7594916734668905	0.3874536079292827	0.14084680599618563	-0.12646484747231163	0.5083350099184006	-0.43943446343332665	-0.927980667963382	-0.041305298289389836	-0.42419504764641136	-0.260689594007742	-2.029524920520514	-0.026670838899416526	1.1120591078627784	-1.2012917250303046	-2.1555711992054745	-0.22717762935273395	0.2534793423190798	1.4517151714393688	2.7536698003957745	-1.0654426970866626	-0.2599115360107829	-0.6605169560082798	0.8451184114509991	0.5767170753029881	0.609029546156019	0.30188444346396115	0.28237231321993883	0.2752772794166183	0.3425160515265777	0.27492217403279834	0.2770271594908833	0.27154296940006833	0.349302560911523	0.2887977856190926	0.2646481858425607	0.30136654136611984	0.29347166061218816	0.28491393385150204	0.3052364437637474	0.2748945111176298	0.25925417193267464	0.28764023531840216	0.27538238642947915	0.2806168570481971	0.22398928689727862	0.2881087435301644	0.3245640929777334	0.25050438000739045	0.2199540359151724	0.2816897105246922	0.29707748346991847	0.3354378567923037	0.3771186882295028	0.25485345662549425	0.2806417658303454	0.267816766700285	0.3160182420522013	0.30742563014338886	0.3084600829737645	0.845880263069	-1.31908672401	0.501932104927	-1.24344864611	0.655348497642	-0.457003970819	0.906024688996	0.500697082967
27	ABL2	130357	protein_coding	3546	0.0706	0.0706	0.0706	0.0706	0.0706	0.0706	0.0846	0.0846	0.0846	0.3842	0.3842	0.3842	0.1316	0.1316	0.1316	0.0961	0.0961	0.0961	0.1171	0.1171	0.1171	0.1638	0.1638	0.1638	0.59286437	0.62115805	0.62354406	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0005	0.0005	0.0005	0.0008	0.0008	0.0008	0.0008	0.0008	0.0008	0.0017	0.0017	0.0017	0.0039	0.0039	0.0039	0.0102	0.0102	0.0102	0.0063	0.0063	0.0063	0.0063	0.0063	0.0063	0.0054	0.0054	0.0054	0.002	0.002	0.002	0.006	0.006	0.006	0.0175	0.0175	0.0175	0.0334	0.0334	0.0334	0.0623	0.0623	0.0623	0.02	0.0015	-0.6410642622517354	-0.5269922989046253	0.926535818870047	0.4595755615018292	0.31561913664132246	0.7514515966933016	1.6611072399439257	-1.144188660296408	1.2943732162108919	-0.021654950430751125	0.09201920783936825	-1.319752119966232	-0.6493223612465994	0.5502589862419325	0.326613409580646	-1.2807342119887961	0.7497399865458328	-0.459943367424348	-0.18226355234028024	0.42640863478903174	-0.27435742192311846	0.7087138042716657	-1.8388529846770714	-0.28743898260567985	0.22548246252869375	1.4504817848852085	1.4594283747190815	-1.257905514776986	-0.25209336780083064	0.8412808751034009	-2.8862655921728892	0.8995925342014245	0.5731015992399299	-0.6889545810010904	0.20880101746750995	0.21157336226141493	0.24689914251335265	0.23555038686393828	0.23205174588940905	0.242643987981037	0.2647517786494444	0.19657334762929238	0.2558388684863192	0.22385481447894426	0.22661749122820596	0.19230654596187008	0.20860031698788117	0.23775430895920982	0.2323189448965249	0.19325481660503552	0.24260238991134225	0.21320288410597735	0.21995146778186542	0.23474431538148072	0.21771326697952065	0.2416053112295676	0.179690592509631	0.21739533963269228	0.22986111173283139	0.25963284875061315	0.2598502819482313	0.19380963321386527	0.21825436080070196	0.24482715135469335	0.15423482928562554	0.24624432714251118	0.2383094637699628	0.20763711643549895	0.690828554572	-1.08752938263	0.382599913186	-0.822665935915	0.477991343441	-0.552757762348	0.525760135305	0.636711004078
116983	ACAP3	17233	protein_coding	2502	0.073	0.073	0.073								0.8751	0.8751	0.1847	0.1847	0.1847		0.052	0.052		0.0383	0.0383				0.20856627	0.18007533	0.20393146	0.0009	0.0009	0.0009	lq	lq	lq	lq	lq	lq	lq	0.0059	0.0059	0.0028	0.0028	0.0028	lq	0.0049	0.0049	lq	0.008	0.008	lq	lq	lq	0.013	0.013	0.013	lq	lq	lq	lq	lq	lq	lq	0.0068	0.0068	0.0152	0.0152	0.0152	lq	0.0942	0.0942	lq	0.2077	0.2077	lq	lq	lq	0.00241666666667	0.001875	-1.1136439828513724	0.9159417309669942	1.0202402174556704	-0.1838155822297929	-0.44850168467955753	1.0301890251105357	-0.7664265671837683	1.205443371626404	-0.10950374314643277	0.9838459281019394	0.8856775225041086	-0.31379371841471343	0.3303008556395734	-0.8819621036520262	0.9726339880456063	-2.258583072085148	1.334675557473795	-0.4385548451121387	-0.4159878393172358	0.0033839059595743644	-0.28198721360831913	1.4782622721353613	-1.197912303654392	0.7941306140704966	-0.5891206927809195	-0.24350965067815383	1.0443289093909511	1.1121415335158122	-0.3993077082290557	-0.91054809878941	-1.9059405846252848	1.460206971759384	-1.5810065064923473	-0.5312965062259044	0.6161706876970081	0.6892872918438875	0.6930446848417737	0.649668112629542	0.6401326942216197	0.6934030944551651	0.6286793283330856	0.699716699538201	0.6523452251479694	0.6917335666023389	0.6881970121208221	0.644985600397377	0.6681893545840772	0.6245171162977268	0.6913296521594868	0.5749238176634687	0.7043723386232155	0.6404910329339055	0.6413040179772335	0.6564120460250376	0.6461314419380378	0.7095451051169789	0.6131348891040603	0.6848989996154926	0.6350668404954763	0.6475176109074718	0.6939124892122206	0.6963554650178447	0.6419049261002996	0.6234872948536881	0.587627898592608	0.7088946559926305	0.5993337734432838	0.6371499790048148	0.694873321669	-1.1017438597	0.593135107823	-1.23597925161	0.240081293726	-0.441430453986	0.33986447038	1.05618581272
84320	ACBD6	227574	protein_coding	846	0.214004451293	0.214004451293	0.214004451293	0.214004451293	0.214004451293	0.214004451293	0.212503718815	0.212503718815	0.212503718815	0.178520422736	0.178520422736	0.178520422736	1.2751	1.2751	1.2751	0.6838	0.6838	0.6838	0.1886	0.1886	0.1886	0.2835	0.2835	0.2835	0.81313131	0.81313131	0.84848485													0.0051	0.0051	0.0051	0.0096	0.0096	0.0096	0.0068	0.0068	0.0068	0.0189	0.0189	0.0189	0.009	0.009	0.009	0.009	0.009	0.009	0.0093	0.0093	0.0093	0.009	0.009	0.009	0.004	0.004	0.004	0.014	0.014	0.014	0.0362	0.0362	0.0362	0.0665	0.0665	0.0665	0.0345	0.011	-2.196075386517981	1.0032953385700165	1.1780093403734175	-0.07783219926137307	-0.9207604043488951	0.18249875139258281	-1.288419722822716	1.2892626813208912	-0.1361102149159409	0.5459610513026276	0.7188176287540684	-0.10213504763635588	-0.1019366950182677	-0.49272440460872574	0.41689494824960527	0.9207291857227067	-0.7131447818670619	0.5096913378351815	-1.0750967678002203	0.08278959782715241	1.8670190607777004	0.09626834465883201	1.1410167519021837	2.517813939655145	-1.4253297727491079	0.31689042331808753	-1.738352192889574	-0.12916052726489805	-0.7148322735184928	-1.1648603655088596	0.2886270540930567	-0.2192579947591675	-0.4478792020060286	-0.1316774822612498	1.1656236448761943	1.1893939478356563	1.1906920170845747	1.1813615154230723	1.1750988279980459	1.1832956912652917	1.1723672366518285	1.1915185938857054	1.1809285283743622	1.1859961001036476	1.1872803692826885	1.1811809530193091	1.1811824267159294	1.1782789988083855	1.1850371801675144	1.18878050768257	1.176641345783438	1.185726627713151	1.1739521580957017	1.1825548840904632	1.195811139313079	1.1826550268757898	1.1904171739636071	1.2006463374706662	1.171350038694922	1.184294178477745	1.1690243820582915	1.1809801623346419	1.1766288082592675	1.17328524322537	1.184084190668622	1.180310766918404	1.1786121843450867	1.180961462162658	0.795348040558	-1.42236079231	0.699795310409	-1.3257971159	0.871570469903	-0.468581552227	0.87885777387	0.408774926645
81569	ACTL8	71750	protein_coding	1098	0.236770451048	0.236770451048	0.236770451048	0.236770451048	0.236770451048	0.236770451048	0.238509221959	0.238509221959	0.238509221959	0.0784	0.0784	0.0784	0.0645	0.0645	0.0645	0.0688	0.0688	0.0688	0.0987	0.0987	0.0987	0.1338	0.1338	0.1338	0.31903687	0.34455982	0.31353623										0.0011	0.0011	0.0011	0.0034	0.0034	0.0034	0.0034	0.0034	0.0034	0.0119	0.0119	0.0119	0.0366	0.0366	0.0366	0.005	0.005	0.005	0.005	0.005	0.005	0.0051	0.0051	0.0051	0.0144	0.0144	0.0144	0.0529	0.0529	0.0529	0.0493	0.0493	0.0493	0.1205	0.1205	0.1205	0.2737	0.2737	0.2737	0.0355	0.0679	0.2404600226235872	-0.42675977883259764	-0.24891273991098103	0.8099391452180955	-0.3363127873794903	-1.1898501009676776	-0.6791405853478926	-0.4227747054147225	-0.0067369205198642805	0.841301111061489	-0.745385927579882	0.05267293539372032	-0.5916408643358061	1.440483549936911	0.9772989037514369	2.588749525731655	-0.25593977111165644	1.275276782558059	-0.8695610639459537	-0.08935206733823761	0.37272938511129095	-0.5823340741908244	0.7559634615004266	-0.14236202545691196	0.1174142213898645	0.16258995078681382	-1.2165515486624179	0.998807498370746	1.2308125654684985	-1.0830292179499208	-2.464152078214331	-0.6048311328910208	1.5206657781865107	-1.4295374470387612	-0.8205048031796693	-0.8971227037200535	-0.876700248166787	-0.7551106187152017	-0.8867365332553776	-0.9847495671270963	-0.9261039891820387	-0.8966650914637768	-0.8488908174471067	-0.7515092747885139	-0.9337110461538448	-0.8420686901337816	-0.916056258423473	-0.6827042117386628	-0.7358924340843124	-0.5508470214464376	-0.8775071732257443	-0.701675165004747	-0.9479702726140311	-0.8583776448587704	-0.8053161039871314	-0.9149875450547719	-0.7613087314775238	-0.8644648618297333	-0.8346343463081287	-0.8294467461586418	-0.9878157364153802	-0.7334225682923963	-0.7067810610754854	-0.9724831569084122	-1.131079669947809	-0.9175709177337316	-0.6734967601976167	-1.0122732425365841	0.73285846833	-1.60400716286	0.825125639001	-1.03450036421	0.717063258806	-0.145587948013	0.842489168637	0.0564470471698
55811	ADCY10	104828	protein_coding	4830	0.3072	0.4378	0.4378		0.5253	0.5253		0.6577	0.6577	0.8594	0.8594	0.8594	0.9871	0.9871	0.9871	0.7271	0.7271	0.7271				1.1296	1.1296	1.1296	1.12960807	0.9880863	0.91283469	0.0018	0.002	0.002	lq	0.0024	0.0024	lq	0.0025	0.0025	0.0042	0.0042	0.0042	0.0054	0.0054	0.0054	0.0141	0.0141	0.0141	lq	lq	lq	0.1019	0.1019	0.1019	0.0059	0.0045	0.0045	lq	0.0045	0.0045	lq	0.0038	0.0038	0.0048	0.0048	0.0048	0.0055	0.0055	0.0055	0.0194	0.0194	0.0194	lq	lq	lq	0.0902	0.0902	0.0902	0.0252395833333	0.0471875	0.1701070652769571	0.5868840739095792	-0.5781792719008562	-0.17493416041920648	-0.24053535837495196	0.3395603336989	-2.5664980434856637	0.2578683966002112	-1.1483612325633727	0.7436505164317089	1.1633114536960996	0.7116085926444323	-0.3292758782033807	0.5989299693704281	1.8431474881502485	-0.6990687244440936	-1.6021887761141633	0.51307822135176	-1.0511692380473432	-0.3677682152938965	0.5205633537658167	0.5860228281563713	0.05868381059320375	0.2963309031975096	-0.43892353296323167	0.7547108754183599	-0.6151574946661038	-2.868211931890142	0.6816309101248662	1.2434351322994575	0.13760979488619654	-0.3386212409631491	0.44670168690418044	1.3650576928533125	-1.6315562092726559	-1.584030923225054	-1.7168836661219737	-1.6709014289219477	-1.6783819655958419	-1.6122333702324805	-1.943612627691636	-1.6215487417572572	-1.7819017938458925	-1.5661547691445479	-1.5183006273051753	-1.5698085253786114	-1.6885010904551896	-1.5826573238766768	-1.4407785919393024	-1.730668749495706	-1.833651970503415	-1.5924470406742997	-1.7708189431961754	-1.6928903904716883	-1.5915935073658063	-1.5841291314993364	-1.6442618574766525	-1.6171628433264833	-1.7010042661318114	-1.564893551002131	-1.7211003109417446	-1.978017209887763	-1.5732268951717552	-1.5091640850633088	-1.6352618889025237	-1.6895667467394309	-1.6000159893474026	-1.4952954050247254	0.767690701187	-1.70065647628	0.824637412623	-0.895756954549	0.733853816099	0.0822426529576	0.279254950665	0.162011088986
64123	ADGRL4	3527																																																																														0.0028	0.0024																																																																					0.553978407037	-0.940280360013	0.646922139066	-0.701843043588	0.260737071007	-0.467983231243	0.450329798644	0.375905936503
51094	ADIPOR1	17749	protein_coding	1125	0.400025601639	0.398338133308	0.398338133308		0.398338133308	0.398338133308		0.395901626364	0.395901626364	0.0964744381329	0.0964744381329	0.0964744381329	0.120084779855	0.120084779855	0.120084779855	0.089710638336	0.089710638336	0.089710638336	0.145	0.145	0.145	0.0774	0.0774	0.0774	0.33489215	0.31097129	0.32981803				lq			lq												0.005	0.005	0.005	0.0062	0.0062	0.0062	0.0031	0.0041	0.0041	lq	0.0041	0.0041	lq	0.0042	0.0042	0.0128	0.0128	0.0128	0.0101	0.0101	0.0101	0.0135	0.0135	0.0135	0.0347	0.0347	0.0347	0.08	0.08	0.08	0.00342857142857	0.0235714285714	-0.6054476648303797	0.582201253349514	0.4279003761315268	1.411957118391664	1.1509259927054654	-0.15167405963206143	-0.4925320983085432	1.6712826614925476	-0.1906726616280362	-1.2732332885705637	1.8007719575285803	-0.02755895288283935	-0.19470091935559744	-0.2982108208057302	0.07623812235016426	-1.5837935800013492	0.8978183526981902	-0.304136258685318	-0.5883771529522036	-2.5261128320031547	-0.9128644001366494	-0.6934781683721368	-0.6194346685539368	-1.032336591442765	0.7947274519754924	0.24413673770177624	1.3658802948442648	1.7244386516170522	-0.33332035233196944	0.09089633617806779	-1.5139704410124215	-0.17748954171099546	0.7097589877053655	0.5704101585466819	0.3966198999589585	0.432366567126029	0.4277223140836809	0.45734112508128966	0.449484432225921	0.4102778874213518	0.4000185096934103	0.4651464821487247	0.4091040808997514	0.376520432797082	0.46904393929809185	0.414013588556136	0.4089828356512221	0.405867324039167	0.41713774372057283	0.36717297733010945	0.44186622584667495	0.40568897616846344	0.3971336998682919	0.3388104097810612	0.38736706138826227	0.3939702978227655	0.39619890958114823	0.38377110588915286	0.43876332560429065	0.4221912707595096	0.4559542734197827	0.4667464073941658	0.40481057341307825	0.41757893663789797	0.36927456178978496	0.4095008754344699	0.43620588681453776	0.4320116707126191	0.610788751419	-1.14198822695	0.617054106353	-1.06061907361	0.29250632111	-0.320676209491	0.629826198599	0.603691262492
