Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
PREDICTED: serine/threonine-protein phosphatase PP1-alpha catalytic subunit-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,656,656,100%,0.0,96.92,328,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002734210.1?report=genbank&log$=prottop&blast_rank=1&RID=0CMK9M9U013"",""XP_002734210.1"")"
PREDICTED: serine/threonine-protein phosphatase alpha-2 isoform [Priapulus caudatus],Priapulus caudatus,654,654,100%,0.0,96.33,331,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670946.1?report=genbank&log$=prottop&blast_rank=2&RID=0CMK9M9U013"",""XP_014670946.1"")"
serine/threonine-protein phosphatase alpha-2 isoform isoform X2 [Branchiostoma floridae],Branchiostoma floridae,649,649,100%,0.0,96.00,329,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035690675.1?report=genbank&log$=prottop&blast_rank=3&RID=0CMK9M9U013"",""XP_035690675.1"")"
PREDICTED: serine/threonine-protein phosphatase alpha-2 isoform-like isoform X1 [Priapulus caudatus],Priapulus caudatus,647,647,100%,0.0,94.46,329,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014675025.1?report=genbank&log$=prottop&blast_rank=4&RID=0CMK9M9U013"",""XP_014675025.1"")"
PREDICTED: serine/threonine-protein phosphatase alpha-2 isoform isoform X3 [Octopus bimaculoides],Octopus bimaculoides,643,643,100%,0.0,96.00,327,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014773279.1?report=genbank&log$=prottop&blast_rank=5&RID=0CMK9M9U013"",""XP_014773279.1"")"
PREDICTED: serine/threonine-protein phosphatase alpha-2 isoform isoform X2 [Octopus bimaculoides],Octopus bimaculoides,643,643,100%,0.0,96.00,327,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014773278.1?report=genbank&log$=prottop&blast_rank=6&RID=0CMK9M9U013"",""XP_014773278.1"")"
serine/threonine-protein phosphatase alpha-2 isoform isoform X1 [Branchiostoma floridae],Branchiostoma floridae,642,642,100%,0.0,93.69,337,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035690674.1?report=genbank&log$=prottop&blast_rank=7&RID=0CMK9M9U013"",""XP_035690674.1"")"
serine/threonine-protein phosphatase alpha-2 isoform [Asterias rubens],Asterias rubens,636,636,100%,0.0,93.54,327,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628388.1?report=genbank&log$=prottop&blast_rank=8&RID=0CMK9M9U013"",""XP_033628388.1"")"
serine/threonine-protein phosphatase alpha-2 isoform isoform X2 [Acropora millepora],Acropora millepora,635,635,98%,0.0,94.67,329,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029194260.1?report=genbank&log$=prottop&blast_rank=9&RID=0CMK9M9U013"",""XP_029194260.1"")"
serine/threonine-protein phosphatase alpha-2 isoform [Ciona intestinalis],Ciona intestinalis,633,633,100%,0.0,93.23,329,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004227244.1?report=genbank&log$=prottop&blast_rank=10&RID=0CMK9M9U013"",""XP_004227244.1"")"
PREDICTED: serine/threonine-protein phosphatase alpha-2 isoform isoform X1 [Octopus bimaculoides],Octopus bimaculoides,632,632,100%,0.0,91.50,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014773277.1?report=genbank&log$=prottop&blast_rank=11&RID=0CMK9M9U013"",""XP_014773277.1"")"
serine/threonine-protein phosphatase alpha-2 isoform [Ciona intestinalis],Ciona intestinalis,629,629,99%,0.0,92.28,330,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026694931.1?report=genbank&log$=prottop&blast_rank=12&RID=0CMK9M9U013"",""XP_026694931.1"")"
Serine/threonine-protein phosphatase PP1-beta [Caenorhabditis elegans],Caenorhabditis elegans,624,624,98%,0.0,92.21,333,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001022616.1?report=genbank&log$=prottop&blast_rank=13&RID=0CMK9M9U013"",""NP_001022616.1"")"
serine/threonine-protein phosphatase alpha-2 isoform [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,624,624,100%,0.0,91.52,330,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_791029.2?report=genbank&log$=prottop&blast_rank=14&RID=0CMK9M9U013"",""XP_791029.2"")"
serine/threonine-protein phosphatase alpha-2 isoform isoform X1 [Acropora millepora],Acropora millepora,620,620,98%,0.0,87.03,357,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029194259.1?report=genbank&log$=prottop&blast_rank=15&RID=0CMK9M9U013"",""XP_029194259.1"")"
PREDICTED: serine/threonine-protein phosphatase PP1-beta-like isoform X2 [Priapulus caudatus],Priapulus caudatus,614,614,94%,0.0,94.46,311,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014675026.1?report=genbank&log$=prottop&blast_rank=16&RID=0CMK9M9U013"",""XP_014675026.1"")"
