Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
mitogen-activated protein kinase 1-like [Acropora millepora],Acropora millepora,591,591,96%,0.0,85.14,363,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029188819.1?report=genbank&log$=prottop&blast_rank=1&RID=6MPVXCNB016"",""XP_029188819.1"")"
mitogen-activated protein kinase [Ciona intestinalis],Ciona intestinalis,582,582,88%,0.0,85.36,350,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001071697.1?report=genbank&log$=prottop&blast_rank=2&RID=6MPVXCNB016"",""NP_001071697.1"")"
MAP kinase [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,575,575,95%,0.0,82.66,369,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_999813.1?report=genbank&log$=prottop&blast_rank=3&RID=6MPVXCNB016"",""NP_999813.1"")"
PREDICTED: mitogen-activated protein kinase 1-like [Amphimedon queenslandica],Amphimedon queenslandica,571,571,95%,0.0,80.35,356,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003388915.1?report=genbank&log$=prottop&blast_rank=4&RID=6MPVXCNB016"",""XP_003388915.1"")"
mitogen-activated protein kinase 1-like [Branchiostoma floridae],Branchiostoma floridae,566,566,95%,0.0,81.38,358,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035691013.1?report=genbank&log$=prottop&blast_rank=5&RID=6MPVXCNB016"",""XP_035691013.1"")"
mitogen-activated protein kinase 1-like [Asterias rubens],Asterias rubens,553,553,94%,0.0,80.58,382,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033627096.1?report=genbank&log$=prottop&blast_rank=6&RID=6MPVXCNB016"",""XP_033627096.1"")"
PREDICTED: mitogen-activated protein kinase 1-like [Priapulus caudatus],Priapulus caudatus,541,541,96%,0.0,78.93,368,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014666657.1?report=genbank&log$=prottop&blast_rank=7&RID=6MPVXCNB016"",""XP_014666657.1"")"
Mitogen-activated protein kinase mpk-1 [Caenorhabditis elegans],Caenorhabditis elegans,529,529,97%,0.0,77.68,376,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001366708.1?report=genbank&log$=prottop&blast_rank=8&RID=6MPVXCNB016"",""NP_001366708.1"")"
mitogen-activated protein kinase 1-like [Hydra vulgaris],Hydra vulgaris,528,528,93%,0.0,81.76,354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_047141776.1?report=genbank&log$=prottop&blast_rank=9&RID=6MPVXCNB016"",""XP_047141776.1"")"
Sur-1 MAP kinase [Caenorhabditis elegans],Caenorhabditis elegans,528,528,97%,0.0,77.68,444,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAA18956.1?report=genbank&log$=prottop&blast_rank=10&RID=6MPVXCNB016"",""AAA18956.1"")"
Mitogen-activated protein kinase mpk-1 [Caenorhabditis elegans],Caenorhabditis elegans,528,528,97%,0.0,77.68,444,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001022584.1?report=genbank&log$=prottop&blast_rank=11&RID=6MPVXCNB016"",""NP_001022584.1"")"
MAPK1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,518,518,94%,0.0,65.06,449,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1233901.1?report=genbank&log$=prottop&blast_rank=12&RID=6MPVXCNB016"",""CAH1233901.1"")"
PREDICTED: mitogen-activated protein kinase 1-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,508,508,95%,9e-180,75.00,327,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006825317.1?report=genbank&log$=prottop&blast_rank=13&RID=6MPVXCNB016"",""XP_006825317.1"")"
