Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"nitric oxide synthase, brain-like isoform X4 [Branchiostoma floridae]",Branchiostoma floridae,1208,1208,93%,0.0,52.48,1463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035691852.1?report=genbank&log$=prottop&blast_rank=1&RID=0AJ20NBP016"",""XP_035691852.1"")"
"nitric oxide synthase, brain-like isoform X2 [Branchiostoma floridae]",Branchiostoma floridae,1204,1204,93%,0.0,51.99,1475,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035691850.1?report=genbank&log$=prottop&blast_rank=2&RID=0AJ20NBP016"",""XP_035691850.1"")"
NOS1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1204,1204,93%,0.0,52.31,1463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1232929.1?report=genbank&log$=prottop&blast_rank=3&RID=0AJ20NBP016"",""CAH1232929.1"")"
"nitric oxide synthase, brain-like isoform X1 [Branchiostoma floridae]",Branchiostoma floridae,1203,1203,93%,0.0,51.94,1476,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035691848.1?report=genbank&log$=prottop&blast_rank=4&RID=0AJ20NBP016"",""XP_035691848.1"")"
"nitric oxide synthase, brain-like isoform X3 [Branchiostoma floridae]",Branchiostoma floridae,1202,1202,93%,0.0,51.94,1473,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035691851.1?report=genbank&log$=prottop&blast_rank=5&RID=0AJ20NBP016"",""XP_035691851.1"")"
NOS1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1201,1201,93%,0.0,51.86,1474,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1232928.1?report=genbank&log$=prottop&blast_rank=6&RID=0AJ20NBP016"",""CAH1232928.1"")"
NOS1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1199,1199,93%,0.0,51.86,1471,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1232927.1?report=genbank&log$=prottop&blast_rank=7&RID=0AJ20NBP016"",""CAH1232927.1"")"
"nitric oxide synthase, brain-like [Asterias rubens]",Asterias rubens,1190,1190,92%,0.0,52.26,1685,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628503.1?report=genbank&log$=prottop&blast_rank=8&RID=0AJ20NBP016"",""XP_033628503.1"")"
"LOW QUALITY PROTEIN: nitric oxide synthase, endothelial-like [Acropora millepora]",Acropora millepora,1169,1169,92%,0.0,50.13,1483,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029190735.2?report=genbank&log$=prottop&blast_rank=9&RID=0AJ20NBP016"",""XP_029190735.2"")"
"nitric oxide synthase, brain-like [Ciona intestinalis]",Ciona intestinalis,1160,1160,93%,0.0,50.13,1364,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009861972.2?report=genbank&log$=prottop&blast_rank=10&RID=0AJ20NBP016"",""XP_009861972.2"")"
